date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-31,Purple,5.10c,35d6842afe37e98522fc771e02ae6559,3.0,Onsight,wall-back-wall,251.9,
2019-07-31,White,5.8,4344b1df591af5afa7d57831575cc8aa,5.0,Onsight,wall-back-wall,243.6,fun jugs
2019-07-31,Pink,5.11d,c4c61dac2f994f694391af970bb51085,4.0,Onsight,wall-back-wall,243.4,
2019-07-31,Blue,5.9,90aa23562cd1f9327d6fede78e6a38e5,2.0,Onsight,wall-back-wall,221.9,
2019-07-31,Lime Green,5.11c,8a10a1fba19ba667f9d321f28d689a46,3.0,Onsight,wall-back-wall,191.4,really good climb. nice and technical.
2019-07-31,Black,5.10d,96722ec5a6af4b7ab12468b453c4ea09,3.0,Onsight,wall-back-wall,190.5,
2019-07-31,Red,5.9,b11aa27aae898c8e7da38b7dfc5f35a8,2.0,Onsight,wall-back-wall,165.3,
2019-07-31,Tan,5.10d,547df4322dc6717ab09007155db76c64,3.0,Onsight,wall-back-wall,141.7,
2019-07-31,Blue,5.13b,4f7e90a8879e67eafbeb4865fb29e736,5.0,Red Point,wall-back-wall,140.8,really fun. well set
2019-07-31,Yellow,5.11d,788f587f0c5841609d5a4e389b0a5a15,5.0,Red Point,wall-back-wall,124.1,stiff in the grade but a good climb
2019-07-31,Yellow,5.10c,74b2961a251ccacd600fcedfae19a33d,2.0,Onsight,wall-back-wall,69.3,
2019-07-31,Purple,5.10c,b1aefff0a92480d7f980b36c205c56d6,3.0,Onsight,wall-back-wall,37.7,11b? stiff. 
2019-07-31,Purple,5.10d,b1c3c33283a197c5f37c084e37b72b1a,4.0,Onsight,wall-back-wall,532.7,
2019-07-31,Blue,5.11c,8f8cc5963c1a08c1c33362ae85c7ab80,3.0,Onsight,wall-back-wall,388.4,really good movement except for the desperate move to the fin
2019-07-31,Yellow,5.12c,34dc45dfe48c49a9160d9330561020be,5.0,Red Point,wall-back-wall,443.3,pretty fun! good movement
2019-07-12,Pink,5.12b,205b5f419d467e72dd2b02c697c6bd18,4.0,Red Point,wall-back-wall,17.1,
