date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-05-31,Lime Green Stand,V5,33510e21d3529ec7eb92c14c9748dfce,3.0,Flash,wall-boulders,423.0,
2019-05-31,Red,V5,dbd199ff6a2a78c3a2d4fe83749fe380,3.0,Red Point,wall-boulders,423.0,
2019-05-31,White,V3,b901c5a7044c4eb0f47cd1858f84edef,3.0,Flash,wall-boulders,581.0,
2019-05-31,Tan,V1,c43c157c05eae8d3d107070153d415a1,3.0,Flash,wall-boulders,423.0,
2019-05-31,White,V3,6469b1c646b93cda0518f42172c56501,3.0,Flash,wall-boulders,423.0,
2019-05-31,Blue Stand,V3,09c71afc4d6506775ca8663eb6764915,3.0,Flash,wall-boulders,505.7,
2019-05-31,Lime Green,V4,746621c51934510070839cadb2b37c0b,3.0,Flash,wall-boulders,581.0,
2019-05-31,Black,V2,6435404e42efd4d2097d5b3242739aac,3.0,Flash,wall-boulders,581.0,
2019-05-31,Yellow,V5,4d4f97506ad7d2f53b93e4395a7e453c,3.0,Flash,wall-boulders,581.0,
2019-05-31,Blue,V0,30082ec4babc41bcea1470e480d23850,3.0,Flash,wall-boulders,581.0,
2019-05-25,White Right,V5,e69a37bd9909f86238705349b19678b4,3.0,Flash,wall-boulders,288.8,Fun :) I can’t decide if this climb is good or cheesy﹐ but still fun
2019-05-24,Yellow,V3,364dea675a95b2e7127f6aff07f0a542,3.0,Red Point,wall-boulders,359.0,Sadly fell twice
2019-05-24,Pink,V5,a8297b6e24de297f162f85be8828d050,3.0,Flash,wall-boulders,359.0,
2019-05-24,Blue,V1,0cf6164c630e57baf374241dd0561799,3.0,Flash,wall-boulders,359.0,
2019-05-24,Tan,V5,aee31f86fba435fb07fd9b8742859afb,3.0,Flash,wall-boulders,359.0,So who’s this guest setter?
2019-05-24,Red,V2,7ed4c61be2b6d4e854ead140288a52af,3.0,Flash,wall-boulders,288.8,
2019-05-24,Lime Green,V0,2ae7c9d09f7478169e3753a434ab5a8c,3.0,Flash,wall-boulders,288.8,
2019-05-24,White Left,V4,3bc1407f5c5ddd6fce72493b5fe9b81a,3.0,Flash,wall-boulders,288.8,Fun sideways ladder with varying levels of sloper-jugs as rungs
2019-05-24,Blue,V6,e7874550eb671551910aaea1da7e3266,4.0,Flash,wall-boulders,288.8,Stole the beta and ran with it - doesn’t seem fair !
2019-05-24,Black,V4,214f825ab9454319d2c20458e1a82d83,3.0,Flash,wall-boulders,288.8,
2019-05-24,Tan,V3,75bcd5fd4942d36233a9669d87d71929,3.0,Flash,wall-boulders,359.0,
2019-05-21,Yellow,V1,3566012b72c4dff41f882a741950e0f8,3.0,Flash,wall-boulders,288.8,
2019-05-21,Purple,V2,af3b58b7bcf33b23dca36108920e638f,3.0,Flash,wall-boulders,288.8,
