date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-29,Red,V6,669fb7797907bc86a00bb2800035be2b,3.0,Flash,wall-boulders,793.8,
2019-06-29,Blue,V7,683051e20a49efe0a56d7319a68526cb,3.0,Red Point,wall-boulders,667.3,
2019-06-29,Black,V5,d3a2d45593701d55788fc233588f1504,3.0,Flash,wall-boulders,793.8,
2019-06-23,Yellow,V6,1e408e17930f0165977da6fbb4646485,3.0,Red Point,wall-mezzanine,114.6,
2019-06-23,Red,V6,c987c0b9d105f145d10a81f3e7b63f4b,3.0,Red Point,wall-mezzanine,114.6,
2019-06-23,Blue,V5,83fcab3a32197d92ff8c9da27bd9d083,3.0,Flash,wall-boulders,161.2,
2019-06-23,Red,V8,06fb6f050ddc0bc23c647633f47fd8cf,3.0,Red Point,wall-boulders,161.2,
2019-06-23,Lime Green,V6,8389a51957ee08d13d13ac12087c473d,3.0,Flash,wall-boulders,222.0,
2019-06-23,Pink,V5,47736126d9822349454e6d271b0bd2c1,3.0,Flash,wall-boulders,222.0,
2019-06-23,Blue,V7,892873656bf6f46ca8f6fff2a60f0ff2,3.0,Red Point,wall-boulders,222.0,
2019-06-03,Black,V2,6435404e42efd4d2097d5b3242739aac,3.0,Red Point,wall-boulders,581.0,
