date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-24,White,V4,eb66d17374a910a3acc17aa3826755e7,5.0,Flash,wall-boulders,423.0,Great route! 
2019-09-24,White,V4,eb66d17374a910a3acc17aa3826755e7,5.0,Flash,wall-boulders,423.0,Great route! 
2019-09-24,Yellow,V4,15402dcbd8c819dc710b50a318e2dcfb,,Flash,wall-boulders,793.8,
2019-09-24,Pink,V7,b85f1c1e8430bad746f8e5458b94365c,4.0,Red Point,wall-boulders,793.8,Wacky
2019-09-21,Black,V7,aebf59e790eeb206cc7b183bee907f1d,4.0,Red Point,wall-boulders,793.8,
2019-09-18,Red,V3,be2c780c105b317eabde23e05b4b6823,,Flash,wall-boulders,667.3,
2019-09-17,Black,V5,3590a39b349058fa67edc593965dde68,5.0,Flash,wall-boulders,222.0,
2019-09-17,White High Start,V6,5e689a1621f87ba57c4cb52576f57022,4.0,Flash,wall-boulders,667.3,
2019-09-17,Lime Green,V9,fcc38db666a6c2829c8e0f54d246ebb6,4.0,Red Point,wall-boulders,736.4,In b4 downgrade 
2019-09-13,Yellow,V5,78816d3a47677628315e8d986c3bcae0,2.0,Flash,wall-mezzanine,114.6,Needs a shorty foot for second to last move 
2019-09-12,Red,V5,98e6662df118952bce8162a2ff369eae,3.0,Red Point,wall-mezzanine,114.6,God knows what the intended beta is here 
2019-09-12,Yellow,V2,a3f9c8c4797fb47ca9fd263de8f09bdf,,Flash,wall-mezzanine,114.6,V0 tbh
2019-09-12,Blue,V2,a96b01f564e6fc2d6a13e0102dc2e098,,Flash,wall-mezzanine,114.6,
2019-09-12,Yellow,V4,c499bebee6ec34257f866cbb8a269c04,3.0,Flash,wall-mezzanine,114.6,
2019-09-12,Pink,V4,9652096aa9ba2f77d568f3e913dbfe6e,3.0,Flash,wall-mezzanine,114.6,
2019-09-12,White,V2,b8e380d28450a709818d1440e651247a,,Flash,wall-mezzanine,114.6,
2019-09-12,Blue,V3,9269c2ddcbeb8b830cd54307f2feaae7,3.0,Flash,wall-mezzanine,114.6,
2019-09-12,White,V2,b8e380d28450a709818d1440e651247a,,Flash,wall-mezzanine,114.6,
2019-09-12,Lime Green,V1,749f9043c1316141f8ff111ed721ee23,,Flash,wall-mezzanine,39.7,
2019-09-12,Red,V3,77b38ce2608d5e418981ce707d32ea22,5.0,Flash,wall-mezzanine,39.7,Great route 
2019-09-12,Yellow,V0,b2afff501a376f665cdaeca5e6d23569,,Flash,wall-mezzanine,39.7,
2019-09-12,Tan,V2,e914438ba916019006a7620047544e15,,Flash,wall-mezzanine,39.7,
2019-09-12,Lime Green,V6,3822ebc9d4ab9ed882adafeb3d3f0314,4.0,Flash,wall-boulders,423.0,
2019-09-12,Red High Start,V6,a6cb16a04805c97e1ba30e9a722179b3,4.0,Red Point,wall-boulders,505.7,
2019-09-12,Tan,V6,da0e63e190fffafeff8c4fd9cebf8e25,5.0,Red Point,wall-boulders,581.0,
2019-09-10,White,V5,d5e87b9f9ea2fbe4d0c2ccbc25cb36c7,5.0,Flash,wall-slab,118.8,Thanks I hate it 
2019-09-10,Lime Green,V4,92c15a3408bc75be846c70ede690dfc9,4.0,Red Point,wall-slab,192.9,
2019-09-10,Pink,V5,8c240cf8241c21fdfa124acaf4884816,4.0,Red Point,wall-slab,192.9,
2019-09-10,Red,V5,1c0cac2ec8dad9cc6a609e702cac14e6,2.0,Red Point,wall-boulders,423.0,Mmm barn door 20 feet off the deck
2019-09-10,Yellow,V4,d7888925e25a8f263539e0ba6f1d9ba7,,Flash,wall-boulders,581.0,
2019-09-10,Blue,V7,3b4f9de89ff8aeca52c51e13d2d0e8e3,4.0,Red Point,wall-boulders,581.0,
2019-09-10,Blue,V4,62651f8507df29424815e4b791189074,3.0,Flash,wall-boulders,161.2,
