date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-12,Pink,5.9,000068ff0ad7b4a15ea521573198f001,,Onsight,wall-island,327.1,
2020-02-12,Tan,5.11b,7b1c4a998a3596c3a26cf310aab12a12,,Attempt,wall-island,328.0,
2020-02-12,Purple,5.10d,8f4283e1e07bd9e600998014212bf639,,Attempt,wall-back-wall,124.1,
2020-02-12,White,5.10b,bef995d2af484ddae247f180cd3e3658,,Top Rope,wall-island,469.1,
2020-02-12,Yellow,5.10d,9ea46fca27ccbae5eec78333d7186fc3,,Attempt,wall-back-wall,86.3,
2020-02-12,White,5.8,d172daf54d05096b559d3c5787548234,,Onsight,wall-back-wall,-2.4,
2020-02-12,White,5.10b,f381f8b579a5d66a67e333eed2c61a48,,Top Rope,wall-island,590.5,
2020-02-09,Yellow,5.10c,3b0758532fe34ede5936bbb6c0c20963,,Attempt,wall-back-wall,164.5,
2020-02-09,White,5.10a,46699f0628862cbc3ab6a2fe0fcda774,,Red Point,wall-back-wall,969.6,
2020-02-09,Blue,5.9,7381068f3c7fd984617aa2d9d23e87ee,,Onsight,wall-island,504.9,
2020-02-09,Tan,5.10a,d4bbbe4dd8644ecad075bbbc13256f34,,Top Rope,wall-island,561.5,
2020-02-09,White,5.10d,c3427850c4f142dfbe48314fc995e4ed,,Red Point,wall-island,126.0,
2020-02-09,Tan,5.10b,23f176cb7c5d65e2b0062f187013cf76,,Red Point,wall-island,164.0,
2020-02-09,Purple,5.10a,3367c4d06c93f4c7198f49fbc31c31ad,,Top Rope,wall-island,445.8,
2020-02-09,Green,5.10c,2e45334406444552d928cc7eeb7fb6b4,,Attempt,wall-island,420.7,
2020-02-07,Tan,5.10a,d4bbbe4dd8644ecad075bbbc13256f34,,Onsight,wall-island,561.5,
2020-02-07,Purple,5.10d,a86d6009df77337407ddf7882d929ecf,,Attempt,wall-back-wall,16.3,
2020-02-07,Yellow,5.10a,530c23c47e18adaa0367e99939f78310,,Red Point,wall-back-wall,894.6,
2020-02-07,Lime Green,5.10a,6db84815dd0ddb03bb661f42c4bfca41,,Top Rope,wall-red,24.0,
2020-02-07,White,5.7,e0d17f287bdf4c778c8d4223239f0794,,Top Rope,wall-red,25.4,
2020-02-07,White,5.10b,f381f8b579a5d66a67e333eed2c61a48,,Onsight,wall-island,590.5,
2020-02-07,Black,5.10b,70483aa172a83469513e73395124fdbe,,Top Rope,wall-island,529.4,
2020-02-07,Tan,5.10b,23f176cb7c5d65e2b0062f187013cf76,,Top Rope,wall-island,164.0,
2020-02-07,Black,5.10a,422eb4cf58bb8d9ddd1e232528f2fa1f,,Top Rope,wall-island,182.8,
2020-02-07,Tan,5.10b,b889e573fdd03975288cf5953e91c427,,Red Point,wall-back-wall,1329.5,
2020-02-07,Tan,5.10b,23f176cb7c5d65e2b0062f187013cf76,,Top Rope,wall-island,164.0,
2020-02-06,Red,5.7,720ece40522b26468b906492321794d0,,Onsight,wall-auto-belay,251.1,
2020-02-06,Red,5.7,720ece40522b26468b906492321794d0,,Top Rope,wall-auto-belay,251.1,
2020-02-06,Yellow,5.9,3021190a0ebf59022e0ab7505e4fe242,,Top Rope,wall-auto-belay,249.8,
2020-02-06,Pink,5.8,2d293d50d42c8ea7cb8657c85d038b74,,Onsight,wall-auto-belay,302.7,
2020-02-06,Pink,5.8,2d293d50d42c8ea7cb8657c85d038b74,,Top Rope,wall-auto-belay,302.7,
2020-02-06,Blue,5.10c,95a0970d2f161e8a22bfe127a4c5899c,,Red Point,wall-auto-belay,304.0,
2020-02-06,Red,5.10c,f2eb3aa854b39dfd914b364e8de3ce25,,Onsight,wall-auto-belay,173.7,
2020-02-05,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,,Attempt,wall-red,156.9,
2020-02-05,Black,5.10b,70483aa172a83469513e73395124fdbe,,Top Rope,wall-island,529.4,
2020-02-05,Blue,5.8,32c346b8060d1e7ddc9e7ef8a414dc45,,Top Rope,wall-auto-belay,274.3,
2020-02-05,Blue,5.8,32c346b8060d1e7ddc9e7ef8a414dc45,,Top Rope,wall-auto-belay,274.3,
2020-02-05,Yellow,5.10a,67e362343df363e6b731b8147bfb466f,,Top Rope,wall-island,92.7,
2020-02-05,Black,5.8,a669368eaf4e21350b454a1f68610ee8,,Top Rope,wall-island,91.7,
2020-02-05,Yellow,5.9,3021190a0ebf59022e0ab7505e4fe242,,Onsight,wall-auto-belay,249.8,
2020-02-05,White,5.10b,bef995d2af484ddae247f180cd3e3658,,Top Rope,wall-island,469.1,
2020-02-05,Yellow,5.10d,9ea46fca27ccbae5eec78333d7186fc3,,Attempt,wall-back-wall,86.3,
2020-02-05,Black,5.10c,c5e08075f63ffc13a5247ab216de6b80,,Top Rope,wall-island,19.8,
2020-02-05,Blue,5.10b,3340b1d4e1c38fc25263543f90c7c995,,Top Rope,wall-red,173.9,
2020-02-03,Yellow,5.10c,3b0758532fe34ede5936bbb6c0c20963,,Attempt,wall-back-wall,164.5,
2020-02-03,Black,5.10c,c5e08075f63ffc13a5247ab216de6b80,,Top Rope,wall-island,19.8,
2020-02-03,Blue,5.8,32c346b8060d1e7ddc9e7ef8a414dc45,,Top Rope,wall-auto-belay,274.3,
2020-02-03,Blue,5.8,32c346b8060d1e7ddc9e7ef8a414dc45,,Top Rope,wall-auto-belay,274.3,
2020-02-03,Pink,5.9,1ee55e57deb4ec3219c7052e7ae0ebc6,,Top Rope,wall-auto-belay,342.5,
2020-02-03,Black,5.10b,b968ba4430741a72c07510e328ef2d3b,,Red Point,wall-auto-belay,303.3,
2020-02-03,Pink,5.10a,d8ffb83c6af4967932c015e8c861f6af,,Top Rope,wall-auto-belay,273.7,
2020-02-03,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,,Onsight,wall-back-wall,70.9,
2020-02-02,Black,5.10b,70483aa172a83469513e73395124fdbe,,Top Rope,wall-island,529.4,
2020-02-02,Lime Green,5.9,ef112763a9504e29413de114f16cf113,,Onsight,wall-red,132.5,
2020-02-02,Yellow,5.10a,a8168a0133f81754eab9895da2b1cae1,,Top Rope,wall-red,109.7,
2020-02-02,Tan,5.10b,afc08d8f12c860eb6892378f440fe16d,,Top Rope,wall-island,266.2,
2020-02-02,Yellow,5.10a,67e362343df363e6b731b8147bfb466f,,Top Rope,wall-island,92.7,
2020-02-02,Black,5.8,a669368eaf4e21350b454a1f68610ee8,,Onsight,wall-island,91.7,
2020-02-02,Black,5.8,a669368eaf4e21350b454a1f68610ee8,,Top Rope,wall-island,91.7,
2020-02-02,Tan,5.10b,b889e573fdd03975288cf5953e91c427,,Top Rope,wall-back-wall,1329.5,
