date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-03-13,Blue,V2,926f37127d4b3cde2ec765052f6e60d9,,Flash,wall-boulders,161.2,
2020-03-13,Black,V2,56a5cd7a8a5217bf028f720dd9e78c99,,Red Point,wall-boulders,288.8,
2020-03-13,Black,V0,62fc0c73c64e405b472b499578205cb0,,Flash,wall-boulders,359.0,
2020-03-13,Lime Green,V3,8244ca179abaf72aeccfd6a70820a693,,Red Point,wall-boulders,793.8,
2020-03-09,Blue,V2,b2e0d38a015ec08fadf68b3d3b3faf2f,,Flash,wall-mezzanine,114.6,
2020-03-09,Blue,V2,9338713fd0a8e224af039e5b63b14e13,,Flash,wall-mezzanine,39.7,
2020-03-09,Black,V2,5af24fee1e9fa8d40391d7afb8cc0bf2,,Flash,wall-slab,118.8,
2020-03-09,Yellow,V1,4ffb93c44a7954338fffd567ea72392f,,Flash,wall-slab,192.9,
2020-03-09,Lime Green,V1,cc169b12d0a723910aa3f8bf678abe42,,Flash,wall-boulders,288.8,
2020-03-09,White,V2,ba60033c32d66c09445a41f3da726385,,Flash,wall-boulders,581.0,
2020-03-01,White,V2,48cd062799dfaaa3e565d5e1670added,,Red Point,wall-boulders,667.3,
2020-03-01,White,V2,a6832f00cfee2016daa46b26ce7e0b1a,,Red Point,wall-mezzanine,39.7,
