date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-29,Yellow,5.11a,d8d43b4cdc805abd0cc4d37ec51e076a,5.0,Onsight,wall-back-wall,442.1,
2019-01-29,Pink,5.11b,7a9b37b0783be3eb71e07c4645010042,5.0,Onsight,wall-back-wall,388.4,
2019-01-29,Lime Green,5.12b,6a2cc6de002b75b0e93bede3b38b7427,5.0,Onsight,wall-back-wall,488.9,
2019-01-29,Black,V10,594d62a1f67f6f488198da7dc357e773,5.0,Red Point,wall-boulders,359.0,
2019-01-25,Yellow,V7,d9164deccae3c4e1d895fadf3e8ab7eb,5.0,Flash,wall-boulders,359.0,
2019-01-25,Pink,V7,325287ed291e528f5e5a668933b7c16d,5.0,Red Point,wall-boulders,359.0,
2019-01-25,Pink,V8,238231a1826c510cf0f526a26137ac19,5.0,Red Point,wall-boulders,288.8,
2019-01-25,Black,V7,8cb2176c6bbca076b73691a81e4bfda8,5.0,Red Point,wall-boulders,288.8,
2019-01-21,White,V7,150dfb37752b2f136514854d764eec70,5.0,Red Point,wall-boulders,505.7,
2019-01-21,Tan,V8,cf657b7dbb740a086533a3e7caf2da00,3.0,Red Point,wall-boulders,581.0,
2019-01-17,Lime Green,V9,375d6e5fe63c0c83e07c40615745e792,5.0,Red Point,wall-boulders,505.7,
2019-01-10,Yellow,5.11c,9bef47744cb308f59088cea15ca949b2,5.0,Top Rope,wall-island,162.0,
2019-01-10,Black,5.11c,1cb79cbffe36b4ce84f2d3aa9d33e07a,5.0,Top Rope,wall-island,126.0,
2019-01-10,White,V6,0daa91885468fd1673e658f258d5891c,5.0,Red Point,wall-boulders,359.0,
2019-01-10,Blue,V6,454b27b5c4aa45cabb96d3ebf371b75f,5.0,Red Point,wall-boulders,736.4,
2019-01-10,Red,V8,ea2f878d9f588c40b55b09f6d87f509b,5.0,Red Point,wall-boulders,288.8,
2019-01-10,Tan,V8,ac32419c5ee9a50e2317319b596c7dbf,5.0,Red Point,wall-boulders,288.8,
2019-01-10,Yellow,V8,cbee5cc3be7125c227f4f0ce9575c26f,5.0,Red Point,wall-boulders,667.3,
2019-01-10,Purple,V8,b8efa293eaa1666b3a4664c453ca5c14,5.0,Red Point,wall-boulders,736.4,
2019-01-09,Tan,5.12a,85ac389937ee58fc21026a8583df0a23,5.0,Onsight,wall-island,364.3,
2019-01-09,Red,5.11c,c6a19fdbb737d34e11b8c5a96bda85d7,5.0,Onsight,wall-island,395.6,
2019-01-09,Yellow,5.11c,7f6caa103947f0d92ee222997a5aac58,5.0,Onsight,wall-island,420.7,
2019-01-09,Purple,5.10d,56d1a7fb449fe5c678a6f55e55116223,5.0,Onsight,wall-back-wall,190.5,
