date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-26,Yellow,V4,8980a0e37093e226f6ba9008cd3d63a9,5.0,Red Point,wall-slab,118.8,
2020-02-26,White,V2,48cd062799dfaaa3e565d5e1670added,4.0,Flash,wall-boulders,667.3,
2020-02-26,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,4.0,Red Point,wall-boulders,87.1,
2020-02-26,Blue,V3,bfdda60d27aaa46264550cb3d337fbce,5.0,Flash,wall-boulders,222.0,
2020-02-26,Pink,V3,5aaa08b5097cfec11de274f8f8c3922a,4.0,Red Point,wall-boulders,793.8,
2020-02-26,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,5.0,Red Point,wall-boulders,87.1,
2020-02-26,Yellow,V3,e2022e18165b50136c13bc74ad3cbb99,4.0,Red Point,wall-slab,192.9,
2020-02-26,Yellow,V0,46dc20b9a3055906ab3241d337407ad9,5.0,Flash,wall-boulders,288.8,
2020-02-19,Blue,V3,9a75a24b3ebdf516d10c5370ef74fd4e,,Red Point,wall-boulders,736.4,
2020-02-19,Pink,V3,c288d3b689c07fab3491050421a25022,,Red Point,wall-slab,48.7,
2020-02-13,Blue,V3,fc57de266615f969545394ac7e4e7a5a,4.0,Red Point,wall-boulders,359.0,
2020-02-13,Pink,V1,183e51b50241ab343b6f18d216abba16,5.0,Flash,wall-boulders,359.0,
2020-02-13,White,V2,147d8ca3f32ca55777eb6d9ffb50cc52,5.0,Flash,wall-boulders,793.8,
2020-02-08,Yellow,5.8,d15738920cab1d3734559dbcc5d2b5a3,5.0,Flash,wall-back-wall,243.4,
2020-02-08,Purple,5.7,04d03c908674ac94d2e15bd8aaf58bf0,5.0,Flash,wall-back-wall,829.3,
2020-02-08,Lime Green,5.8,10594556371853f56dc06019bd232dea,5.0,Flash,wall-back-wall,870.9,
2020-02-08,Pink,5.9,043268f73fe7af8eef8126841b03077a,5.0,Red Point,wall-island,42.2,
2020-02-08,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,5.0,Flash,wall-island,394.7,
2020-02-02,Yellow,V3,6ab38b6e926c4f6a05c634847a3d59f2,4.0,Red Point,wall-mezzanine,39.7,
2020-02-02,Yellow,V3,e7baec3392ef529bbc5a4a8edadac691,5.0,Flash,wall-mezzanine,39.7,
