date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-23,Black,5.9,64e9295e6c39149d34ec90bcfed7ebbe,4.0,Onsight,wall-back-wall,741.6,
2018-10-23,Tan,5.7,0ae4eba24679c6461702a4a24b47a779,4.0,Onsight,wall-red,132.5,
2018-10-23,Tan,5.10b,a76546f20781855e6da200b8037993b6,4.0,Onsight,wall-red,52.9,
2018-10-10,Red,5.11b,2702bbbd056f2829e0aa76f8af826152,4.0,Top Rope,wall-red,133.2,
2018-10-10,Pink,5.10a,e0fc30f83aa239dbbe1b01e851e9244d,4.0,Red Point,wall-red,81.4,
2018-10-10,Yellow,5.9,6646f007e79e727d64ca07a5611f9cc2,5.0,Onsight,wall-red,25.4,
2018-10-10,Pink,5.10a,da3c96bcbda544f9b703da14670c456e,4.0,Red Point,wall-back-wall,328.9,
2018-10-10,Lime Green,5.10c,964030b6489015e6f8ff2335b06f96e7,4.0,Red Point,wall-back-wall,628.3,
2018-10-10,Purple,5.8,67f392ae0bdfbdf02d8779b55004a484,5.0,Onsight,wall-back-wall,-2.4,
2018-10-10,White,5.8,de0391fbae80dca6f5c186971fb65b44,4.0,Onsight,wall-back-wall,124.1,
2018-10-10,Blue,5.9,e47441c92aedecffb6b0fff9774a8502,4.0,Onsight,wall-back-wall,141.7,
2018-10-10,Purple,5.8,16d5b011f6920fdb98cf38dea3843591,4.0,Onsight,wall-back-wall,222.7,
2018-10-10,Yellow,5.9,965dc523ca296145bc0b855115097ef2,4.0,Onsight,wall-back-wall,190.5,
2018-10-10,Pink,5.10b,c8420ee97c745eb2a2e2b6a4f3ffb860,4.0,Onsight,wall-back-wall,165.3,
2018-10-10,Red,5.10a,a5bf0adea6e82688938323f0b4e0e97f,5.0,Onsight,wall-back-wall,243.6,
2018-10-10,Lime Green,5.9,3ba580b6334140a3ec6319099eb52586,5.0,Onsight,wall-back-wall,252.2,
2018-10-09,Lime Green,5.8,3b20be96ec220ec92c6bd57e4677bcb3,5.0,Onsight,wall-island,469.1,
2018-10-09,Purple,5.8,6c9fb305e4e76271f238b81dd3ae077e,5.0,Onsight,wall-island,444.9,
2018-10-09,White,5.10b,ac126d2081dfe0440be68718d2304474,5.0,Onsight,wall-island,467.3,
2018-10-08,Lime Green,5.11b,6103a24755929769d05c42d1a96cf6a8,5.0,Red Point,wall-island,421.6,
