date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-30,Black,5.12d,468bf537ad9d79c4c95732d909604162,3.0,Red Point,wall-back-wall,1045.1,
2019-07-29,Black,5.11b,10b2f95fab31a5225208af3d46fffd16,3.0,Onsight,wall-back-wall,1386.5,
2019-07-28,Red,5.10c,70e00a9d01d314ceac9ca4ff2817e3df,1.0,Onsight,wall-back-wall,945.1,
2019-07-27,Red,5.12b,8f9bdd413a4fc43f890355967479a4ac,5.0,Red Point,wall-island,315.9,Had to work hard on this one﹐ ended up really liking it.
2019-07-27,White,5.11b,90e88e6a6dd99194da8e293b9f9eecfb,4.0,Onsight,wall-back-wall,967.8,nice movement
2019-07-24,Purple,5.12a,15caa1753c9eb7ba7e829ff8179ab042,5.0,Onsight,wall-back-wall,895.6,Interesting﹐ nice bouldery big moves
2019-07-24,Black,5.10d,96722ec5a6af4b7ab12468b453c4ea09,3.0,Onsight,wall-back-wall,190.5,
2019-07-24,Blue,5.9,90aa23562cd1f9327d6fede78e6a38e5,3.0,Onsight,wall-back-wall,221.9,
2019-07-24,Pink,5.11d,c4c61dac2f994f694391af970bb51085,4.0,Onsight,wall-back-wall,243.4,
2019-07-24,White,5.8,4344b1df591af5afa7d57831575cc8aa,5.0,Onsight,wall-back-wall,243.6,
2019-07-24,Purple,5.10c,35d6842afe37e98522fc771e02ae6559,3.0,Onsight,wall-back-wall,251.9,
2019-07-24,Black,V7,222c1e81947c615fd07b79ac2acc2586,4.0,Red Point,wall-boulders,581.0,
2019-07-24,Black,V7,ed8559cea4f56e650355b065ea9def24,4.0,Red Point,wall-slab,48.7,
2019-07-24,Lime Green,V6,de48b5fccc1075f35af795c863c8bd35,4.0,Red Point,wall-slab,48.7,
2019-07-24,Blue,V5,b735ee5fc23723f5f14eb866a7a134c1,3.0,Red Point,wall-slab,118.8,
2019-07-23,Pink,V2,05924c0693537187d4cb03096ffe46a6,3.0,Flash,wall-boulders,222.0,
2019-07-23,Yellow,V5,dd4295c254e1fe73c10f31cc8fe0c673,3.0,Flash,wall-boulders,222.0,
2019-07-23,Black,V0,66e3b2861fb139e80c0f70a3db293211,3.0,Flash,wall-boulders,222.0,
2019-07-23,White,V3,9bbc2e3293d69160945d5794d3e14b3b,4.0,Flash,wall-boulders,87.1,
2019-07-23,Red,V3,10ff77a009203fc65f054e56c7404b11,4.0,Flash,wall-boulders,87.1,
2019-07-23,Black,V2,88ce1de5a9f5a94dfe8e334a1d00e541,3.0,Flash,wall-boulders,87.1,
2019-07-23,Blue,V5,2f42405f19519d2694320dda0724b767,3.0,Flash,wall-boulders,87.1,
2019-07-23,White,V0,fd3f4e2e0f09615464bae5ba07f9ee81,3.0,Flash,wall-boulders,87.1,
2019-07-23,Lime Green,V7,346d41415c04d79fa3c6101859eafd1e,3.0,Flash,wall-boulders,87.1,Skipped the left hold...
2019-07-23,Lime Green,V3,e8076d96542c51c34bf5a33fdae6d990,3.0,Flash,wall-boulders,161.2,
2019-07-23,White,V1,2fb86a77df85f35098b30250861aa2a5,3.0,Flash,wall-boulders,161.2,
2019-07-23,White,V1,16274d2086f05c8bc15960c37b0fbabf,3.0,Flash,wall-boulders,161.2,
2019-07-23,Lime Green,V3,d9b5fc7a373881337bab2c6517402665,3.0,Flash,wall-boulders,161.2,
2019-07-23,Blue,V3,20578db1d6fea207ca9d5dfd11cce5f6,3.0,Flash,wall-boulders,161.2,
2019-07-23,Black,V4,3780a16a30925d61c5e9b9a206d04867,3.0,Flash,wall-boulders,161.2,
2019-07-23,Pink,V5,bd900a36736dacdab8b8fd16268e7f16,4.0,Flash,wall-boulders,161.2,The pocket finger swap was interesting
2019-07-23,Tan,V0,cd8a640ef189dfc80aa3f3ebe676ca2a,3.0,Flash,wall-boulders,161.2,
2019-07-17,Pink,V5,23abe27a107a9dc131b34a126e870c7d,3.0,Flash,wall-slab,48.7,
2019-07-17,Yellow,V3,8bb82755b24c03843ffa8450a46bf7e8,3.0,Flash,wall-slab,48.7,
2019-07-17,Tan,V0,bb92a89554504aa6c3147433d9a18d52,3.0,Flash,wall-slab,48.7,
2019-07-17,White,V5,ac9b02688d9a8e2b9d1050ab2971bca1,3.0,Flash,wall-slab,48.7,
2019-07-17,Yellow,V1,7531357f5562b837cb424c0a37b1fe29,3.0,Flash,wall-slab,118.8,
2019-07-17,Red,V1,51d8673246bb3453d7277b103df5bfc0,3.0,Flash,wall-slab,118.8,
2019-07-17,White,V2,fe83d69e47a63aca4fac26c673570a33,3.0,Flash,wall-slab,118.8,
2019-07-17,Tan,V3,1bbf3783a9ae92700503fb1ba84bc5db,3.0,Red Point,wall-slab,118.8,
2019-07-17,Black,V4,4d57466edd49bb5d783b1ddb42928579,3.0,Flash,wall-slab,118.8,
2019-07-17,Pink,V4,b4979a8e98e9d7747793163867674ec3,3.0,Flash,wall-slab,118.8,
2019-07-17,White,V6,59c1a573bd9a8925f4345a3856ad24c6,5.0,Red Point,wall-slab,118.8,
2019-07-17,Yellow,V2,024ac2ea91f9dadde2a830106ba6576c,3.0,Flash,wall-slab,192.9,
2019-07-17,Blue,V5,c8387124129882e7a8a487aa9c7ba2eb,4.0,Red Point,wall-slab,192.9,
2019-07-17,White,V4,1570185f64a08df61153006a3e33dc5f,3.0,Flash,wall-slab,192.9,
2019-07-17,Tan,V1,d7ad535c19adf449ec1c70f7385d1dda,3.0,Flash,wall-slab,192.9,
2019-07-17,Black,V3,6d6103c0004d53dd3f364525450f0ed8,3.0,Flash,wall-slab,192.9,
2019-07-17,Lime Green,V1,f945c9a6a1b77e8d81c5c95890e65672,3.0,Flash,wall-slab,192.9,
2019-07-09,Black,V2,44e6926b91538672ada48b8f3ed90aa7,3.0,Flash,wall-boulders,505.7,
2019-07-09,Lime Green Low Right,V4,8003cb0384b3e120e15a648b51569c44,3.0,Flash,wall-boulders,505.7,
2019-07-09,Lime Green High Right,V3,80715b8ea9285a07719cb07f262bbbfc,3.0,Flash,wall-boulders,505.7,
2019-07-09,Blue High,V4,7d4d846bba97f79a489db2b10512b09e,3.0,Flash,wall-boulders,423.0,
2019-07-09,Yellow High,V5,1e268d0329179798d2f3064706ad456d,4.0,Red Point,wall-boulders,423.0,
2019-07-09,Black High,V6,420a211e0ee63fd824edc658e768a127,4.0,Flash,wall-boulders,423.0,
2019-07-09,Lime Green,V0,00e85a17ac2b01aecbb44ee0964f931b,3.0,Flash,wall-boulders,581.0,
