date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-21,White,5.12a,acb254ed9c88b1a07f27c7d310bac503,4.0,Red Point,wall-back-wall,1019.6,
2019-06-20,Pink,5.11a,e2ed53fe43f6ec0463d259516931fd4e,3.0,Onsight,wall-back-wall,1310.0,
2019-06-20,Pink,5.11b,d5b451326b50297add8966e21258f271,3.0,Onsight,wall-back-wall,1200.6,
2019-06-17,Tan,5.10d,7329deeb332b9f32bffca04fd844263f,3.0,Onsight,wall-back-wall,829.3,
2019-06-17,Pink,5.10c,019e46e14081118fb84e57e406e1c58e,3.0,Onsight,wall-back-wall,994.6,
2019-06-17,Red,5.10d,0022740f8e09c8b8ac2639e7afdf7356,3.0,Onsight,wall-red,262.5,
2019-06-17,Yellow,5.12a,a77f790262a006ff8c3a87cea18cc05a,4.0,Red Point,wall-island,421.6,
2019-06-15,Tan,V3,ef3dd7a6f60cb3a959c9e6ecd8e4d120,3.0,Flash,wall-boulders,161.2,
2019-06-15,Yellow,V4,b1c7091b162d86db5ef9c1e5a940d84d,4.0,Flash,wall-boulders,222.0,
2019-06-15,Yellow,V3,f96b54f8dd517597acc993aff88b4166,3.0,Flash,wall-slab,118.8,
2019-06-15,Black,V4,5174a86665e2a4e3a5a8387f60ff713c,4.0,Red Point,wall-slab,192.9,
2019-06-15,Blue Right,V4,b1e2f9532da8aadc1cb81ffc0fa7f713,4.0,Red Point,wall-slab,192.9,
2019-06-15,Lime Green,V5,b8e480a3cf22708e3b2f3b5b631fe474,4.0,Flash,wall-boulders,87.1,
2019-06-14,Tan,5.11b,8e58818eb11e715d4ab0fc382fc5a3a8,3.0,Red Point,wall-island,444.9,
2019-06-14,Blue,5.10d,58a6c65d608245aa8ade938bdbf7bd35,3.0,Onsight,wall-back-wall,1251.0,
2019-06-14,Black,5.11b,ade052ca9209279ae58bdc1189bc14c5,3.0,Onsight,wall-back-wall,1175.7,
2019-06-14,Red,5.10b,b312c00a68993682b91c86ac5c225c72,3.0,Onsight,wall-back-wall,1168.2,
2019-06-14,White,5.10b,7f225b58ebe2259268893d92942ecbaa,3.0,Onsight,wall-back-wall,1121.9,
2019-06-13,Pink,5.10c,2d2d89f2311a4e8b466c58fe5eaca437,3.0,Onsight,wall-island,560.7,
2019-06-13,Yellow,V4,501c4134a27503f1cfc6655d3b01597e,3.0,Red Point,wall-boulders,161.2,
2019-06-12,Pink,V7,98e3cbab2820d93d7ef1c691f304e767,3.0,Red Point,wall-slab,48.7,
2019-06-12,Pink,V6,3ae49af5a3855bf4fa85b75a332fe3f8,3.0,Red Point,wall-slab,118.8,
2019-06-12,Lime Green,V3,4b55747ec6981448c9b65b81da373471,3.0,Flash,wall-slab,192.9,
2019-06-12,Lime Green,V3,f0f6ffbf9081ddbc8493d256832b1038,3.0,Flash,wall-boulders,161.2,
2019-06-10,Blue,V4,690c508ddb59f947d415f14fd03d4b19,3.0,Flash,wall-slab,118.8,
2019-06-10,Black,V5,d5d0d0784663c249ea206273042c50c0,3.0,Red Point,wall-slab,118.8,
2019-06-07,Blue,5.10d,5099347f5f8eb29a315bedeeb0831a43,4.0,Onsight,wall-island,395.6,
2019-06-03,Yellow,5.10c,6957b08839b74bca6fc40517a45c9ace,3.0,Onsight,wall-red,24.0,
2019-06-03,Purple,5.10b,111cdf1e462453782ef274f8d39822bf,3.0,Onsight,wall-red,79.7,
2019-06-03,Red,5.11b,628d0ec81fa7158b55193d7931392510,3.0,Onsight,wall-red,51.5,
