date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-24,White,5.10b,1a9d47171e27700be4dab48cbd0e4946,3.0,Top Rope,wall-island,394.7,
2019-01-24,Black,5.10b,23635a2a8675f828374c800835e29130,3.0,Top Rope,wall-back-wall,946.0,
2019-01-24,Black,5.11b,6b3d72beb42e46d6eb4d11f02ddc8870,3.0,Top Rope,wall-back-wall,871.9,
2019-01-24,Purple,5.11c,9ced4e4d2f6d6dbf4fa199d27fa90575,5.0,Top Rope,wall-back-wall,994.6,awesome
2019-01-11,Yellow,5.11a,976398e1623fc0b52499bb8f042b7aa7,4.0,Onsight,wall-auto-belay,195.7,
2019-01-11,Blue,5.10b,d16742559fbe4127343c09c54ce531de,4.0,Onsight,wall-auto-belay,196.3,
2019-01-11,Black,5.11a,9ef0e5cb2b10f5eaed971ea662854a68,4.0,Onsight,wall-auto-belay,220.8,
2019-01-11,Blue,5.10d,2aefb6c2f4fe3f1a89316559c6c075ad,3.0,Onsight,wall-auto-belay,248.5,
2019-01-11,Black,5.11b,6d705ebeaff16ab21030d4d98c8f4c32,3.0,Onsight,wall-auto-belay,273.1,
2019-01-11,Red,5.10b,76c7b490994383734a7679d9553f8e5e,2.0,Onsight,wall-auto-belay,273.7,
2019-01-11,Blue,5.10d,362a23a312cc3a787775525d1c4e0142,3.0,Onsight,wall-auto-belay,302.7,
2019-01-11,Purple,5.11a,4ff2f7ae7d23148c048f2ef623c9594e,4.0,Onsight,wall-auto-belay,341.8,
