date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-22,Yellow,V3,8bb82755b24c03843ffa8450a46bf7e8,4.0,Red Point,wall-slab,48.7,
2019-07-22,Black,V5,d3a2d45593701d55788fc233588f1504,4.0,Flash,wall-boulders,793.8,
2019-07-22,Pink,V1,857955d052cbc5c5af5d37e400ef5cb4,3.0,Flash,wall-mezzanine,39.7,
2019-07-22,Tan,V1,a2f08ae1ac5a2e20202a02a64c262b59,3.0,Flash,wall-mezzanine,114.6,
2019-07-22,Yellow,V1,0797a78e67b6e3d050b1d94bc516105b,3.0,Flash,wall-mezzanine,39.7,
2019-07-22,Yellow,V1,0797a78e67b6e3d050b1d94bc516105b,3.0,Flash,wall-mezzanine,39.7,
2019-07-22,Yellow,V1,0797a78e67b6e3d050b1d94bc516105b,3.0,Flash,wall-mezzanine,39.7,
2019-07-22,Black,V4,4d57466edd49bb5d783b1ddb42928579,3.0,Red Point,wall-slab,118.8,
2019-07-22,Lime Green,V2,251d52490fcdb4f8d5c9f0aa65dcfbdc,3.0,Flash,wall-boulders,793.8,
2019-07-22,Yellow,V5,d449c3565034ff371fe6b52643d53e14,3.0,Flash,wall-boulders,736.4,
2019-07-22,Blue,V4,a46a976281521c6f49d3e5918b59ea89,3.0,Flash,wall-boulders,581.0,
2019-07-22,Purple,V3,fa20e853677820c14affc8a3114ecd5a,3.0,Flash,wall-boulders,423.0,
2019-07-22,White,V2,fe83d69e47a63aca4fac26c673570a33,3.0,Flash,wall-slab,118.8,
2019-07-22,White,V3,dc22e056c53bea7211bde34eaaf3b79d,3.0,Red Point,wall-boulders,793.8,
2019-07-22,Black,V3,6d6103c0004d53dd3f364525450f0ed8,3.0,Flash,wall-slab,192.9,
2019-07-22,White,V2,9c8923a43dfdfbb7a30e15635bb87f25,3.0,Flash,wall-boulders,667.3,
2019-07-22,Tan,V2,661b31e0eb064cc9b914c403f6a78248,3.0,Flash,wall-boulders,359.0,
2019-07-22,Yellow,V2,024ac2ea91f9dadde2a830106ba6576c,3.0,Flash,wall-slab,192.9,
2019-07-22,Tan,V1,96292de46b4e248fabcbcd66b2debb12,3.0,Flash,wall-boulders,288.8,
2019-07-22,Tan,V0,bb92a89554504aa6c3147433d9a18d52,3.0,Flash,wall-slab,48.7,
2019-07-22,White,V1,7cf75fef8979ae389e2b7c960668e4d4,3.0,Flash,wall-boulders,581.0,
2019-07-22,Tan,V1,d7ad535c19adf449ec1c70f7385d1dda,3.0,Red Point,wall-slab,192.9,
2019-07-22,Lime Green,V1,f945c9a6a1b77e8d81c5c95890e65672,3.0,Flash,wall-slab,192.9,
2019-07-22,Yellow,V1,7531357f5562b837cb424c0a37b1fe29,3.0,Flash,wall-slab,118.8,
2019-07-22,Red,V1,51d8673246bb3453d7277b103df5bfc0,3.0,Flash,wall-slab,118.8,
2019-07-22,Yellow,V1,7531357f5562b837cb424c0a37b1fe29,3.0,Flash,wall-slab,118.8,
2019-07-21,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,4.0,Red Point,wall-boulders,736.4,
