date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-25,Blue,5.10c,e638c13c02f904531e1022c2bb83c6d8,4.0,Top Rope,wall-island,59.4,
2019-09-25,Yellow,5.10c,f683f48ca87aa21c7741ae1b0ac9d6e9,4.0,Top Rope,wall-island,603.0,
2019-09-19,Purple,5.9,112b0cdfa8dda84f70c53c71c0606447,3.0,Top Rope,wall-back-wall,1293.7,
2019-09-19,Lime Green,5.10b,4488bd951ec6bce9895b2d05750602e1,5.0,Top Rope,wall-red,263.2,
2019-09-19,Lime Green,5.8,3e8e8d7083dd41327451e58741c8a76d,4.0,Top Rope,wall-back-wall,870.9,
2019-09-09,Lime Green,5.10a,d4245afc17636bd717f420db62518cb5,4.0,Top Rope,wall-island,590.5,
2019-09-09,Pink,5.10b,a9fbe3c7bd6b5acb80098e987330996e,4.0,Top Rope,wall-back-wall,1409.3,
2019-09-09,Yellow,5.8,ca15da18f77074622357020c9250082c,4.0,Top Rope,wall-red,24.0,
2019-09-02,Yellow,5.8,287316120d0409bc18f17c1736d9a540,4.0,Top Rope,wall-island,394.7,
2019-09-02,Tan,5.9,f88af856ab2cbc459e57d95b26e7e4d2,3.0,Top Rope,wall-island,364.3,
