date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-18,Blue,V1,1ca71a7046d1987c9e5eb55ac1511942,3.0,Flash,wall-boulders,423.0,
2018-10-18,Red,V4,ceab7ba97c2d98c924fabec76cf28236,3.0,Red Point,wall-boulders,581.0,
2018-10-18,Yellow,V3,4ca3d952bedda2b2acca8b43f7a6a853,3.0,Red Point,wall-boulders,581.0,
2018-10-18,White,V2,d7a20186462a88bd52c7deccd5d7e322,3.0,Flash,wall-boulders,581.0,
2018-10-18,Purple,V0,b6518dfb60008d784604efb0ac846b30,3.0,Flash,wall-boulders,581.0,
2018-10-18,Pink,V2,718c3197a6bb6f0f7dc0da8ad9740cdb,3.0,Flash,wall-boulders,581.0,
2018-10-18,Red,V6,61b6113cb54a945e33aa2124a834c852,3.0,Red Point,wall-mezzanine,39.7,
2018-10-14,Tan Right,V3,d3d7c4ec0d3f4263cead958cf795d172,3.0,Flash,wall-mezzanine,114.6,
2018-10-14,Black Right,V3,fe172359c5ecfac3f1a2089f98e84878,3.0,Flash,wall-mezzanine,114.6,
2018-10-14,Black Left,V0,518075a0231b5d5e5f536a04be414bc0,3.0,Flash,wall-mezzanine,114.6,
2018-10-14,Purple,V1,11a2b4f4232eadf32f5c2b63929089b6,3.0,Flash,wall-mezzanine,114.6,
2018-10-14,Red,V2,5a3276efa112ed7a685226c0aa36deeb,3.0,Flash,wall-mezzanine,114.6,
2018-10-14,Lime Green,V1,b8fa15fb9c1aa444fb564450ff099697,3.0,Flash,wall-mezzanine,114.6,
2018-10-14,Black,V3,ef15d19a171d6eb85a943dff7ac6ca4a,3.0,Flash,wall-mezzanine,39.7,
2018-10-14,Lime Green,V0,ff196d0cc95824649b66c98010434e4d,3.0,Flash,wall-mezzanine,39.7,
2018-10-14,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,3.0,Flash,wall-mezzanine,39.7,
2018-10-14,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,3.0,Flash,wall-mezzanine,39.7,
2018-10-13,White,V4,b8563ce60721482eac25e8549af45463,3.0,Red Point,wall-mezzanine,39.7,
2018-10-13,Pink,V2,e4eac5b15362b57a3e0ee232dd8d8e8f,3.0,Red Point,wall-mezzanine,39.7,
2018-10-13,White,V3,4d04f6c798b0b7c3eafc24bb682e26d6,3.0,Red Point,wall-mezzanine,114.6,
2018-10-13,Pink,V5,faf2416774571d386d27c15a0c16e03c,3.0,Red Point,wall-mezzanine,114.6,
