date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-17,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,5.0,Flash,wall-mezzanine,39.7,
2018-10-17,Purple,V1,11a2b4f4232eadf32f5c2b63929089b6,4.0,Flash,wall-mezzanine,114.6,
2018-10-17,Tan Right,V3,d3d7c4ec0d3f4263cead958cf795d172,5.0,Red Point,wall-mezzanine,114.6,
2018-10-17,Tan,V4,ef767666401f89bf87ac472c53fcd964,5.0,Red Point,wall-slab,48.7,
2018-10-14,Black Right,V3,fe172359c5ecfac3f1a2089f98e84878,5.0,Flash,wall-mezzanine,114.6,
2018-10-14,Lime Green,V1,b8fa15fb9c1aa444fb564450ff099697,5.0,Flash,wall-mezzanine,114.6,
2018-10-08,White,V2,b91577baaeb36b0cb2f269381c37deb4,5.0,Red Point,wall-boulders,581.0,
2018-10-08,Tan,V1,f291270a680679a03fb2a76fe27d558c,5.0,Flash,wall-boulders,581.0,
2018-10-08,Lime Green,V2,8b80862ecc54099ccb922a1ba3e7bfdb,5.0,Flash,wall-boulders,359.0,
2018-10-08,Blue,V1,ef689aaea940064be8cc2262c834ead5,5.0,Flash,wall-slab,192.9,
2018-10-08,Yellow Right,V2,842795bc70c90877eb7b7d697047ac00,5.0,Flash,wall-slab,192.9,
2018-10-08,Lime Green Left,V1,284f324d139522ca7bdb2cf2f07bc0d9,5.0,Flash,wall-slab,118.8,
2018-10-08,Red,V3,1fa12bab772b5a328f8d771d751c8cc3,5.0,Flash,wall-slab,118.8,
2018-10-08,Black,V2,e9f1e559623cdb743f31c8a00dc0017a,5.0,Flash,wall-slab,118.8,
2018-10-08,Lime Green,V0,dfd7df0c064cb1e9afc887b79e7a7b30,5.0,Flash,wall-slab,48.7,
2018-10-08,Yellow,V4,f1819f795f7fc38a9ae5d3b8e7af24cc,5.0,Red Point,wall-slab,48.7,
2018-10-08,Lime Green,V0,0c176e71c45fa4c91b75add5121f181b,3.0,Flash,wall-slab,192.9,
