date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-30,Lime Green,V2,1f724c46c0f35482f2a890e8d90ec3db,3.0,Red Point,wall-slab,192.9,
2018-11-30,Pink,V4,eb50fde2f6e2c8dac6455bd3052d565e,3.0,Flash,wall-slab,192.9,
2018-11-30,Red,V2,7848afa6509cd9cf370dac551ff824c7,3.0,Flash,wall-slab,48.7,
2018-11-30,Tan,V3,b43a4ecee61cff5dda0e20db3b881096,3.0,Flash,wall-slab,118.8,
2018-11-30,Yellow,V3,c7681bb87852118773ee3c0a72effd0d,3.0,Flash,wall-slab,192.9,
2018-11-30,Blue,V6,c7fc9927c0b4160caafd2876bbb9589b,3.0,Red Point,wall-slab,118.8,
2018-11-10,Purple,V0,1684f1e4b734ea9499254398e41b5e4b,3.0,Flash,wall-slab,192.9,
2018-11-10,Tan,V2,7297dc08f72fc34b95b276256ee2acff,3.0,Flash,wall-slab,192.9,
2018-11-10,Pink,V4,db74fff4e2113a4bfed0de30777ba104,3.0,Flash,wall-slab,118.8,
2018-11-10,White,V5,d24ea5404ba33740217ab6c9aac2a1c0,3.0,Flash,wall-slab,118.8,
2018-11-10,White,V5,06e621e8314a5f8308284371383a0d06,3.0,Flash,wall-slab,48.7,
