date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-20,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,3.0,Red Point,wall-red,132.5,
2019-03-20,Tan,5.10a,d8fb004619c19429664e2429e738ab8a,3.0,Red Point,wall-red,109.7,
2019-03-09,Black,5.8,aa0e73d2114a720caec6715b7075f264,3.0,Attempt,wall-back-wall,741.6,
2019-03-09,Yellow,5.8,3092485929d271da6e675e264546da34,3.0,Attempt,wall-island,92.7,
2019-03-09,Yellow,5.10a,308e38ccafd1ca4646c2f61bc2014cbe,4.0,Top Rope,wall-back-wall,140.8,
2019-03-09,Tan,5.9,e4fb80aef2441a4cbcca37a8b0b089ac,3.0,Attempt,wall-back-wall,108.7,
2019-03-09,Purple,5.10b,266f3f05f36df97cba09559cbf5d29d5,3.0,Red Point,wall-back-wall,1068.2,
2019-03-09,White,5.8,54eb15c76b720ec8ef4de3ed9377aed1,3.0,Red Point,wall-back-wall,1067.3,
2019-03-09,Black,5.9,7784f163a622e6737e043ac5d7457f8f,4.0,Red Point,wall-red,262.5,
2019-03-02,Purple,5.10a,6557740dcc03116c71933aeca2ffae5b,3.0,Red Point,wall-back-wall,895.6,
