date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-22,Black,V7,aebf59e790eeb206cc7b183bee907f1d,5.0,Red Point,wall-boulders,793.8,rad power/precision moves! 
2019-09-21,Pink,V7,b85f1c1e8430bad746f8e5458b94365c,5.0,Red Point,wall-boulders,793.8,fun dynamic moves! felt hard as a shorty﹐ but nothing that trying hard cant fix :)
2019-09-18,Yellow,V6,28902c3f48abd3bf87de32c2a989190f,5.0,Red Point,wall-boulders,736.4,what a rush
2019-09-18,White High Start,V6,5e689a1621f87ba57c4cb52576f57022,3.0,Red Point,wall-boulders,667.3,
2019-09-14,Black,V8,0130bc073881eaec5ae8f5997ef5977b,5.0,Red Point,wall-boulders,667.3,Fantastic sustained climb! So psyched to have finished this after many sessions :) I think short-friendly: found a hand-foot or hand-heel match for almost every move!
2019-09-12,Lime Green,V6,0cc7238418e81d49b26dad6b2e6ba701,5.0,Red Point,wall-mezzanine,114.6,fun & balancey
2019-09-12,Red,V5,98e6662df118952bce8162a2ff369eae,3.0,Red Point,wall-mezzanine,114.6,spanny & unintuitive movement for me﹐ but cool idea
2019-09-12,Pink,V4,9652096aa9ba2f77d568f3e913dbfe6e,5.0,Flash,wall-mezzanine,114.6,cool slope match
2019-09-12,Blue,V3,9269c2ddcbeb8b830cd54307f2feaae7,5.0,Flash,wall-mezzanine,114.6,fun & flowy with cool moves!
2019-09-12,Pink,V3,5b7d427c7e669dea5a5a015a72dd7c37,3.0,Flash,wall-mezzanine,39.7,
2019-09-12,Lime Green,V1,749f9043c1316141f8ff111ed721ee23,4.0,Flash,wall-mezzanine,39.7,
2019-09-12,Red,V3,77b38ce2608d5e418981ce707d32ea22,5.0,Flash,wall-mezzanine,39.7,cool holds & moves! 
2019-09-12,Yellow,V0,b2afff501a376f665cdaeca5e6d23569,3.0,Flash,wall-mezzanine,39.7,
2019-09-12,Tan,V2,e914438ba916019006a7620047544e15,5.0,Flash,wall-mezzanine,39.7,fun
2019-09-12,Yellow,V5,78816d3a47677628315e8d986c3bcae0,3.0,Red Point,wall-mezzanine,114.6,
2019-09-12,Yellow,V4,c499bebee6ec34257f866cbb8a269c04,4.0,Red Point,wall-mezzanine,114.6,needed microbeta!
2019-09-10,Tan,V5,be9945a8cc6f712a1b72507f6dfe4aac,4.0,Red Point,wall-boulders,87.1,had trouble figuring it out! but then ate a mooncake and it clicked.
2019-09-10,White,V6,41e3cf22902518466fa7460d6a94ef9a,5.0,Red Point,wall-boulders,222.0,not to 5 star a climb I set :P but this turned out fun! crux for me as a shorty was the first half﹐ big moves for me!
2019-09-10,Black,V5,3590a39b349058fa67edc593965dde68,5.0,Red Point,wall-boulders,222.0,really nice climb! 
2019-09-03,Lime Green,V3,6f9db8144fad396c3d38380e71a4ddaa,5.0,Flash,wall-boulders,581.0,one of my favs. fun movement & neat holds!
