date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-01,Pink,5.12b,0b0248b65a2a3646eb8f43de8d287d71,3.0,Flash,wall-back-wall,589.1,
2019-03-01,White,5.12a,ff6d3167efd8ed7a75d9612047650f9f,3.0,Red Point,wall-back-wall,507.7,
2019-03-01,Lime Green,5.12b,6a2cc6de002b75b0e93bede3b38b7427,3.0,Flash,wall-back-wall,488.9,
2019-03-01,Blue,5.12a,21a216763d5ac0b758c8b1775a2a1c26,3.0,Red Point,wall-back-wall,443.3,
2019-03-01,Tan,5.13c,6295ddef27b2386fbdc86ee2dae841db,3.0,Red Point,wall-back-wall,689.8,
2019-03-01,Blue,5.12c,f72b2ea050a3e4b7163cd76bec1cea7f,3.0,Red Point,wall-back-wall,608.4,
2019-03-01,Purple,5.13b,0e2c8acd0e0ca8a2b8a320d9673d9510,3.0,Red Point,wall-back-wall,562.0,
2019-03-01,Yellow,5.12d,faf51170162d94d7f598f69b9fd589d8,3.0,Red Point,wall-back-wall,560.9,
2019-03-01,Red,5.13a,8a9a3dd2a0cf13eaf1ebd5d2bd521840,3.0,Red Point,wall-back-wall,533.8,
2019-03-01,Yellow,5.13a,359d6f72da63e070ba7122a89e6bb162,3.0,Red Point,wall-back-wall,36.9,
