date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-26,Purple,5.8,8728d2950f2038ae5c14b3b80f164708,,Top Rope,wall-red,263.2,
2020-01-26,Lime Green,5.10a,f66e3542e8ea378346e9fb674cfd9dab,,Top Rope,wall-red,230.0,
2020-01-26,Red,5.10a,78d421ed24e7aab1bd59d46244854a3a,,Top Rope,wall-red,199.0,
2020-01-26,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,,Top Rope,wall-red,156.9,
2020-01-26,Black,5.8,a669368eaf4e21350b454a1f68610ee8,,Top Rope,wall-island,91.7,
2020-01-19,Yellow,5.8,185c9bc7ac481c3846a9be74c393aea9,,Top Rope,wall-back-wall,1200.6,
2020-01-19,Lime Green,5.9,997e0a77061d3131779265e9607521ad,,Top Rope,wall-back-wall,1121.9,
2020-01-19,Black,5.10b,e3bb65d47c22cddc19048ed526c5d751,,Top Rope,wall-back-wall,1099.6,
2020-01-19,Yellow,5.8,7c2bf0c77c87dd4a16094c10df3c2fc9,,Top Rope,wall-back-wall,1097.8,
2020-01-19,Lime Green,5.9,ef112763a9504e29413de114f16cf113,,Top Rope,wall-red,132.5,
2020-01-19,Black,5.9,a77556ed377856515da5a2931643816b,,Top Rope,wall-red,80.7,
2020-01-19,Tan,5.7,9e88c9ad3aa8e10bd238c0cf96004552,,Top Rope,wall-red,79.7,
