date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-27,Pink,5.11c,9f445becdcd0eb70de913d4cc0c07fac,3.0,Top Rope,wall-auto-belay,390.5,
2019-02-27,White,5.8,f5e67ce5eeb8ded9d9033d8fd4473ec6,3.0,Top Rope,wall-island,18.7,
2019-02-27,Lime Green,5.10c,9f9e76a58f4ced53fed83c8f6f4bbad0,3.0,Top Rope,wall-island,19.8,
2019-02-27,Red,5.11c,c6a19fdbb737d34e11b8c5a96bda85d7,5.0,Top Rope,wall-island,395.6,
2019-02-27,White,5.11d,f5baa8376908234c418180f0671b7ddc,5.0,Top Rope,wall-back-wall,1228.7,
2019-02-27,Pink,5.11a,3b63588f6c73e8147007db3e4998614b,4.0,Top Rope,wall-auto-belay,20.3,
2019-02-27,Tan,5.11b,e3b3ee55c62a6270f960469dd0f8a1e0,4.0,Top Rope,wall-auto-belay,498.5,
2019-02-18,Pink,V2,bf2afe97a9a0636bf80037f9c710ccbc,3.0,Flash,wall-slab,48.7,
2019-02-18,Black,V4,88ce1f8973b407b2cbb6f0d8d8a01078,4.0,Red Point,wall-slab,48.7,
2019-02-18,Lime Green,V3,bf75a495c35d8d077dffa78241cb9d17,3.0,Flash,wall-slab,48.7,
2019-02-18,Black,V3,013b40bd6cef5f1c302536af90a731f1,3.0,Flash,wall-slab,118.8,
2019-02-18,Red,V2,334c0a6d0fdb2450a9cfa7886f17b1ed,3.0,Flash,wall-slab,118.8,
2019-02-18,Tan,V5,b3aa8d94f751c7a68a32de98c1a85546,4.0,Red Point,wall-slab,118.8,
2019-02-18,Blue,V4,c2b2b2197e87ae1d11ad4dedad08fc28,4.0,Red Point,wall-slab,192.9,
2019-02-18,Black,V1,0cda2b1dda67ea0939b4eab24b771519,3.0,Flash,wall-slab,192.9,
2019-02-18,Lime Green,V4,44aa15e83690d7a7ead7db684efae398,5.0,Flash,wall-boulders,288.8,
2019-02-18,Yellow,V3,35e482e2b4594e52381028755ff61247,4.0,Flash,wall-boulders,288.8,
2019-02-18,Blue,V3,2a1d743ec2b91cbe1e388d759c3920c6,4.0,Flash,wall-boulders,581.0,
2019-02-18,Lime Green,V2,726864e5a5b713ef4081c53abdf80793,3.0,Flash,wall-boulders,581.0,
2019-02-18,Lime Green,V3,0f22038a7abae5f46e4bdee832a14100,4.0,Red Point,wall-boulders,736.4,
2019-02-18,Red,V2,7b1a237a6966ddf01ddc6b608ac28544,4.0,Flash,wall-boulders,793.8,
2019-02-14,Black,5.10d,ee8ea74e8fb36361111d46cb8c3ec4f9,3.0,Red Point,wall-island,76.0,
2019-02-14,Blue,5.10b,cbd5bc382b569491a04024689cbb6c7b,3.0,Attempt,wall-back-wall,252.2,
2019-02-14,Red,5.10d,5f34e95234a90c996e85d27ef7d73312,3.0,Attempt,wall-back-wall,830.9,
2019-02-14,Pink,5.11b,f524e04704e83bb1efe946d418f9678f,3.0,Attempt,wall-red,110.4,
2019-02-14,Blue,5.10d,035a20935302d087ae0530ba1bc26774,3.0,Attempt,wall-red,25.4,
2019-02-14,Tan,5.9,ee9cc9730eb9229660d1105dfa2beca2,3.0,Onsight,wall-red,50.1,
2019-02-14,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,3.0,Red Point,wall-red,132.5,
2019-02-08,White,V2,ca89975a2b9ac251494527393be00259,3.0,Flash,wall-mezzanine,39.7,
2019-02-08,Lime Green,V3,1713caf84e79fd07eb1d7019158b26ff,3.0,Flash,wall-mezzanine,39.7,
2019-02-08,Black,V3,9422cec1fdd256e8eec2670378d221ca,3.0,Flash,wall-mezzanine,114.6,
2019-02-08,Pink,V4,91421eb4ee1bbccab9406524e921fe05,3.0,Flash,wall-mezzanine,114.6,
2019-02-08,Pink,V5,bb9e809e963bf55583791d5cffd3908d,4.0,Red Point,wall-mezzanine,114.6,
2019-02-08,Yellow,V3,429db585192a725fb4731b0c693f0f75,4.0,Flash,wall-mezzanine,114.6,
2019-02-08,Tan,V3,74a073fbd24ab5248948d2e5364229e7,3.0,Red Point,wall-mezzanine,114.6,
2019-02-08,Yellow,V1,2b5c9d62743c13d293a6d1d860f36874,3.0,Flash,wall-mezzanine,114.6,
2019-02-08,Black,V5,29e663f793333d6c73bcedee057e8600,4.0,Red Point,wall-mezzanine,39.7,
2019-02-08,Blue,V4,4bf24c8aa0a2fc946cf6642e6ba130f3,4.0,Red Point,wall-mezzanine,39.7,
2019-02-08,Blue,5.10b,d16742559fbe4127343c09c54ce531de,3.0,Onsight,wall-auto-belay,196.3,
2019-02-08,Black,5.11a,9ef0e5cb2b10f5eaed971ea662854a68,4.0,Red Point,wall-auto-belay,220.8,
2019-02-08,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Onsight,wall-auto-belay,221.5,
2019-02-08,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Onsight,wall-auto-belay,249.2,
2019-02-08,Purple,5.11a,4ff2f7ae7d23148c048f2ef623c9594e,4.0,Red Point,wall-auto-belay,341.8,
2019-02-05,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,4.0,Attempt,wall-red,132.5,
2019-02-05,Tan,5.10a,d8fb004619c19429664e2429e738ab8a,3.0,Onsight,wall-red,109.7,
2019-02-05,Yellow,5.10b,b52c60f9d866c1a401e3e439d2f3e7d1,4.0,Onsight,wall-back-wall,1376.9,
2019-02-05,Yellow,5.9,2efbb82f29bf8c58e2e999b953a516cf,3.0,Top Rope,wall-island,468.2,
2019-02-05,Lime Green,5.10c,3fd3670e94f3d0e3a88a6cf2595abe46,4.0,Attempt,wall-island,445.8,
2019-02-05,Yellow,5.10a,75ec87eade17a7f370f0be0750fc0a28,5.0,Attempt,wall-back-wall,251.9,
2019-02-05,Black,5.8,fcaf18c31fab6f55f07c1952f6db8235,5.0,Onsight,wall-back-wall,57.6,
