date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-24,Tan,5.9,eb0917526469df6056cc3bc2df407ed6,5.0,Onsight,wall-back-wall,1227.9,
2019-09-24,Purple,5.9,112b0cdfa8dda84f70c53c71c0606447,2.0,Red Point,wall-back-wall,1293.7,
2019-09-24,Blue,5.8,0934e581fdd3c10b90870365f156d809,3.0,Red Point,wall-fox,91.4,
2019-09-24,Black,5.8,72cd0e8ac74ce5e4f6b9f9519cc0853a,5.0,Onsight,wall-auto-belay,418.8,
2019-09-23,Black,5.10a,29643ef349ab230292c70b59314bbb03,4.0,Attempt,wall-island,141.6,
2019-09-20,Lime Green,5.7,98bc01330d785b14fc5e4593444b8e66,5.0,Onsight,wall-island,126.0,good for practicing straight arms and feeling like a panda
2019-09-20,Lime Green,5.10a,e67ae08a57c8347221df02ed2b6cedcd,4.0,Red Point,wall-island,183.8,gives my arm bruises every time﹐ but totally worth it
2019-09-17,Tan,5.9,c22a3e51bcb8b43302f70b4247bd4fec,4.0,Red Point,wall-island,246.0,there's some slippery foot holds
2019-09-12,Yellow,5.7,e399b7ac0f444d2c759031d2c068ce68,5.0,Onsight,wall-island,226.9,good warm up route
2019-09-12,Blue,5.8,0934e581fdd3c10b90870365f156d809,3.0,Red Point,wall-fox,91.4,
