date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-10-28,Lime Green,5.10b,74649c1011072913911ab141e4bf24d4,3.0,Top Rope,wall-back-wall,108.7,
2019-10-28,Lime Green,5.10b,74649c1011072913911ab141e4bf24d4,3.0,Top Rope,wall-back-wall,108.7,
2019-10-28,Yellow,5.9,9679387c8f76d8b778ace23c8c7267df,3.0,Onsight,wall-back-wall,141.7,
2019-10-28,Pink,5.8,f1faaccc28792e2b89a1a426528aa29d,3.0,Onsight,wall-back-wall,165.3,
2019-10-28,White,5.10b,f2f2e0d392c218b1b4f2014895d15311,3.0,Onsight,wall-back-wall,190.5,
2019-10-28,Yellow,5.8,76d1adcb7bc9fbddfa993a8f9f19584b,3.0,Onsight,wall-back-wall,221.9,
2019-10-28,Purple,5.10a,764ba7ae6edbb2c51ac608e130346fc1,3.0,Onsight,wall-back-wall,243.6,
2019-10-28,Pink,5.9,307e02e2ddc6a796adbcc6ba85f65282,3.0,Onsight,wall-back-wall,252.2,
2019-10-28,Lime Green,5.8,1ef0eb38d64a3968e57eb436bfc2860d,3.0,Onsight,wall-island,364.3,
2019-10-28,Pink,5.10b,238846b13e3522b5eae9a6e7ffdee8f2,3.0,Onsight,wall-island,365.2,
2019-10-28,Red,5.9,0c26a257c10ebe6decab961c533c084d,3.0,Onsight,wall-island,420.7,
2019-10-28,Blue,5.11b,2ff674be2a650fe354c90fb700b704c7,3.0,Onsight,wall-back-wall,322.3,
2019-10-28,Blue,5.11a,3553c1302cee960763106835a463e4f2,3.0,Red Point,wall-back-wall,506.6,
2019-10-28,White,5.10d,551a2c0d77a2ab2414d99f98d67c6af4,3.0,Onsight,wall-back-wall,443.3,
