date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-12-28,Lime Green,5.8,10594556371853f56dc06019bd232dea,,Top Rope,wall-back-wall,870.9,
2019-12-18,White,5.10a,9e3cc0d8285c5ef2981cfd78be1871d5,4.0,Top Rope,wall-island,353.3,
2019-12-18,Pink,5.10c,4671590e5a4096be591bb0a452f8b1f9,,Top Rope,wall-back-wall,1376.2,
2019-12-11,Pink,5.9,790f73a05c14d3204a5baab19dd381a5,,Top Rope,wall-back-wall,945.1,
2019-12-11,Black,5.10c,590775c1fdd11c0e3e27cc1fa5b9cddd,,Top Rope,wall-back-wall,1199.9,
2019-12-11,Blue,5.10b,4a8bb2e984e82fd6186479a8afd248c3,,Top Rope,wall-back-wall,141.7,
2019-12-11,Tan,5.10b,b889e573fdd03975288cf5953e91c427,4.0,Top Rope,wall-back-wall,1329.5,
2019-12-10,Lime Green,5.8,2f2e4224dfd0c1c3a389b0a5caaa7e82,4.0,Top Rope,wall-back-wall,1376.9,
2019-12-10,Black,5.8,2b526bae2172aa8cb06872c69ef840e4,4.0,Top Rope,wall-back-wall,994.6,
2019-12-10,Yellow,5.10c,1741926478be8a2f9d556c25d0545bba,4.0,Top Rope,wall-island,327.1,
2019-12-10,Purple,5.10a,dd66e6cc093e6b8230652056a3ce1ebd,5.0,Top Rope,wall-back-wall,743.3,
2019-12-04,Blue,5.8,8f050d15cb7be37cc3403423b5655f20,5.0,Top Rope,wall-red,173.9,
2019-12-04,White,5.9,c31e82c4ef05972e925a17bd02a5f194,4.0,Top Rope,wall-back-wall,1353.6,
2019-12-04,Yellow,5.10b,8a85fa68b2072752d02380ef57c8009a,5.0,Top Rope,wall-island,280.2,
