date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-17,Pink,5.11a,f8db0c6decb68371fba55f9ea9089c2d,3.0,Flash,wall-auto-belay,174.3,
2019-06-17,Blue,5.10b,e6c65bfcc9972383397bf8da8ad04097,3.0,Flash,wall-auto-belay,196.9,
2019-06-17,Yellow,5.9,7d6f7cf2d85eb971c8065fa263394d77,3.0,Flash,wall-auto-belay,197.6,
2019-06-05,Black,5.9,ab1d196333bdaeb3d6c753583a726bda,3.0,Top Rope,wall-auto-belay,222.7,
2019-06-05,Yellow,5.9,45a7004461d8305f97d82064a54e92be,3.0,Top Rope,wall-auto-belay,250.5,
2019-06-05,Tan,5.6,33a9a36df96d83a287cdf2fe1abfc6bc,3.0,Top Rope,wall-auto-belay,251.1,
2019-06-05,Tan,5.6,33a9a36df96d83a287cdf2fe1abfc6bc,3.0,Top Rope,wall-auto-belay,251.1,
2019-06-05,Blue,5.5,99d687a3caf41aab9c73809769394aec,3.0,Top Rope,wall-auto-belay,343.2,
2019-06-05,Blue,5.5,99d687a3caf41aab9c73809769394aec,3.0,Top Rope,wall-auto-belay,343.2,
2019-06-05,Black,5.10c,7b75ca6b1e359569248b64e82260e529,3.0,Onsight,wall-back-wall,388.4,
2019-06-05,Yellow,5.10a,4f809782bd641f2c2bebb1bd95c2944b,3.0,Onsight,wall-back-wall,243.4,
