date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-24,Blue,V3,2ef2e89c6faaa25cf9f0ce980d0f31d4,5.0,Red Point,wall-boulders,667.3,
2018-12-24,Lime Green,V4,3fa5897417c61e93642fdc0a585bdfac,4.0,Flash,wall-slab,48.7,
2018-12-22,Tan,V6,3b0fa9ee6fee24028834849411c4f569,5.0,Red Point,wall-slab,192.9,
2018-12-22,White,V3,d51b298911e6b78f0ec5883108d5f48a,5.0,Red Point,wall-slab,48.7,
2018-12-22,Red,V1,9dcc0537dda258efd469981adb6b4e34,4.0,Flash,wall-slab,48.7,
2018-12-22,Tan,V4,1a38023822ee72d7452dec7e8c61007c,4.0,Flash,wall-slab,118.8,
2018-12-22,Pink,V5,4f15da93e8c55191c3f14f9855f54b08,5.0,Red Point,wall-slab,118.8,
2018-12-22,White,V0,ed608d9a90465c23c4fbbc487df63690,5.0,Flash,wall-slab,118.8,
2018-12-22,Black,V3,82c709dcc2a7d90fdb7fa51200be5274,4.0,Flash,wall-slab,118.8,
2018-12-22,Yellow,V2,654b34556c11f875d455d2940dd10c7a,4.0,Flash,wall-slab,118.8,
2018-12-22,Blue,V3,6a2f08d3f5bc19acf65fd0456eeefe75,5.0,Red Point,wall-slab,192.9,
2018-12-22,Red,V2,2cd37c1240eeb2474ff10d8026a0a9a8,4.0,Flash,wall-slab,192.9,
2018-12-22,White,V3,4adeb546e2f9be85ac91e5d3d58a52c0,4.0,Flash,wall-slab,192.9,
2018-12-22,Pink,V2,141a23084ca9b5dd39b6d8e9670cd7e9,5.0,Flash,wall-slab,192.9,
2018-12-18,Pink,V3,596f9102be589e2ae91ed963bc291ca9,4.0,Flash,wall-boulders,667.3,
2018-12-18,Tan,V3,a1f2c6530502b6752bff846110cb90f0,5.0,Flash,wall-boulders,667.3,
2018-12-18,Purple,V0,c917b8d559ba8e749da4c7d16504b3ea,5.0,Flash,wall-boulders,793.8,
2018-12-18,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Flash,wall-boulders,793.8,
2018-12-18,Lime Green,V2,a8efeccf5c6846576c205464b39ea956,4.0,Flash,wall-boulders,793.8,
2018-12-11,White,V6,0daa91885468fd1673e658f258d5891c,5.0,Red Point,wall-boulders,359.0,
2018-12-04,Pink,V4,a475a4a8880f25835b4b2a2a2c2f7b30,5.0,Red Point,wall-boulders,423.0,
2018-12-04,Pink,V5,b171df4751750f324157d7fc9e32f2a3,5.0,Red Point,wall-boulders,423.0,
2018-12-04,Tan,V4,fc4e5ebfcafaeda4e4c6c5acdf9924bd,5.0,Red Point,wall-boulders,423.0,
2018-12-04,Red,V4,95c46b00ee8a9e3e4e1f84e88c2fc6d9,5.0,Flash,wall-boulders,581.0,
2018-12-01,Pink,V1,d808023194bf597d2cd932b89810d0ce,4.0,Flash,wall-boulders,581.0,
2018-12-01,Black,V1,d006e610c8577a576060af243ef0e4c3,4.0,Flash,wall-boulders,581.0,
