date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-20,Lime Green,V0,46e6224b81223c9a6daa42106e04ed28,3.0,Flash,wall-boulders,423.0,
2019-01-19,White,V2,ca89975a2b9ac251494527393be00259,3.0,Red Point,wall-mezzanine,39.7,
2019-01-19,Lime Green,V2,726864e5a5b713ef4081c53abdf80793,3.0,Red Point,wall-boulders,581.0,
2019-01-19,Black,V1,e9af4aa3550625490793ba36dbef7d4e,3.0,Flash,wall-boulders,581.0,
2019-01-13,Yellow,V3,429db585192a725fb4731b0c693f0f75,3.0,Flash,wall-mezzanine,114.6,
2019-01-13,Blue,V2,f50926a4db431481e26ab9ae64ed5dc5,3.0,Red Point,wall-mezzanine,114.6,
2019-01-13,Blue,V1,c07fcdf02ea1e7c69b9181be93b009fd,3.0,Flash,wall-mezzanine,114.6,
2019-01-13,Yellow,V1,2b5c9d62743c13d293a6d1d860f36874,3.0,Flash,wall-mezzanine,114.6,
2019-01-13,Lime Green,V0,d507658c7872a92c58965c7603b9e061,3.0,Flash,wall-mezzanine,39.7,
2019-01-12,Black,V2,599325ae5a5efad2aa66bcce5cb61768,3.0,Red Point,wall-boulders,359.0,
