date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-29,Tan,5.10b,23f176cb7c5d65e2b0062f187013cf76,,Top Rope,wall-island,164.0,
2020-01-29,Black,5.10a,422eb4cf58bb8d9ddd1e232528f2fa1f,,Top Rope,wall-island,182.8,
2020-01-29,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,,Red Point,wall-boulders,87.1,
2020-01-29,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,,Flash,wall-boulders,87.1,
2020-01-29,Black,V3,0216b043f753fb408b6ae5fea32bf902,,Flash,wall-boulders,161.2,
2020-01-29,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Flash,wall-boulders,161.2,
2020-01-22,Black,5.11a,e2a55583d7241135bb408e1212980fe0,,Top Rope,wall-back-wall,1293.7,
2020-01-22,Purple,5.10c,9c451585bd450d279cd57b4ec660b54e,,Top Rope,wall-island,300.0,
2020-01-15,Blue,5.9,28c55459f34c54a90030b117c0c6d4be,,Top Rope,wall-red,50.1,
2020-01-15,Yellow,5.10a,a8168a0133f81754eab9895da2b1cae1,,Top Rope,wall-red,109.7,
2020-01-15,Black,5.10c,590775c1fdd11c0e3e27cc1fa5b9cddd,,Top Rope,wall-back-wall,1199.9,
2020-01-15,Black,5.10b,e3bb65d47c22cddc19048ed526c5d751,,Top Rope,wall-back-wall,1099.6,
2020-01-15,White,5.10a,46699f0628862cbc3ab6a2fe0fcda774,,Top Rope,wall-back-wall,969.6,
2020-01-15,White,5.9,e8863663cbbc56fc1858bb5148c72b8a,,Top Rope,wall-back-wall,1386.5,
2020-01-15,Pink,5.10c,4671590e5a4096be591bb0a452f8b1f9,,Top Rope,wall-back-wall,1376.2,
2020-01-15,Yellow,5.9,6987723587b5a911d64044928e7b8fb3,,Onsight,wall-back-wall,1353.6,
2020-01-12,Pink,5.10c,74193c2f4f944f79a424b646634c1206,,Top Rope,wall-back-wall,922.4,
2020-01-12,Red,5.9,be26c21eab86c99520dd919f6ac136d0,,Top Rope,wall-island,280.2,
2020-01-12,Tan,5.10b,b889e573fdd03975288cf5953e91c427,,Top Rope,wall-back-wall,1329.5,
2020-01-12,Yellow,5.10b,2c01ec9e745ab6c7cda6c41d660fb8d9,,Top Rope,wall-back-wall,1409.3,
2020-01-12,Purple,5.9,32c4a6cbbb726be6ca45ded747bcee89,,Top Rope,wall-auto-belay,497.7,
2020-01-12,Tan,5.10a,221298a60355f428edc3510792a28862,,Top Rope,wall-auto-belay,481.3,
2020-01-12,Pink,5.10c,41d581885877455e84c7a1e686d81c56,,Top Rope,wall-back-wall,1020.5,
2020-01-12,Blue,5.10d,0c2945cdc4bf070b0f9ea2e732f520ab,,Top Rope,wall-island,266.9,
2020-01-08,Red,5.11b,e1db27bce97ce8180c6fe740f505ff3a,,Top Rope,wall-auto-belay,302.7,
2020-01-08,White,5.11c,ad04bd3d41341aba27a71331c7b989b0,,Top Rope,wall-auto-belay,273.1,
2020-01-08,Purple,5.10a,3367c4d06c93f4c7198f49fbc31c31ad,,Top Rope,wall-island,445.8,
2020-01-08,Black,5.10c,c5e08075f63ffc13a5247ab216de6b80,,Top Rope,wall-island,19.8,
