date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-26,Yellow,5.10b,84e6dc4e2badd861ad30f1b185fb38ad,3.0,Top Rope,wall-back-wall,1199.9,
2019-06-26,Red,5.10a,6dc3051510ff59c16073354826abfa26,3.0,Top Rope,wall-back-wall,1251.0,
2019-06-26,Purple,5.10a,7ab481f27a5394e37c21f6ae48c02458,3.0,Top Rope,wall-back-wall,1227.9,
2019-06-26,Tan,5.9,c834436f9ce74fc79ef4439908108b5c,3.0,Top Rope,wall-back-wall,1175.0,
2019-06-23,White,5.9,bc6c2af75115565987b6a9cad5d7f3f6,3.0,Red Point,wall-island,420.7,
2019-06-22,White,5.10a,f8f68ff0cf4709257334ec55ea02e1cb,3.0,Red Point,wall-back-wall,191.4,project multiple takes super pumpy
2019-06-22,Yellow,5.10a,4f809782bd641f2c2bebb1bd95c2944b,3.0,Red Point,wall-back-wall,243.4,
2019-06-22,Yellow,5.9,c2c0b53e03323d6b6e87d3260c9d7ed5,3.0,Red Point,wall-back-wall,165.3,
2019-06-22,Purple,5.8,e4a399c527279cda65d4a66091fce5a8,3.0,Red Point,wall-back-wall,221.9,
2019-06-13,Yellow,5.8,16de40d44f58b08651dccfe478d60921,3.0,Red Point,wall-back-wall,993.7,
2019-06-12,Yellow,5.9,72040ceb98c2b059ce692607d2488596,3.0,Top Rope,wall-back-wall,945.1,
2019-06-12,Purple,5.10a,d01f50dabac98d2cd5fa734d7bf993bc,3.0,Top Rope,wall-back-wall,1018.7,
2019-06-12,Tan,5.9,3bc3ba0cb8b7dd7c9e4431346cbe1591,3.0,Top Rope,wall-back-wall,1141.8,
2019-06-05,Black,5.10a,5fb519d8b78bbb79d5550f1337bf7b1e,3.0,Red Point,wall-back-wall,1274.8,
2019-06-05,Red,5.9,a76b5d99512451386b75448099c67d2d,3.0,Top Rope,wall-island,141.6,
2019-06-05,Pink,5.9,6ef2c7e0befd7d34ec1bfb66b7716be7,3.0,Red Point,wall-back-wall,1293.7,
2019-06-05,Yellow,5.9,c3fe906e764880185980bd05416d07f4,3.0,Red Point,wall-back-wall,1309.3,
2019-06-05,Yellow,5.8,16de40d44f58b08651dccfe478d60921,3.0,Red Point,wall-back-wall,993.7,
2019-06-05,Black,5.8,b8649c4e6215e953cf952f376ef600d4,3.0,Red Point,wall-back-wall,791.7,
