date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-05-31,Tan,V5,aee31f86fba435fb07fd9b8742859afb,3.0,Red Point,wall-boulders,359.0,
2019-05-31,Yellow,V5,74cc06ffef88d99458c9ec8b5a7cb989,3.0,Flash,wall-boulders,667.3,
2019-05-24,Black,5.12c,8ea82b7c8c7b7f6e9b76359c9048c67f,4.0,Attempt,wall-island,353.7,
2019-05-23,White,V4,79c5d67be2cc220058b870d0ed3734f8,3.0,Flash,wall-boulders,793.8,
2019-05-23,Lime Green,V0,2ae7c9d09f7478169e3753a434ab5a8c,3.0,Flash,wall-boulders,288.8,
2019-05-23,Blue,V1,0cf6164c630e57baf374241dd0561799,3.0,Flash,wall-boulders,359.0,
2019-05-23,White,V5,ef77f308d801163044bc5654de8244b5,3.0,Red Point,wall-mezzanine,114.6,:(
2019-05-22,Black,V6,ec370c41d54154f9a182ed7b9b1667bf,4.0,Red Point,wall-boulders,793.8,
2019-05-21,White,V2,e2a0ebbd66cbab7f766482bb4d0859e8,3.0,Flash,wall-boulders,736.4,
2019-05-21,Tan,V1,3d710e451111716838acc48b4f5dc2da,3.0,Flash,wall-boulders,736.4,
2019-05-21,Lime Green,V3,a62c19519c26150c0c68f7e76671430f,3.0,Flash,wall-boulders,793.8,
2019-05-21,Red,V3,ee0e71d3b3faba9cd923da0eb4ed08df,3.0,Flash,wall-boulders,736.4,
2019-05-21,White,V2,05f26e32c26d509ef6b42f0182fcb05b,3.0,Flash,wall-boulders,667.3,
2019-05-21,Tan,V0,a6a30d4f11d44d5721d2eb1e025c0045,3.0,Flash,wall-boulders,793.8,
2019-05-21,Pink,V6,b8d60d871fc6f07d5e13ed7afe42cd53,4.0,Red Point,wall-boulders,793.8,fun﹐ a tad soft
2019-05-10,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,4.0,Top Rope,wall-back-wall,1200.6,Fun flow with some tricky footwork﹐ would give five stars but there's a serious rope issue 2/3 of the way up - rope covers up a pocket that you need to deadpoint to.
2019-05-10,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,4.0,Attempt,wall-back-wall,1200.6,
2019-05-09,Black,V2,8250bcbb19be31dc0434f8bba53dde90,3.0,Flash,wall-mezzanine,39.7,
2019-05-09,Tan,V3,1f87cbe9bb8bfca5d09c9e841f9ace4a,3.0,Flash,wall-mezzanine,39.7,
2019-05-09,Lime Green,V1,93a7c83348327587a1c2fd3b9446c611,3.0,Flash,wall-mezzanine,39.7,
2019-05-09,Blue,V2,684e830b3e864916d7d8ec5a511c3335,3.0,Flash,wall-mezzanine,114.6,
2019-05-09,Pink,V0,70ce5508d5b3e2fa80bac7eb45795339,3.0,Flash,wall-mezzanine,114.6,
2019-05-09,Yellow,V0,0b317f7171a66878aed058ae894271ca,3.0,Flash,wall-mezzanine,114.6,
2019-05-09,Red,V1,170f59c2862db6092ccb1f2e3209f844,3.0,Flash,wall-mezzanine,114.6,
2019-05-09,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,4.0,Attempt,wall-back-wall,1200.6,
2019-05-09,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,4.0,Attempt,wall-back-wall,1200.6,
2019-05-09,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,4.0,Attempt,wall-back-wall,1200.6,
2019-05-07,Lime Green,5.7,11dde1fc9c345dfa3aa0fff636444eca,3.0,Onsight,wall-auto-belay,197.6,
2019-05-07,Purple,5.10c,0a513bf8540486ffd7bec190680635b4,3.0,Onsight,wall-auto-belay,198.2,
2019-05-07,White,V5,42e49b042f0c9605d299238891e447e1,2.0,Red Point,wall-boulders,793.8,
2019-05-07,Yellow,5.11d,ff6a6d8f24cdc435b701d31798728b26,3.0,Attempt,wall-back-wall,16.3,
2019-05-07,Yellow,5.12c,8bfcd9dbaf6fdad6a20a0283a01e513c,4.0,Top Rope,wall-auto-belay,341.8,"Fun﹐ bottom 70% is ~12a and then it gets hard.

5th try, autobelay."
2019-05-06,Pink,5.12a,b12380fd4dd4c39abf8d0b3d2e36797b,3.0,Attempt,wall-back-wall,165.3,
2019-05-06,White,5.11d,7ad4b67d4f0d58d91ce21393e96e6b90,3.0,Attempt,wall-island,42.2,
2019-05-06,Red,5.9,06d5805014f42e0e77123501f1900e04,3.0,Onsight,wall-back-wall,1227.9,
2019-05-06,Yellow,5.12c,6ee0b3cd518c450809a464d16437dfef,4.0,Attempt,wall-back-wall,1200.6,
2019-05-06,Tan,5.10a,1d3b6829451b36e14aef53b5d4ec6726,3.0,Onsight,wall-island,76.0,lead
2019-05-06,Pink,5.12a,1cd9ab355eafc683ff9a4b51ecb8bfff,5.0,Top Rope,wall-island,603.0,
2019-05-01,Lime Green,V6,40df3067e246513f908da5266fef6666,5.0,Red Point,wall-slab,192.9,super fun﹐ went up with both hands at once
2019-05-01,Tan,V5,46af9bbcdf21d1fd0a6f45196666f680,3.0,Red Point,wall-slab,48.7,
2019-05-01,Lime Green,5.12c,e185401dfa1edcf8812557c3b22d25ac,3.0,Attempt,wall-back-wall,141.7,
2019-05-01,Lime Green,5.12c,e185401dfa1edcf8812557c3b22d25ac,5.0,Top Rope,wall-back-wall,141.7,lots of fun with diverse holds and body positions﹐ quite burly
