date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-04-25,Yellow,5.9,c3fe906e764880185980bd05416d07f4,3.0,Top Rope,wall-back-wall,1309.3,
2019-04-25,Red,5.9,06d5805014f42e0e77123501f1900e04,3.0,Top Rope,wall-back-wall,1227.9,
2019-04-25,White,5.8,2a6ad35d7b387bdbdd9553349f487257,3.0,Top Rope,wall-back-wall,1250.3,
2019-04-25,Yellow,5.8,3092485929d271da6e675e264546da34,3.0,Top Rope,wall-island,92.7,
2019-04-25,Yellow,5.8,f2a31126bb1ae6902dfa24d85639dcf5,3.0,Top Rope,wall-red,155.6,
2019-04-21,Yellow,5.9,992b7a0f504dc6194cc4ec600892121a,3.0,Top Rope,wall-back-wall,968.7,
2019-04-21,Blue,V0,f71afbff42fa038e87802af186a7a320,3.0,Flash,wall-boulders,288.8,
2019-04-20,Purple,5.10a,e3e34569a4a7dcb07cef8ad3fda0bc68,3.0,Top Rope,wall-island,127.1,
2019-04-20,Yellow,5.9,2c333b8c55a7effd97483a822afd537b,3.0,Top Rope,wall-island,19.8,
2019-04-20,Yellow,V0,f72d88c7a6b89908ba419ef2a8b6e050,3.0,Red Point,wall-mezzanine,114.6,
2019-04-20,Lime Green,V0,a9f810907c5ae3522973c781f2226035,3.0,Red Point,wall-mezzanine,114.6,
2019-04-20,Blue,V0,cb5a93ac89d26a8b43518b64e194357a,3.0,Red Point,wall-mezzanine,114.6,
2019-04-20,Tan,V0,1cbc311fe7a1b30dfba8b9d4c6184c6a,3.0,Red Point,wall-mezzanine,39.7,
2019-04-20,Purple,5.7,19edbc498cef6cef0a4cafc30604d0a3,3.0,Top Rope,wall-island,59.4,
2019-04-17,Blue,5.8,e1b2e7d27ff11d1bdc5736b7a2a6c784,3.0,Top Rope,wall-back-wall,1376.2,
2019-04-17,Tan,5.9,9e583005dc5a184bce1e83122612b262,3.0,Top Rope,wall-back-wall,190.5,
2019-04-17,Tan,5.9,e4fb80aef2441a4cbcca37a8b0b089ac,3.0,Top Rope,wall-back-wall,108.7,
2019-04-17,Lime Green,5.9,17b02c0734b32834448fcd009fe3bc44,3.0,Top Rope,wall-island,528.5,
2019-04-17,Lime Green,5.8,de65ff0a08103b6268fa4c9e1ecd888e,3.0,Top Rope,wall-back-wall,69.3,
2019-04-08,Purple,5.10a,7c8653bdef5933fd9a4b7bba4af0e988,3.0,Top Rope,wall-back-wall,56.8,
2019-04-08,White,5.9,97ec77e23115afd5506202bacacff4d6,3.0,Top Rope,wall-island,364.3,
2019-04-08,Yellow,5.10a,26b8dd5ec5bbb0b3c09d2f0c69867b5d,3.0,Top Rope,wall-back-wall,871.9,
2019-04-08,Purple,5.10a,e3e34569a4a7dcb07cef8ad3fda0bc68,3.0,Top Rope,wall-island,127.1,
2019-04-08,Yellow,5.9,2c333b8c55a7effd97483a822afd537b,3.0,Top Rope,wall-island,19.8,
2019-04-08,Yellow,V0,f72d88c7a6b89908ba419ef2a8b6e050,3.0,Red Point,wall-mezzanine,114.6,
2019-04-08,Blue,V0,cb5a93ac89d26a8b43518b64e194357a,3.0,Flash,wall-mezzanine,114.6,
2019-04-08,Tan,V0,1cbc311fe7a1b30dfba8b9d4c6184c6a,3.0,Flash,wall-mezzanine,39.7,
2019-04-07,Lime Green,V0,a9f810907c5ae3522973c781f2226035,3.0,Red Point,wall-mezzanine,114.6,
2019-04-05,Yellow,V0,f0547225528505dd3ca697fba0cdc849,3.0,Red Point,wall-slab,118.8,
2019-04-04,Yellow,V0,560bddfb714ae709e0b55fc8c01946ba,3.0,Red Point,wall-boulders,581.0,
