date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-30,Blue,V5,c4e38bdcc4c5426be58105ea88884e2c,,Flash,wall-mezzanine,114.6,
2019-11-30,Red,V5,5626da4c93e824b608273be9ebda4d7c,,Red Point,wall-boulders,423.0,
2019-11-30,Yellow,V4,2c9db639a8dd272de6150778f5c75bac,,Flash,wall-boulders,423.0,
2019-11-30,Purple,V4,43857739f50195be5c0f62c4c0ca9cef,,Red Point,wall-boulders,288.8,
2019-11-30,Black,V4,7e2c97c18ee1a2b7fe69f55b499ab041,,Red Point,wall-boulders,222.0,
2019-11-30,Pink Right,V5,456d312c78ca1b8a319c89b90eb4b545,,Red Point,wall-boulders,288.8,
2019-11-30,Yellow,V2,943753f9e0755668f5b089e0ce02f95f,,Flash,wall-boulders,359.0,
2019-11-29,Black,V4,f20a5eee429ff94b67653555ad705d07,,Flash,wall-mezzanine,39.7,
2019-11-29,Lime Green,V4,08b2560e61985bd912ce48ba21007422,,Flash,wall-mezzanine,114.6,
2019-11-29,Yellow High,V3,3f8c721122a0bc760a49f03da502a72a,,Flash,wall-boulders,423.0,
2019-11-29,Lime Green,V2,ca3e16fdc81fca90527a12c38bb83179,,Flash,wall-boulders,423.0,
2019-11-27,Black,V3,93e689abaa22e628f714884f804f01b1,,Red Point,wall-slab,48.7,
2019-11-26,Black,V1,381fba7b16aaefee8bbce0d27927aa83,,Flash,wall-boulders,288.8,
2019-11-26,Yellow,V4,edd0e9f4d6e5d21853fb8258aa8b03bd,,Flash,wall-boulders,288.8,
2019-11-26,Red,V3,9d0d450fcd34187a7f5707b6be3d40b7,,Flash,wall-boulders,288.8,
2019-11-26,Tan,V0,24b584cbb5e63a05e55b8892182e55c8,,Flash,wall-boulders,288.8,
2019-11-26,Yellow Low,V5,a2a793f19390bb425e1026f97dd5e818,,Red Point,wall-boulders,423.0,
2019-11-26,Blue,V4,c02780acc69307da661a91fa8d891d52,,Flash,wall-slab,48.7,
2019-11-24,Blue,V4,2cc853d97a9c22c53e6006832da3a0ea,,Flash,wall-boulders,667.3,
2019-11-24,Blue,V3,2e7955d39151a01169eb9191b437da98,,Flash,wall-boulders,288.8,
2019-11-24,Pink Left,V4,732360242b3208853b2ff870dfd4ae59,,Flash,wall-boulders,359.0,
2019-11-24,Blue,V2,e9c4b1cf0f8d06cc148fd2523d6c48a5,,Flash,wall-boulders,359.0,
2019-11-24,Tan,V3,eee0915b91eae098473431d3c95a2733,,Flash,wall-boulders,359.0,
2019-11-24,Black,V4,193f2c40502b2e18eec6ea8992ea0801,,Flash,wall-boulders,359.0,
2019-11-24,Yellow,V2,b82a5e0791a7374473f9d168504998a4,,Flash,wall-boulders,359.0,
2019-11-24,Tan,V3,25953b63ef9a511874960725a0a8ab82,,Flash,wall-boulders,423.0,
2019-11-24,Pink,V4,55da0c04bc30556e600e47096828d03b,,Flash,wall-boulders,505.7,
2019-11-24,Yellow,V4,e75537d5294be4537bc7c9baade9a35c,,Red Point,wall-boulders,581.0,
2019-11-24,Lime Green,V4,c81084d2b88f45a23575a61808634d31,,Flash,wall-boulders,581.0,
2019-11-10,Black,V5,f43a61baa56cdd3de7a427140ea6d35f,,Attempt,wall-boulders,736.4,
2019-11-10,Red,V4,841fada52ef9fd9e67880a5d89ea4800,,Flash,wall-boulders,736.4,
2019-11-10,Black,V0,c442348ff2ce2ea60c8cf2a4a3c0822b,,Flash,wall-boulders,793.8,
2019-11-10,White,V3,d760f25fa05c4d30bbd4590ad4cc5362,,Flash,wall-boulders,793.8,
2019-11-10,Yellow,V3,4d6802d425143f0e0b412056ad9bfc9e,,Flash,wall-boulders,793.8,
2019-11-06,Tan,V1,246c6c4e59e3c16da02ddfd584497d67,,Flash,wall-boulders,667.3,
2019-11-06,Black,V2,bd4264edbe1e8f10bb75d6e9cc75976d,,Flash,wall-boulders,793.8,
2019-11-06,Red,V2,5e2de482f82ac1e50590a5aa20136b34,,Flash,wall-boulders,793.8,
2019-11-06,Blue,V4,6c03d5d8fde9a3833af796c4139b1754,,Red Point,wall-boulders,793.8,
2019-11-02,Lime Green,V1,c77dae2b30e8a996171695d39eea2b20,,Flash,wall-mezzanine,39.7,
2019-11-02,Red,V3,a9b49495b85fefdbdcbabb5e6173d638,,Red Point,wall-mezzanine,39.7,
2019-11-02,White,V3,2ed61d0a3b39cc297b2c2404a27121ac,,Flash,wall-mezzanine,39.7,
2019-11-02,Yellow,V2,4853c6bdcae8971aa42abadedfbaf3b7,,Flash,wall-mezzanine,39.7,
2019-11-02,Blue,V5,26ff876291b6a16351c87b3c324a2623,,Flash,wall-mezzanine,39.7,
2019-11-02,Pink,V4,d8f4c48f962cd60cd72d3952ec585577,,Flash,wall-mezzanine,39.7,
2019-11-02,Red,V4,6c0df1ab2ad03b661353483f07f34ba3,,Flash,wall-mezzanine,114.6,
2019-11-02,Black,V3,a56ab2dfa2c7e76d5f11fd42e8e4e927,,Red Point,wall-mezzanine,114.6,
2019-11-02,Tan,V3,96e32d384c12081f590bd5d68974cb6b,,Red Point,wall-mezzanine,114.6,
