date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-20,Black,V2,599325ae5a5efad2aa66bcce5cb61768,3.0,Red Point,wall-boulders,359.0,
2018-12-20,White,V1,4ce15d9a61d5356b39cb394aa2295495,3.0,Red Point,wall-boulders,359.0,
2018-12-15,Blue,5.5,62ed1b3d7566340af565bdcbc86e9b2f,3.0,Onsight,wall-auto-belay,196.9,
2018-12-15,Tan,5.6,28e77f4e868e5385ddfb48a745de2561,3.0,Onsight,wall-auto-belay,149.5,
2018-12-15,Grey,5.8,14641d74cb8516ab3a79da463cfda33b,3.0,Onsight,wall-auto-belay,273.7,
2018-12-15,Purple,5.6,a4f14b01b6d671ffd186f4515560c088,3.0,Onsight,wall-auto-belay,302.7,
2018-12-15,Tan,5.7,32b226bb8c0a1e4851aaa898ac96cbf3,3.0,Flash,wall-auto-belay,341.8,
2018-12-15,Yellow,5.5,69ed1a92d004d9ecd92510a6d99d40f8,3.0,Onsight,wall-auto-belay,343.2,
2018-12-15,Lime Green,V0,5217546b99127c60e449efb304728470,3.0,Flash,wall-slab,48.7,
2018-12-15,Purple,V0,1684f1e4b734ea9499254398e41b5e4b,3.0,Flash,wall-slab,192.9,
2018-12-15,Tan,V0,96192d5a8051bfd75cdd26705259a46e,3.0,Flash,wall-boulders,359.0,
2018-12-15,Lime Green,V3,8dfa655be0feb075be0dde7b5d366bce,3.0,Flash,wall-boulders,581.0,
2018-12-15,Lime Green,V0,a9c30376db308733028c23a04776fe4b,3.0,Flash,wall-boulders,667.3,
2018-12-15,Lime Green,V2,a8efeccf5c6846576c205464b39ea956,3.0,Red Point,wall-boulders,793.8,
2018-12-15,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Flash,wall-boulders,793.8,
2018-12-15,Red,V2,db8f9b2686fbdb07699082d41d1e9c01,3.0,Flash,wall-boulders,793.8,
2018-12-15,Purple,V0,c917b8d559ba8e749da4c7d16504b3ea,3.0,Flash,wall-boulders,793.8,
2018-12-15,Red,V2,7848afa6509cd9cf370dac551ff824c7,3.0,Red Point,wall-slab,48.7,
