date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-12,Tan Right,V3,d3d7c4ec0d3f4263cead958cf795d172,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Black Right,V3,fe172359c5ecfac3f1a2089f98e84878,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Yellow,V5,6baead809775717e19b32c313350c750,3.0,Attempt,wall-mezzanine,114.6,
2018-10-12,Black Left,V0,518075a0231b5d5e5f536a04be414bc0,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Purple,V1,11a2b4f4232eadf32f5c2b63929089b6,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Tan Left,V4,0f17b8250a24235bda022c123d1db8e4,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Red,V2,5a3276efa112ed7a685226c0aa36deeb,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,White,V3,4d04f6c798b0b7c3eafc24bb682e26d6,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Lime Green,V1,b8fa15fb9c1aa444fb564450ff099697,3.0,Flash,wall-mezzanine,114.6,
2018-10-12,Purple Right,V5,dab1c5c0b73d4a0e31ff7c48619046d4,4.0,Flash,wall-mezzanine,39.7,
2018-10-12,Pink,V2,e4eac5b15362b57a3e0ee232dd8d8e8f,3.0,Flash,wall-mezzanine,39.7,
2018-10-12,Yellow,V4,e037bc9ff8c5848b6ddb4289b305bc62,5.0,Flash,wall-mezzanine,39.7,
2018-10-12,Black,V3,ef15d19a171d6eb85a943dff7ac6ca4a,3.0,Flash,wall-mezzanine,39.7,
2018-10-12,White,V4,b8563ce60721482eac25e8549af45463,4.0,Flash,wall-mezzanine,39.7,
2018-10-12,Lime Green,V0,ff196d0cc95824649b66c98010434e4d,5.0,Flash,wall-mezzanine,39.7,
2018-10-12,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,4.0,Flash,wall-mezzanine,39.7,
