date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-27,Yellow,V3,8bb82755b24c03843ffa8450a46bf7e8,3.0,Red Point,wall-slab,48.7,knees. 
2019-07-27,Pink,V5,23abe27a107a9dc131b34a126e870c7d,4.0,Red Point,wall-slab,48.7,
2019-07-25,Blue,V3,20578db1d6fea207ca9d5dfd11cce5f6,4.0,Flash,wall-boulders,161.2,
2019-07-25,Black,V4,3780a16a30925d61c5e9b9a206d04867,3.0,Flash,wall-boulders,161.2,
2019-07-23,White,V6,a6eda49586aa646f6fd0080ade0de8cf,5.0,Red Point,wall-boulders,161.2,only held it because I didnt want to try again. burly 
2019-07-23,Yellow,V5,b2910f0d4e969430e10014b512679bc2,5.0,Red Point,wall-boulders,359.0,
2019-07-23,Pink,V5,5f8f5e63ee2e1dc05767cf0d4e73d4a2,3.0,Flash,wall-boulders,423.0,soft. 
2019-07-23,Red High,V5,249603057cc01dd22afe9a1fef5c7115,5.0,Red Point,wall-boulders,423.0,super fun. need to try the low start now. 
2019-07-23,Blue Low,V5,582f476c9b032408360f4f18f22eb9f2,5.0,Red Point,wall-boulders,423.0,weird heel!!! nice long climb. 
2019-07-23,Lime Green Low Right,V4,8003cb0384b3e120e15a648b51569c44,4.0,Red Point,wall-boulders,505.7,
2019-07-23,White,V7,4fabe44e6c419e2eba7334e231d0d7dd,5.0,Red Point,wall-boulders,667.3,
2019-07-23,Yellow,V5,d449c3565034ff371fe6b52643d53e14,4.0,Red Point,wall-boulders,736.4,
2019-07-23,Pink,V6,9b96b7bdb42a7c191dc81f8331b4313c,3.0,Red Point,wall-boulders,736.4,
2019-07-23,Lime Green,V6,b1db6c1d3272e79c2d8dd4dd4c4463be,4.0,Red Point,wall-boulders,736.4,
