date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-25,Pink,V6,9b96b7bdb42a7c191dc81f8331b4313c,5.0,Flash,wall-boulders,736.4,
2019-06-25,Lime Green,V6,b1db6c1d3272e79c2d8dd4dd4c4463be,5.0,Red Point,wall-boulders,736.4,nice options for crux
2019-06-25,Black,V5,1014e66a5332d24fad4073a8d3124cde,5.0,Flash,wall-boulders,736.4,
2019-06-25,Black,V5,d3a2d45593701d55788fc233588f1504,4.0,Flash,wall-boulders,793.8,
2019-06-20,Yellow,5.12d,8f85718fb9db2f6051832ca952714494,4.0,Red Point,wall-island,529.4,
2019-06-20,Purple,5.12a,e5d8b6e0417cebd4071adb0b45eb0eba,5.0,Onsight,wall-island,561.5,standard 12a
2019-06-18,Lime Green,5.12d,fc964d202a6e52abc673ec1f13a9926c,5.0,Red Point,wall-island,364.3,
2019-06-18,Red,V5,dbd199ff6a2a78c3a2d4fe83749fe380,3.0,Flash,wall-boulders,423.0,
2019-06-18,Lime Green Stand,V5,33510e21d3529ec7eb92c14c9748dfce,5.0,Red Point,wall-boulders,423.0,
2019-06-18,Blue Low,V5,f4c6aad67722d102c7464ac787e6ce5a,5.0,Red Point,wall-boulders,505.7,toe hook was bit insecure﹐ good practice
2019-06-18,Tan Low,V6,dd26f02a5dfc6942edbecfa0add466f2,5.0,Red Point,wall-boulders,505.7,
2019-06-18,Black,V7,cfea42e9c66ed94e1d8911d073ad8428,5.0,Red Point,wall-boulders,667.3,bit soft but still the standard crimpy black 45 degree climb
2019-06-12,Lime Green,5.13a,09209cadd14330f86c6c29520a258895,5.0,Red Point,wall-back-wall,328.9,chill then cruxy at the top. shorty beta helped 
