date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-29,Lime Green,5.10c,ad18e73705b8a63e1470345dbe4cbbf7,,Onsight,wall-back-wall,684.0,
2020-02-29,Blue,5.9,cbd680349f4447cdb1857e28cbece514,,Onsight,wall-back-wall,1046.0,
2020-02-29,Blue,5.9,cbd680349f4447cdb1857e28cbece514,,Onsight,wall-back-wall,1046.0,
2020-02-29,Red,5.9,3e82b7522aac6f4dccc16b13a5396186,,Onsight,wall-island,560.7,
2020-02-29,Red,5.11b,257fb4905bb6513986df16888c6dc9c7,2.0,Onsight,wall-island,444.9,
2020-02-23,Tan,5.11c,6e5e7927c553ec73362a9bf071198f3f,3.0,Attempt,wall-back-wall,57.6,
2020-02-22,Black,5.10b,7347b407ef8ecdbdafd8546dadfb85d1,,Onsight,wall-island,396.5,
2020-02-22,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,,Onsight,wall-island,394.7,
2020-02-22,Red,5.11a,3e4a5964bf8701e189e2ed365b5943f7,,Onsight,wall-back-wall,1292.9,
2020-02-22,Purple,5.10d,a86d6009df77337407ddf7882d929ecf,,Attempt,wall-back-wall,16.3,
2020-02-17,Purple,5.11b,ef0b5a4d4eec5c16a3310046d8708ea4,3.0,Red Point,wall-back-wall,243.9,
2020-02-17,Tan,5.11c,6e5e7927c553ec73362a9bf071198f3f,3.0,Attempt,wall-back-wall,57.6,
2020-02-16,Black,5.10b,70483aa172a83469513e73395124fdbe,,Onsight,wall-island,529.4,
2020-02-16,Green,5.10c,2e45334406444552d928cc7eeb7fb6b4,,Onsight,wall-island,420.7,
2020-02-16,Tan,5.11b,dc54f4a2691a06ae3af30fc140838ed8,,Red Point,wall-island,366.1,
2020-02-16,Tan,5.9,b9cb1cf9ec9f75709e1890d93aafbd6b,,Onsight,wall-back-wall,190.5,
2020-02-16,Purple,5.10d,8f4283e1e07bd9e600998014212bf639,,Onsight,wall-back-wall,124.1,
2020-02-16,White,5.10b,4219eddf4be44b4812986a9ab710b8ec,,Onsight,wall-back-wall,222.7,
2020-02-16,Yellow,5.10c,3b0758532fe34ede5936bbb6c0c20963,,Onsight,wall-back-wall,164.5,
2020-02-02,Yellow,5.11c,115c465f1f6053f72e5dc812c7732f0a,3.0,Attempt,wall-back-wall,560.9,
2020-02-01,Yellow,5.9,d2aa312133433efb9dab8c6359cc009a,3.0,Onsight,wall-back-wall,-0.7,
2020-02-01,Red,5.10c,8da5d8cee664d98a1d96c214834cb17c,3.0,Onsight,wall-back-wall,36.9,
2020-02-01,Blue,5.9,4aced0bf3c7e214843fcb490d33c4e47,3.0,Onsight,wall-back-wall,56.0,
2020-02-01,Tan,5.11c,6e5e7927c553ec73362a9bf071198f3f,3.0,Attempt,wall-back-wall,57.6,
2020-02-01,Blue,5.10d,dc93142e641598dadef6a08d5051bd04,3.0,Attempt,wall-back-wall,142.5,
2020-02-01,Pink,5.11d,703d6cc99ab7223764d303f3606352ff,3.0,Attempt,wall-back-wall,166.1,
2020-02-01,Purple,5.11b,ef0b5a4d4eec5c16a3310046d8708ea4,3.0,Attempt,wall-back-wall,243.9,
2020-02-01,Blue,5.10c,1f28af14dc81f93083720236797340dd,3.0,Onsight,wall-back-wall,588.1,
2020-02-01,Lime Green,5.11b,ab4b8642a8c1c55fc1e807a0241ad65d,3.0,Top Rope,wall-back-wall,108.7,
