date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-26,Black High,V8,f01ec51eb369920b6e29a3e9a0e8b9d2,5.0,Red Point,wall-boulders,505.7,Interesting movements on this one﹐ nice route!
2019-11-23,White Low,V7,a97c5d2127972f96cd5ad1af0b483ee2,5.0,Red Point,wall-boulders,505.7,Really great route
2019-11-23,Blue High,V7,b8b2d778251f981fb0e2888d9c063ea4,5.0,Red Point,wall-boulders,505.7,
2019-11-22,White High,V6,5efb1fa552b1d7e626644e3b4764a4b7,5.0,Red Point,wall-boulders,505.7,For me the finish was really hard. I planted a firm left foot in the crack﹐ leaned right﹐ and stepped very high with the right.
2019-11-20,Red,V5,5626da4c93e824b608273be9ebda4d7c,3.0,Flash,wall-boulders,423.0,
2019-11-20,Yellow Low,V5,a2a793f19390bb425e1026f97dd5e818,5.0,Flash,wall-boulders,423.0,
2019-11-20,Lime Green High,V5,887728c54b0ea88aa9b40c5707139c13,5.0,Flash,wall-boulders,505.7,
2019-11-20,Lime Green Low,V6,0594b4c4393511e66d67f62872a1c3de,5.0,Flash,wall-boulders,505.7,
2019-11-20,Red,V6,a2d5f68ac280eb7a14cc16d56e7f24fe,5.0,Red Point,wall-boulders,581.0,Swingy!
2019-11-20,Yellow,V7,de5c94afd6e02aa4ab49c2d3d41e2061,5.0,Red Point,wall-boulders,581.0,
2019-11-20,Blue,V5,c4e38bdcc4c5426be58105ea88884e2c,3.0,Flash,wall-mezzanine,114.6,
2019-11-20,White,V8,afe5f02c8e54e60d8355b15a81933f09,5.0,Red Point,wall-mezzanine,114.6,
2019-11-20,White,V9,65f77897f46157d01ba60e3340e5a4a0,5.0,Red Point,wall-boulders,288.8,
2019-11-16,White,V7,32d9d6afb74cbe3017aa2807c821dbda,5.0,Red Point,wall-boulders,359.0,Really nice problem
2019-11-14,Pink,V7,88b0ef6c84f7b8d229ed74a936abef83,1.0,Red Point,wall-boulders,359.0,Very height dependent. Jumping and holding the swing is V7﹐ but reaching and grabbing is V5.
2019-11-14,Yellow,V6,ef6e6639376e5460046debaf0173b82a,5.0,Red Point,wall-boulders,359.0,Nice long route that requires some thought and planning
2019-11-14,Pink Right,V5,456d312c78ca1b8a319c89b90eb4b545,5.0,Flash,wall-boulders,288.8,
2019-11-14,Red,V6,a100e9219991f648a5e821e91d73e789,5.0,Red Point,wall-boulders,288.8,Jumpy!
2019-11-14,Purple,V4,43857739f50195be5c0f62c4c0ca9cef,5.0,Flash,wall-boulders,288.8,
2019-11-12,Black,V5,f43a61baa56cdd3de7a427140ea6d35f,5.0,Red Point,wall-boulders,736.4,Really good feet movement
2019-11-06,Blue,V5,26ff876291b6a16351c87b3c324a2623,3.0,Flash,wall-mezzanine,39.7,
2019-11-06,Red,V4,6c0df1ab2ad03b661353483f07f34ba3,3.0,Flash,wall-mezzanine,114.6,
2019-11-06,Yellow,V6,0329ff4e80c4db7e247361a597d7e289,5.0,Red Point,wall-mezzanine,114.6,
2019-11-06,Pink,V9,786296108c6cfc2722a4e163468aed7e,5.0,Red Point,wall-boulders,667.3,Bam!!!!! So cool.
2019-11-06,Yellow,V5,cf451cfed5e1d2444feaf5499c039fe3,5.0,Red Point,wall-boulders,736.4,Pumpy and delicate
2019-11-06,Pink,V6,59d5a106c2b5a690ccad7f51d84db26f,5.0,Red Point,wall-boulders,793.8,Really sick route! Great fun figuring out feet.
2019-11-06,Lime Green,V5,981eb3d029d94330c73768b491b3f266,5.0,Red Point,wall-boulders,793.8,
