date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-08-29,Tan,V4,407f6c7fc7123385949fc75943d2190b,3.0,Red Point,wall-boulders,793.8,
2019-08-28,Yellow,5.11c,2637b03b44b40dd09cce396172c15af3,5.0,Top Rope,wall-back-wall,1018.7,
2019-08-28,White,5.11b,ad81f81dfeedc4a8afb5c5e0b7939aa1,5.0,Top Rope,wall-back-wall,1067.3,super fun
2019-08-18,White,V4,4595e0b9df8217a3d55adaae308020ea,5.0,Red Point,wall-boulders,667.3,
2019-08-18,Blue,V5,9c96539c463001a7263b8521d3a95ef8,5.0,Red Point,wall-boulders,793.8,
2019-08-16,Lime Green,V5,79629293de7234cc9fba990ecd4f2a9f,5.0,Red Point,wall-boulders,667.3,
2019-08-10,White,V5,6ed50f9e821dadade576b1cf9a39a3d1,3.0,Red Point,wall-mezzanine,39.7,
2019-08-06,Black,V5,6188ad887724335b82ff6059305a1cf1,3.0,Red Point,wall-mezzanine,114.6,
2019-08-06,Blue,V5,00da261339892866f1b5ed5d9756f2a8,3.0,Red Point,wall-mezzanine,114.6,
2019-08-06,Tan,V5,2bf67d03cf69303c3d53258196e8b0e7,5.0,Red Point,wall-mezzanine,39.7,
