date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-24,Tan,5.10d,9099e029b554fc120340801bfec92841,4.0,Red Point,wall-island,590.5,
2018-12-24,Blue,5.11a,68ac5c8c1b5ea330dd59f0ad21e92eda,5.0,Red Point,wall-island,561.5,
2018-12-20,Lime Green,V4,3fa5897417c61e93642fdc0a585bdfac,3.0,Flash,wall-slab,48.7,
2018-12-20,White,V3,d51b298911e6b78f0ec5883108d5f48a,3.0,Flash,wall-slab,48.7,
2018-12-20,Black,V3,82c709dcc2a7d90fdb7fa51200be5274,3.0,Flash,wall-slab,118.8,
2018-12-20,Yellow,V2,654b34556c11f875d455d2940dd10c7a,3.0,Flash,wall-slab,118.8,
2018-12-20,Tan,V6,3b0fa9ee6fee24028834849411c4f569,4.0,Red Point,wall-slab,192.9,
2018-12-20,Blue,V3,6a2f08d3f5bc19acf65fd0456eeefe75,3.0,Flash,wall-slab,192.9,
2018-12-20,Red,V2,2cd37c1240eeb2474ff10d8026a0a9a8,3.0,Flash,wall-slab,192.9,
2018-12-20,White,V3,4adeb546e2f9be85ac91e5d3d58a52c0,3.0,Flash,wall-slab,192.9,
2018-12-20,Pink,V2,141a23084ca9b5dd39b6d8e9670cd7e9,3.0,Flash,wall-slab,192.9,
2018-12-20,Tan,V6,5227eca8ffe2f83483964d35994c38a3,4.0,Red Point,wall-mezzanine,114.6,
2018-12-17,Blue,V3,2ef2e89c6faaa25cf9f0ce980d0f31d4,4.0,Red Point,wall-boulders,667.3,
2018-12-15,Black,5.10c,38f68a6d94a058b08d711500ad778598,5.0,Red Point,wall-red,173.9,
2018-12-15,Yellow,5.10d,d5fb9572ffda5563dbc3adcfb05d026b,3.0,Red Point,wall-red,109.7,soft 10d
2018-12-15,Red,5.10b,ce3ce496cc495e497fa5d14014e82bed,5.0,Onsight,wall-back-wall,1140.9,
2018-12-13,Pink,V3,596f9102be589e2ae91ed963bc291ca9,3.0,Flash,wall-boulders,667.3,
2018-12-13,Lime Green,V2,a8efeccf5c6846576c205464b39ea956,3.0,Flash,wall-boulders,793.8,
2018-12-13,Lime Green,V3,fd0ba91bb06387cf6aee0de1e3d32ae1,3.0,Flash,wall-boulders,423.0,
2018-12-13,Black,V4,6fe2f0b3e7cad891fa2153fbaa3e5407,4.0,Red Point,wall-boulders,288.8,
2018-12-13,Purple,V4,52f01bbf72f158f3f949cdf1b6570542,3.0,Red Point,wall-boulders,288.8,
2018-12-11,Black,V3,cae30a8237c6f657cfc8024ce2ca03eb,4.0,Red Point,wall-boulders,359.0,
2018-12-07,Blue,5.10a,2eeb623616c63ea1ea141f52e02e6656,3.0,Onsight,wall-back-wall,684.0,
2018-12-02,Lime Green,V3,8dfa655be0feb075be0dde7b5d366bce,3.0,Red Point,wall-boulders,581.0,
2018-12-02,Pink,V3,395a27895a6aa1356fbceec4a69e68da,3.0,Flash,wall-mezzanine,39.7,
2018-12-02,Pink,V5,5adbbbc161bf5dd9e4bef68b5ce65fab,4.0,Red Point,wall-mezzanine,114.6,
