date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-19,Blue,5.10c,ca15cb1146312f0862d2b957107a1bbf,3.0,Top Rope,wall-back-wall,1251.0,
2018-10-19,Black,5.10a,fc702626600910f855865fa4353a7330,3.0,Top Rope,wall-back-wall,871.9,
2018-10-19,Pink,5.10d,33fffc7d8aa6a54478a1c1d33aeab527,3.0,Top Rope,wall-back-wall,922.4,
2018-10-19,Black,5.10a,fc702626600910f855865fa4353a7330,3.0,Onsight,wall-back-wall,871.9,
2018-10-19,White,5.10b,63b63e46b81ba37f62859ffe8044f7f9,3.0,Onsight,wall-island,394.7,
2018-10-19,Pink,V2,718c3197a6bb6f0f7dc0da8ad9740cdb,3.0,Flash,wall-boulders,581.0,
2018-10-19,Pink Low,V3,6d9a34c9d1af54a1ee0102413ea340c2,3.0,Flash,wall-boulders,505.7,
2018-10-19,Red,V3,454688c31ab342f270522f0e7194374c,3.0,Flash,wall-boulders,667.3,
2018-10-19,Blue,V4,af563d5c8a516ccf8c1cc33752daece8,3.0,Attempt,wall-boulders,736.4,
2018-10-19,Purple,V4,679ab6d58d75f6abd766dc821bab5cc5,3.0,Attempt,wall-boulders,793.8,
2018-10-19,Purple,5.8,16d5b011f6920fdb98cf38dea3843591,3.0,Onsight,wall-back-wall,222.7,
2018-10-15,Black,5.10a,5e0ea289616a08a78584bdd086911386,5.0,Top Rope,wall-back-wall,994.6,
2018-10-15,Pink,5.10d,33fffc7d8aa6a54478a1c1d33aeab527,3.0,Top Rope,wall-back-wall,922.4,
2018-10-15,White,5.10d,238d904ecacac96f4339acacfac08941,3.0,Top Rope,wall-island,106.8,
2018-10-15,Red,5.10a,997b88d9c26d61eddbf6aa319ee58006,5.0,Top Rope,wall-island,91.7,
2018-10-15,Black,5.11d,14f204a377734df2c154a6db0809de67,3.0,Attempt,wall-island,395.6,
2018-10-15,Black,5.8,10e8404b57fbcf94b815944a033eb069,5.0,Onsight,wall-back-wall,56.0,
2018-10-15,White,V3,5f1c4b9bc20adc170ddb3f3856a0933a,3.0,Attempt,wall-slab,48.7,
2018-10-15,Blue,V4,af563d5c8a516ccf8c1cc33752daece8,3.0,Attempt,wall-boulders,736.4,
2018-10-15,Purple,V4,679ab6d58d75f6abd766dc821bab5cc5,3.0,Attempt,wall-boulders,793.8,
2018-10-11,White,V1,86f7a30873e0f491274fd5cf97a93423,3.0,Flash,wall-boulders,359.0,
2018-10-11,Purple,V3,530882d0c4c2031c060f95a4b119303b,3.0,Red Point,wall-boulders,359.0,
2018-10-11,Tan,V4,ef767666401f89bf87ac472c53fcd964,4.0,Red Point,wall-slab,48.7,
2018-10-11,Lime Green,V2,3207063ab3cc21b52ceaa1e599015ab0,3.0,Flash,wall-boulders,423.0,
2018-10-11,Lime Green,V3,2c311d26c8541b26cf12ed64b5e9ce2d,5.0,Flash,wall-boulders,505.7,
2018-10-11,Pink,V5,faf2416774571d386d27c15a0c16e03c,5.0,Flash,wall-mezzanine,114.6,
