date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-17,Yellow,5.10a,a8168a0133f81754eab9895da2b1cae1,,Top Rope,wall-red,109.7,
2020-02-17,Blue,5.9,f7b7bdbc4af424ed56558c2b4fa9de08,,Top Rope,wall-back-wall,995.5,
2020-02-17,Pink,5.11a,9b9358492e49263ece80d3fe2e6cba56,4.0,Top Rope,wall-red,51.5,
2020-02-17,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,,Top Rope,wall-back-wall,70.9,
2020-02-17,White,5.10b,bef995d2af484ddae247f180cd3e3658,,Top Rope,wall-island,469.1,
2020-02-15,Black,5.9,54e7b29b8a7ee142ab1ad90113fa39f0,3.0,Top Rope,wall-island,246.7,
2020-02-15,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,3.0,Top Rope,wall-island,394.7,
2020-02-15,Yellow,5.10a,67e362343df363e6b731b8147bfb466f,3.0,Top Rope,wall-island,92.7,Lots of balance shifts — funky
2020-02-15,Purple,5.10d,a86d6009df77337407ddf7882d929ecf,4.0,Top Rope,wall-back-wall,16.3,This is my new project — awesome route
2020-02-15,Blue,5.9,a09666f7f26ae192d4d64872d576bb1c,,Top Rope,wall-island,128.1,
2020-02-15,Tan,5.10a,d4bbbe4dd8644ecad075bbbc13256f34,,Top Rope,wall-island,561.5,Challenging for a 5.10a 
2020-02-11,Pink,5.9,000068ff0ad7b4a15ea521573198f001,4.0,Top Rope,wall-island,327.1,Fun holds and route﹐ not too challenging﹐ 
2020-02-08,White,5.10b,4219eddf4be44b4812986a9ab710b8ec,4.0,Top Rope,wall-back-wall,222.7,Felt easier than a 5.10b﹐ but still fun. Some nice juggy holds for resting on-route.
