date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-25,Yellow,5.7,973a59c01eba79cf670b5dbace863347,3.0,Onsight,wall-fox,155.9,
2019-07-25,Red,5.6,664240d2b270601cc20845a8000f7659,3.0,Onsight,wall-fox,156.6,
2019-07-25,Purple,5.9,2f8a80206612ddded2fa8c411711c3ac,3.0,Onsight,wall-fox,198.0,
2019-07-25,Tan,5.8,9e49e6f61248cb204bfcc71325cceb8f,3.0,Onsight,wall-fox,198.8,
2019-07-24,Blue,5.8,d9f37f98681c9072b8b70144c01d3ee9,3.0,Onsight,wall-back-wall,1330.2,
2019-07-24,Blue,5.8,103751554319106342e7f899f2043acb,3.0,Onsight,wall-back-wall,1167.3,
2019-07-24,Yellow,5.8,2e5a8c7bac945e651e2484c0acef2631,3.0,Onsight,wall-island,226.9,
2019-07-24,Lime Green,5.8,561a506bb3dfef04c47fdd51a1d9ed61,3.0,Onsight,wall-island,160.9,
2019-07-21,Lime Green,5.8,3e8e8d7083dd41327451e58741c8a76d,3.0,Onsight,wall-back-wall,870.9,
2019-07-21,Purple,5.9,12181b3c007e3d6899d382f951a47d8e,3.0,Onsight,wall-island,18.7,
2019-07-21,Tan,5.9,2fa598dfa1281c4aa99fba9b7e3ec223,3.0,Onsight,wall-red,50.1,
2019-07-16,Blue,5.10b,e6c65bfcc9972383397bf8da8ad04097,3.0,Red Point,wall-auto-belay,196.9,
2019-07-14,Blue,V2,11285f9012fc021cdb7172254e56ca15,3.0,Flash,wall-mezzanine,114.6,
2019-07-14,Lime Green,V0,aa86e57d5246ce75779426b278d65036,3.0,Flash,wall-mezzanine,114.6,
2019-07-14,Pink,5.9,1f8d8393bcb02a286df349c4888cde60,3.0,Onsight,wall-auto-belay,88.3,
2019-07-14,Black,5.6,0e5ee9ad917b8b4eeaca1053b343824f,3.0,Onsight,wall-auto-belay,88.9,
2019-07-12,Green,5.8,c6dbab9fab252e348e913fac863aac56,3.0,Onsight,wall-fox,27.6,
2019-07-11,Orange,5.5,add1024b1528aec864a3a8fe04513927,3.0,Onsight,wall-fox,156.6,
2019-07-11,Orange,5.7,fba11d41d8728fdb1d35242a1c9094f8,3.0,Onsight,wall-fox,155.9,
2019-07-11,White,5.7,d463b7958d3103097d353e96c056ae0b,3.0,Red Point,wall-fox,122.9,
2019-07-11,Blue,5.5,cd2c480c6bd2409006ac3ab4f5cd4852,3.0,Onsight,wall-fox,92.1,
2019-07-11,Blue,5.5,cd2c480c6bd2409006ac3ab4f5cd4852,3.0,Red Point,wall-fox,92.1,
2019-07-11,Orange,5.7,ba9819bd734e97cc77eee2eef311bb97,3.0,Onsight,wall-fox,91.4,
2019-07-11,White,5.6,76a062e293226f05162a9ca25783ec3a,3.0,Onsight,wall-fox,67.2,
2019-07-11,Grey,5.9,8576afc668e499c95818767d1d8c0f91,3.0,Onsight,wall-fox,49.2,
2019-07-11,Orange,5.7,278cdca7c93959edc74c93ca258b4134,3.0,Onsight,wall-fox,48.5,
2019-07-09,Lime Green,5.6,2f32522e3d058ab307a6e1b568b70622,3.0,Flash,wall-auto-belay,251.1,
2019-07-09,Black,5.9,05bc170da7f37cdac0abc971cfbf7905,3.0,Red Point,wall-auto-belay,342.5,
2019-07-04,Purple,5.10b,9330fa9475d9b4878c1d0032966fe8b1,3.0,Red Point,wall-auto-belay,222.7,
2019-07-02,White,5.8,7b61373fc1aba9c3c8f6e892d9861b3e,3.0,Onsight,wall-auto-belay,126.5,
2019-07-02,Lime Green,5.9,c5d5744d13da46ba8ef290bd714fc97b,3.0,Onsight,wall-auto-belay,88.9,
