date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-30,Blue,V5,d4b3870d44b864aefec993a751e5e652,3.0,Red Point,wall-boulders,288.8,
2019-09-30,Lime Green,V4,a7e5995c83813caec204762e2fe4fc82,3.0,Red Point,wall-boulders,288.8,
2019-09-29,Pink,V4,e7f8d67bf682a224a598d0a2b1df5063,3.0,Flash,wall-boulders,359.0,
2019-09-29,Pink,V3,5b7d427c7e669dea5a5a015a72dd7c37,3.0,Red Point,wall-mezzanine,39.7,
2019-09-29,Blue,V3,9269c2ddcbeb8b830cd54307f2feaae7,3.0,Red Point,wall-mezzanine,114.6,
2019-09-26,Black,V3,a560a1021f8febc3cedb307410466a3f,3.0,Flash,wall-boulders,359.0,
2019-09-26,Purple,V2,64d076e5ec6430ec7b92aefc5972ecf5,3.0,Flash,wall-boulders,359.0,
2019-09-26,White,V2,144989eb35f06851a44d55093d659141,3.0,Flash,wall-boulders,288.8,
2019-09-26,Blue,V2,b6202efada5c129877e43dcedd403f67,3.0,Flash,wall-boulders,359.0,
2019-09-26,Tan,V0,84a0447acd8f976c1c92893390017e6a,3.0,Flash,wall-boulders,288.8,
2019-09-26,Lime Green,V1,ccd2b1eb96f983428bd61ba5c04dcd24,3.0,Flash,wall-boulders,359.0,
2019-09-22,Purple,V4,6ca8fe54fd63700ddea4dc246b195658,3.0,Red Point,wall-boulders,736.4,
2019-09-22,Yellow,V4,15402dcbd8c819dc710b50a318e2dcfb,3.0,Red Point,wall-boulders,793.8,
2019-09-22,White,V1,7e49de8ec00664c9e864f2f8a8884fb5,3.0,Flash,wall-boulders,667.3,
2019-09-22,Black,V3,e137d99bc38560c750e5f67a56dbd0bf,3.0,Flash,wall-boulders,667.3,
2019-09-22,Pink,V5,0d4df7e78f4973bf0666a19acbf440ab,3.0,Flash,wall-boulders,667.3,
2019-09-22,Tan,V2,2d935f4dfaf5b616c6e1ffde261b9508,3.0,Flash,wall-boulders,793.8,
2019-09-22,Lime Green,V2,25ec245f6be8ce6d5c1d64d77583f4b1,3.0,Flash,wall-boulders,793.8,
2019-09-22,Red,V3,d3544c647596be6c59c0938205a80fe9,3.0,Flash,wall-boulders,793.8,
2019-09-22,White,V0,618463d442beee480595a1b1b7ce92d9,3.0,Flash,wall-boulders,793.8,
2019-09-13,Yellow,V2,a3f9c8c4797fb47ca9fd263de8f09bdf,3.0,Flash,wall-mezzanine,114.6,
2019-09-13,Blue,V2,a96b01f564e6fc2d6a13e0102dc2e098,3.0,Flash,wall-mezzanine,114.6,
2019-09-13,Tan,V0,b471c60f620aa203a0e14252cadfd771,3.0,Flash,wall-mezzanine,114.6,
2019-09-13,Lime Green,V1,749f9043c1316141f8ff111ed721ee23,3.0,Flash,wall-mezzanine,39.7,
2019-09-13,Tan,V2,e914438ba916019006a7620047544e15,3.0,Flash,wall-mezzanine,39.7,
2019-09-13,Yellow,V0,b2afff501a376f665cdaeca5e6d23569,3.0,Flash,wall-mezzanine,39.7,
2019-09-09,Yellow,5.9,3132cee93600135341ec71c8bafd0013,3.0,Red Point,wall-back-wall,743.3,
2019-09-09,Black,5.9,fccc95fff6281dfc2d98a917eca8bd47,3.0,Flash,wall-red,81.4,
2019-09-09,Pink,5.9,46652da875e8ba7f414eca77d0bb2879,3.0,Flash,wall-red,51.5,
2019-09-09,White,5.8,4344b1df591af5afa7d57831575cc8aa,3.0,Flash,wall-back-wall,243.6,
2019-09-09,Lime Green,V3,6f9db8144fad396c3d38380e71a4ddaa,3.0,Red Point,wall-boulders,581.0,
2019-09-09,Purple,V0,f10a4d4da7e62f05ef746f7772c94079,3.0,Flash,wall-boulders,288.8,
2019-09-09,Yellow,V1,5d8fe7258d69f53c882118472065ac47,3.0,Flash,wall-boulders,288.8,
2019-09-09,Black,V1,625f3e41d943a2dbb2ef97d44a7dddfd,3.0,Flash,wall-boulders,359.0,
2019-09-09,White,V3,581f23a2b36f83ca5892ed4deec9a829,3.0,Red Point,wall-boulders,359.0,
2019-09-09,Pink,V3,c704c7cd8e4d17bafc3316d9b5d8690e,3.0,Flash,wall-boulders,359.0,
2019-09-09,Black,V4,e71a873abc2f22362390cc6600817661,3.0,Red Point,wall-boulders,359.0,
2019-09-09,Yellow,V2,943753f9e0755668f5b089e0ce02f95f,3.0,Flash,wall-boulders,359.0,
2019-09-09,Black,V2,56afa1da4583bef3e83f3fc151802db6,3.0,Flash,wall-boulders,161.2,
2019-09-09,Purple,V0,f5b4c695403be6e2afebc8028c337747,3.0,Flash,wall-boulders,87.1,
2019-09-06,Lime Green,V3,3d42969f22b6a2afa66d685db3463402,3.0,Red Point,wall-boulders,161.2,
2019-09-06,White,V3,fc699d285a584213971fabadcaec87b8,3.0,Red Point,wall-boulders,161.2,
2019-09-06,Yellow,V2,760e87c99b1d097e5ba8b34a0250f535,3.0,Flash,wall-boulders,87.1,
2019-09-06,Blue,V1,a45ff2c020279d2f1062165c18129cd7,3.0,Flash,wall-boulders,222.0,
2019-09-06,Lime Green,V1,dd99d90fe7079f1d36a1dc02ed031108,3.0,Flash,wall-boulders,87.1,
2019-09-06,Red,V0,3b9e1b133dd398a6d0179788260ef8f6,3.0,Flash,wall-boulders,161.2,
2019-09-03,Red,V5,1c0cac2ec8dad9cc6a609e702cac14e6,3.0,Red Point,wall-boulders,423.0,
2019-09-02,Blue,V5,9c96539c463001a7263b8521d3a95ef8,3.0,Red Point,wall-boulders,793.8,
2019-09-02,White,V4,eb66d17374a910a3acc17aa3826755e7,3.0,Red Point,wall-boulders,423.0,
