date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-29,Lime Green,V1,c77dae2b30e8a996171695d39eea2b20,,Flash,wall-mezzanine,39.7,
2019-11-29,Red,V3,a9b49495b85fefdbdcbabb5e6173d638,4.0,Red Point,wall-mezzanine,39.7,
2019-11-29,Yellow,V2,4853c6bdcae8971aa42abadedfbaf3b7,2.0,Flash,wall-mezzanine,39.7,
2019-11-29,Black,V4,f20a5eee429ff94b67653555ad705d07,5.0,Flash,wall-mezzanine,39.7,
2019-11-29,White,V3,d760f25fa05c4d30bbd4590ad4cc5362,4.0,Flash,wall-boulders,793.8,
2019-11-29,Yellow,V3,4d6802d425143f0e0b412056ad9bfc9e,5.0,Flash,wall-boulders,793.8,
2019-11-29,Blue,V4,2cc853d97a9c22c53e6006832da3a0ea,5.0,Flash,wall-boulders,667.3,
2019-11-29,Red,V4,841fada52ef9fd9e67880a5d89ea4800,4.0,Red Point,wall-boulders,736.4,
2019-11-12,Pink,V4,e7f8d67bf682a224a598d0a2b1df5063,3.0,Red Point,wall-boulders,359.0,
2019-11-12,Lime Green,V1,ccd2b1eb96f983428bd61ba5c04dcd24,3.0,Flash,wall-boulders,359.0,
2019-11-12,White,V5,b68f4380c00685742cba85bf8991983c,5.0,Red Point,wall-boulders,161.2,
2019-11-09,Yellow,V4,1a293917e74b3c93c6ec0aa943a44ac9,3.0,Flash,wall-boulders,161.2,
2019-11-09,Pink,V4,7c65ecd43d534459153e02e7842e9b47,5.0,Red Point,wall-boulders,87.1,
2019-11-09,Lime Green,V2,80eba7bb095082696f16c73c7020658b,3.0,Red Point,wall-boulders,161.2,
2019-11-09,Pink,V5,168ab386cacccd50435fdbcd4c4d6ca6,3.0,Flash,wall-boulders,161.2,
2019-11-09,Black,V4,7e2c97c18ee1a2b7fe69f55b499ab041,3.0,Flash,wall-boulders,222.0,
2019-11-09,Red,V3,a6bcdb833e26466c666edca1f8c57d0d,5.0,Red Point,wall-slab,192.9,
2019-11-09,Lime Green,V1,7ca468cc337692ccc0ce64d3bb3e1c9c,3.0,Flash,wall-slab,118.8,
2019-11-09,Yellow,V5,f5fc438d5bd2ed3af4a42b78d56d1c39,3.0,Red Point,wall-slab,118.8,
2019-11-09,Blue,V4,c02780acc69307da661a91fa8d891d52,3.0,Red Point,wall-slab,48.7,
2019-11-09,Tan,V0,84a0447acd8f976c1c92893390017e6a,3.0,Flash,wall-boulders,288.8,
2019-11-08,Purple,V2,64d076e5ec6430ec7b92aefc5972ecf5,3.0,Flash,wall-boulders,359.0,
2019-11-08,Black,V3,a560a1021f8febc3cedb307410466a3f,3.0,Flash,wall-boulders,359.0,
2019-11-08,White,V2,144989eb35f06851a44d55093d659141,3.0,Flash,wall-boulders,288.8,
2019-11-08,Purple,V0,53b826d5e7f779401d64886382542657,3.0,Flash,wall-boulders,87.1,
2019-11-08,Lime Green,V3,b6af4b738b514e8d3c5cd7bcc4a50930,3.0,Red Point,wall-boulders,87.1,
2019-11-08,White,V1,869dd21a22174418a2d1dc41d46c4c69,3.0,Flash,wall-boulders,87.1,
2019-11-08,Blue,V0,618e87f0d21caa2132be50c79910e2ee,3.0,Flash,wall-boulders,87.1,
2019-11-08,Tan,V2,eed73133c3626e672b4a4335bcd76ca1,3.0,Flash,wall-boulders,161.2,
2019-11-08,Black,V3,e5289c94ed974e2198beac69fcdb2230,3.0,Flash,wall-boulders,87.1,
2019-11-08,Black,V3,8f42b664427668f528253a5c7952a257,3.0,Red Point,wall-boulders,161.2,
2019-11-08,White,V1,ca12063c63ee41afc220ba5f3871c9f2,3.0,Flash,wall-slab,192.9,
2019-11-08,Red,V2,33efde04bb65f86081d0df92f65a7030,3.0,Flash,wall-slab,48.7,
2019-11-08,Yellow,V0,d938da407de62e7c8b0591a4ba31611c,3.0,Flash,wall-slab,118.8,
2019-11-08,Blue,V2,946ad60d4fd2baa72c5cbbb6bce21b0d,3.0,Red Point,wall-slab,118.8,
2019-11-08,Tan,V1,11989873e17619fe5343a1ba64b7f9fa,3.0,Flash,wall-slab,192.9,
