date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-10-26,Black,5.10b,229bda5553cc5668839477ce242d0d4a,3.0,Flash,wall-back-wall,1098.7,
2019-10-26,Pink,5.10d,2e69a5d122247fc374886537ae0482ab,3.0,Attempt,wall-back-wall,1067.3,
2019-10-26,Tan,5.8,a5e51f5ec204b69b0cbb466f9ce1c08e,3.0,Flash,wall-back-wall,-2.4,
2019-10-26,Lime Green,5.8,1ef0eb38d64a3968e57eb436bfc2860d,3.0,Flash,wall-island,364.3,
2019-10-26,Black,5.10b,a433cbc660cf75aa2f06483e11ca81ae,3.0,Attempt,wall-island,529.4,
2019-10-26,Purple,5.10a,dd66e6cc093e6b8230652056a3ce1ebd,3.0,Flash,wall-back-wall,743.3,
2019-10-26,Tan,5.11a,19c99843b896516f962b1d4f32c026b1,3.0,Attempt,wall-back-wall,946.0,
2019-10-26,Blue,5.10a,a67a222e1bf97ddb15500f0bf04b5816,3.0,Flash,wall-back-wall,967.8,
2019-10-26,Pink,5.10c,eab0cc529a1afb04efd92dd570fbfee5,3.0,Attempt,wall-back-wall,1098.7,
2019-10-26,Black,5.10d,80a784f62de0854ede1c0b1ae0e26094,3.0,Attempt,wall-island,43.2,
2019-10-12,Lime Green,5.8,8af8a437892b4569ab293d0c4a3825d6,3.0,Onsight,wall-island,528.5,
2019-10-12,Black,5.9,6e189cffec5982c21cf831eec2a0d19a,3.0,Onsight,wall-back-wall,56.8,
2019-10-12,Pink,5.10b,238846b13e3522b5eae9a6e7ffdee8f2,3.0,Attempt,wall-island,365.2,
2019-10-12,Red,5.9,0c26a257c10ebe6decab961c533c084d,3.0,Onsight,wall-island,420.7,
2019-10-12,White,5.10a,7f94d2149bbbe1d1b1a917d130873f27,3.0,Attempt,wall-back-wall,1168.2,
2019-10-12,Yellow,5.10a,c49ecfca029e35d697ad94cd80a29cc6,3.0,Onsight,wall-back-wall,1200.6,
2019-10-12,Tan,5.10a,5bd6e9554e6a09739705642dc8181e4d,3.0,Onsight,wall-back-wall,1120.9,
2019-10-12,Yellow,5.10b,5bbb18dc5fc72b9097c241d38ead86ff,3.0,Onsight,wall-red,109.7,
2019-10-12,Pink,5.10a,d8f8912fe9993c81219af138f3e08424,3.0,Top Rope,wall-red,79.7,
2019-10-12,Tan,5.8,b2d7ab84bfd281be83406c112610cb84,3.0,Top Rope,wall-red,80.7,
