date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-31,Blue,V7,f5431b39c6947eb784dec06d0837e815,3.0,Red Point,wall-boulders,423.0,
2019-03-29,Lime Green,5.10d,92d0119ebfe560f135f1a6f300525d3e,3.0,Onsight,wall-back-wall,588.1,
2019-03-29,Lime Green,5.11c,43c8178f975cd8b2bbd96b01f91097a8,3.0,Red Point,wall-red,197.6,
2019-03-25,Blue,V2,3198a92fd65e4fd09c49bd037a437527,3.0,Flash,wall-mezzanine,114.6,
2019-03-25,Black,V5,f2a3d90e630a9ea726e2b8593763bab8,3.0,Flash,wall-mezzanine,114.6,
2019-03-25,Yellow,V3,4b56e99426702e59933b2e2fe8709009,3.0,Flash,wall-mezzanine,39.7,
2019-03-25,Lime Green,V1,e5367a6032cca7b075d35b5265c4c244,3.0,Flash,wall-slab,48.7,
2019-03-25,White,V4,d19626fecd21ed6a10095c2e3df39222,3.0,Red Point,wall-slab,48.7,
2019-03-25,Lime Green,V3,8cd50bbb7dd21823ab413928093e2737,3.0,Flash,wall-slab,192.9,
2019-03-25,Black,V2,f1fa4a29d7421f0333ba36eb2a96d87b,3.0,Flash,wall-slab,192.9,
2019-03-25,Red,V6,8a0164f8fcb2d1c47f065d1d8f8c03b6,3.0,Red Point,wall-slab,192.9,
2019-03-25,Black,V1,08bd1a59932d3af0f79668787c6bbd82,3.0,Flash,wall-boulders,288.8,
2019-03-25,Yellow,V3,290be8894860118db93a80cb35462d00,3.0,Flash,wall-boulders,288.8,
2019-03-25,Yellow,V4,190c8d77eb36201b90c6d1de4d1a518d,3.0,Flash,wall-boulders,359.0,
2019-03-25,White,V4,1f737a110f5a69dc64aa756d5d2e7fa0,3.0,Red Point,wall-boulders,359.0,
2019-03-25,Tan,V3,3220b017e45b9605c77253d277e3e113,3.0,Red Point,wall-boulders,288.8,
2019-03-25,Tan,V6,39d7cc3863f134ac2019fd23f328a602,3.0,Red Point,wall-boulders,423.0,
2019-03-25,Yellow,V5,9bfe189ff27a669cfa654a2dc0e1ef0b,3.0,Red Point,wall-boulders,505.7,
2019-03-25,Pink,V3,04c105b247f2b2aca35d61603c64076d,3.0,Flash,wall-boulders,505.7,
2019-03-25,Black,V3,355219e07963f26349b7b163171f02ff,3.0,Red Point,wall-boulders,581.0,
2019-03-25,White,V3,44c8ef6321e34bf30a34b86764468681,3.0,Flash,wall-boulders,736.4,
2019-03-25,White,V4,cf3a34cb79a232e87770f411f1bf99d0,3.0,Red Point,wall-boulders,793.8,
2019-03-25,Pink,V3,2ebb3bf712050b80ab96cbd63fba19c8,3.0,Red Point,wall-boulders,793.8,
