date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-29,Blue,V1,c07fcdf02ea1e7c69b9181be93b009fd,3.0,Red Point,wall-mezzanine,114.6,
2019-01-29,Red,V2,2cd37c1240eeb2474ff10d8026a0a9a8,4.0,Red Point,wall-slab,192.9,
2019-01-28,Black,V1,e9af4aa3550625490793ba36dbef7d4e,4.0,Red Point,wall-boulders,581.0,
2019-01-28,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Red Point,wall-boulders,793.8,
2019-01-28,Red,V1,9dcc0537dda258efd469981adb6b4e34,4.0,Red Point,wall-slab,48.7,
2019-01-28,Purple,V0,60dee7544902f9a85c45012834c07078,4.0,Flash,wall-mezzanine,114.6,
2019-01-28,Lime Green,V0,d507658c7872a92c58965c7603b9e061,4.0,Flash,wall-mezzanine,39.7,
2019-01-28,Lime Green,V0,46e6224b81223c9a6daa42106e04ed28,4.0,Red Point,wall-boulders,423.0,
2019-01-28,Lime Green,V0,a9c30376db308733028c23a04776fe4b,4.0,Red Point,wall-boulders,667.3,
2019-01-20,White,V0,ed608d9a90465c23c4fbbc487df63690,3.0,Red Point,wall-slab,118.8,
2019-01-20,White,V3,4adeb546e2f9be85ac91e5d3d58a52c0,3.0,Red Point,wall-slab,192.9,
2019-01-20,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Red Point,wall-boulders,793.8,
2019-01-18,Purple,V0,d7ac75b8b641f762e49162f6477f0b1b,4.0,Flash,wall-slab,192.9,
2019-01-18,Purple,V0,c917b8d559ba8e749da4c7d16504b3ea,5.0,Flash,wall-boulders,793.8,
