date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-12,Purple,V0,32c2119b379a0bba35e25eb684cb16bf,,Flash,wall-boulders,87.1,
2020-09-12,Pink,V0,d11410968f505b70a5af30b1ffabeeac,,Flash,wall-boulders,87.1,
2020-09-12,Lime Green,V0,3ae4a047bb6a344fb1ba7b82aed8c625,,Red Point,wall-slab,192.9,
2020-09-12,Lime Green,V0,e28a7d1ed92c535982e9a5277ff8a4f2,,Flash,wall-slab,48.7,
2020-09-12,Black,V3,437abe9c63d65400041e136cc0eb966e,,Red Point,wall-slab,118.8,
2020-09-12,Pink,V1,bd663bd830659f181c49f40e99617878,,Flash,wall-slab,118.8,
2020-09-12,Red,V2,e2a048b616de10c6baef7ae98ff4381f,,Red Point,wall-slab,118.8,
2020-09-12,White,V1,3f6a2325a0d2123f8aab1b8b5853976d,,Flash,wall-boulders,87.1,
2020-09-12,Yellow,V0,45d14bce2ffd870804f71ea08ea9cbb4,,Flash,wall-boulders,793.8,
2020-09-12,Red,V0,0547a8a146d2b4c21038dde5a25dcb2f,,Flash,wall-boulders,359.0,
2020-09-12,Blue,V3,5094e051ff4576ddc94c391940b37961,,Red Point,wall-slab,48.7,
2020-09-12,Yellow,V0,45d14bce2ffd870804f71ea08ea9cbb4,,Red Point,wall-boulders,793.8,
2020-09-12,Blue,V0,60131698417989b736c7677a904b01b2,,Flash,wall-boulders,288.8,
2020-09-12,Lime Green,V2,82509a6bf1e132eb5d3c08569f390f61,,Flash,wall-boulders,288.8,
