date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-23,Tan,V5,69566e828750e5bea5539653d7523fa3,4.0,Red Point,wall-mezzanine,114.6,
2019-02-23,Yellow,V3,8f106539f91ba41883c66433be3f5b12,1.0,Red Point,wall-mezzanine,114.6,
2019-02-22,Blue,V1,efb22ae4cd1bef7443bb49c135adb840,3.0,Flash,wall-mezzanine,39.7,
2019-02-22,Tan,V1,aaf1483333b229eda081cdd3f40ff7f1,2.0,Flash,wall-mezzanine,39.7,
2019-02-22,Red,V2,8a5c18af1d5ac39654c00e1b10cd3f1b,3.0,Flash,wall-mezzanine,39.7,
2019-02-22,Yellow,V2,0a8a95c29af09a9e76cef087c4d9ec8d,3.0,Flash,wall-mezzanine,39.7,
2019-02-22,Pink,V4,d68f70afbc34c8a56bd9d6649203df5f,2.0,Red Point,wall-mezzanine,114.6,
2019-02-22,Red,V3,176245e355e89768178dc17c42ae0dd1,2.0,Flash,wall-mezzanine,114.6,
2019-02-22,Tan,V5,69566e828750e5bea5539653d7523fa3,3.0,Red Point,wall-mezzanine,114.6,
2019-02-22,Pink,V4,c91a7a5393a51c6091e16fa699aa89ff,2.0,Red Point,wall-mezzanine,39.7,
2019-02-22,Lime Green,V3,9c2210860f6a7693ed212627846f6c5b,3.0,Flash,wall-mezzanine,39.7,
2019-02-22,Lime Green,V3,47b45273f03fab666c6db859a233b5a7,3.0,Flash,wall-mezzanine,114.6,
2019-02-22,Blue,V0,d83fd724dfc070cef430a4992d4a3853,3.0,Flash,wall-mezzanine,114.6,
2019-02-22,White,V2,a8c1f1d1bbbd74e1752263591f4f7694,3.0,Flash,wall-mezzanine,114.6,
2019-02-22,Blue,V0,dab297a9dc9c45dba60dc8bd773c70e7,3.0,Flash,wall-mezzanine,114.6,
2019-02-01,Lime Green,V0,95008bdb438aa1cc49b25ab851a8179d,3.0,Flash,wall-slab,192.9,
2019-02-01,Red,V5,04f0c441069a8c5d203072b2edd3b2ae,3.0,Red Point,wall-slab,192.9,
2019-02-01,Black,V1,0cda2b1dda67ea0939b4eab24b771519,3.0,Flash,wall-slab,192.9,
2019-02-01,Black,V2,3a4e4e98e14179e12c6a35c8c03a2573,3.0,Flash,wall-boulders,359.0,
2019-02-01,White,V1,ab36be18dc16afdfc462f2efedf59e65,3.0,Flash,wall-boulders,359.0,
2019-02-01,Blue,V0,64ea47c11037bc93138094d78936ecae,3.0,Flash,wall-boulders,359.0,
2019-02-01,Lime Green,V4,44aa15e83690d7a7ead7db684efae398,5.0,Red Point,wall-boulders,288.8,
