date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-20,Red,V3,26c3459b2951701db7d3fe93c4a7bc48,4.0,Flash,wall-boulders,288.8,Fun
2020-02-20,Blue,V2,aaa10bb717808023df910af93e6e3e3b,,Flash,wall-slab,48.7,
2020-02-20,Yellow,V2,40fed2582fc460eef98edf5be375a3e4,,Flash,wall-boulders,581.0,
2020-02-20,Pink,V2,d21a5d8b879725a9bad86a67fff4ea29,,Flash,wall-boulders,423.0,
2020-02-20,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Flash,wall-boulders,161.2,
2020-02-20,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Flash,wall-boulders,161.2,
2020-02-20,Tan,V1,17206715a23e5c8fc03b11b83ad790ec,,Flash,wall-slab,48.7,
2020-02-20,Red,V1,8cd5517f2c0150f64a59d9bfd05737e8,,Flash,wall-slab,118.8,
2020-02-20,Pink,V2,e459884c250f7aabc719c6d072015a42,,Flash,wall-slab,192.9,
2020-02-20,Tan,V2,25c4bb3056adf9efe04a669c321d4cc1,,Flash,wall-boulders,359.0,
2020-02-18,Yellow,V0,fd4da02fc305527a87d34fc9b01a0b5c,,Flash,wall-boulders,793.8,
2020-02-18,Lime Green,V1,5aed781f9fde1b16bc1fc2098c0fb9bd,,Flash,wall-boulders,793.8,
2020-02-18,Black,V1,00d5a16a93a1d4a569dc49cb4ac53816,,Flash,wall-mezzanine,114.6,
2020-02-18,Pink,V0,978a660473cb36223b2453d1800623cd,,Flash,wall-mezzanine,114.6,
2020-02-18,Black,V0,289f13c1fad993636aa750a046134026,,Flash,wall-mezzanine,39.7,
2020-02-18,White,V2,a6832f00cfee2016daa46b26ce7e0b1a,,Flash,wall-mezzanine,39.7,
2020-02-18,Yellow,V3,6ab38b6e926c4f6a05c634847a3d59f2,4.0,Flash,wall-mezzanine,39.7,
2020-02-18,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Flash,wall-slab,192.9,
2020-02-18,Lime Green,V0,7030e483fc8226ef35c0244926672edb,,Flash,wall-slab,48.7,
2020-02-18,Yellow,V0,ced3345847c28d58e588ea76c908763b,,Flash,wall-boulders,161.2,
2020-02-18,Black,V1,5b9d5be8269ec03906267a3bd1d5f9e5,,Flash,wall-boulders,87.1,
2020-02-18,Yellow,V0,46dc20b9a3055906ab3241d337407ad9,,Flash,wall-boulders,288.8,
2020-02-18,Pink,V1,183e51b50241ab343b6f18d216abba16,,Flash,wall-boulders,359.0,
2020-02-18,Red,V1,4b1511edc5e8d3ffe7140693173fa049,,Flash,wall-boulders,423.0,
2020-02-18,Tan,V0,81d8de61b948629e4906939bd04e8481,,Flash,wall-boulders,581.0,
