date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-27,Yellow,5.6,5cc2095aaf3b0d25dfa86e0ca6975a81,3.0,Top Rope,wall-island,127.1,
2018-10-27,Tan,5.7,a8e98471f3d403450e719cf6de079a3b,3.0,Top Rope,wall-island,91.7,
2018-10-27,Lime Green,5.8,b5bce445e9eb2ec86f2b897641f1f50f,3.0,Top Rope,wall-island,183.8,
2018-10-27,Yellow,V0,a149472b359e1e233c84af613e1f231c,3.0,Flash,wall-boulders,288.8,
2018-10-27,Lime Green,V0,ff196d0cc95824649b66c98010434e4d,3.0,Flash,wall-mezzanine,39.7,
2018-10-15,Lime Green,5.7,bec07ff3cdadbdfc50880ced8cbc7cfd,3.0,Top Rope,wall-auto-belay,362.9,
2018-10-15,Tan,5.7,547c055ebfa7dab4470776fb13b5ece4,3.0,Top Rope,wall-auto-belay,418.1,
2018-10-12,Lime Green,V0,0c176e71c45fa4c91b75add5121f181b,3.0,Red Point,wall-slab,192.9,
2018-10-12,Blue,V1,ef689aaea940064be8cc2262c834ead5,3.0,Red Point,wall-slab,192.9,
2018-10-12,White,V1,86f7a30873e0f491274fd5cf97a93423,3.0,Red Point,wall-boulders,359.0,
2018-10-12,Purple,V0,ef988d12305bce25c34c64a87911421e,3.0,Red Point,wall-boulders,288.8,
2018-10-12,Tan,V1,f291270a680679a03fb2a76fe27d558c,3.0,Flash,wall-boulders,581.0,
2018-10-12,Lime Green,V0,dfd7df0c064cb1e9afc887b79e7a7b30,4.0,Attempt,wall-slab,48.7,
2018-10-08,White,5.7,1f95949b95e5cd453281346179e299f7,5.0,Top Rope,wall-back-wall,743.3,
2018-10-08,Yellow,5.7,9ed6571cc6e66d89f707a7be22a43da6,5.0,Top Rope,wall-back-wall,1045.1,
2018-10-08,Lime Green,V0,dfd7df0c064cb1e9afc887b79e7a7b30,4.0,Flash,wall-slab,48.7,
2018-10-08,Red,V0,81060b3b9bfe837fadd962e61f091f0c,4.0,Flash,wall-mezzanine,114.6,
2018-10-08,Purple,V0,01ddba48a8fada93267b8436ae0fad21,5.0,Flash,wall-boulders,581.0,
2018-10-01,Yellow Left,V0,983c49d6a1e5da0a8434a23cced35539,3.0,Red Point,wall-boulders,793.8,
