date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-29,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,,Flash,wall-island,366.1,
2020-09-29,Blue,5.8,c93ef59c4fa25663bb4ae11777393e1a,,Flash,wall-island,446.7,
2020-09-29,Blue,5.8,c93ef59c4fa25663bb4ae11777393e1a,,Top Rope,wall-island,446.7,
2020-09-29,Red,5.10b,40d8e9dd2e87a321813155dfd7c2dce6,,Onsight,wall-island,340.5,
2020-09-29,Pink,5.10c,5bea34eb86296f217c94bf280d79ea99,,Top Rope,wall-back-wall,221.1,
2020-09-28,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-28,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-28,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-28,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-28,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-28,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-28,Grey,5.9,b838163690d6b04437f57b960ae962b3,,Top Rope,wall-auto-belay,44.7,
2020-09-28,Grey,5.9,b838163690d6b04437f57b960ae962b3,,Top Rope,wall-auto-belay,44.7,
2020-09-28,Grey,5.9,b838163690d6b04437f57b960ae962b3,,Top Rope,wall-auto-belay,44.7,
2020-09-28,Yellow,5.10c,d34b0c20ed0abe118dc051f78cd7af70,,Top Rope,wall-auto-belay,198.2,
2020-09-28,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Top Rope,wall-auto-belay,274.3,
2020-09-28,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Top Rope,wall-auto-belay,274.3,
2020-09-28,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Top Rope,wall-auto-belay,274.3,
2020-09-25,Blue,5.10d,8e2979f75ce801c2e7f28b65e847c0a8,,Top Rope,wall-auto-belay,273.7,
2020-09-25,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Flash,wall-auto-belay,274.3,
2020-09-25,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Flash,wall-auto-belay,249.8,
2020-09-25,Red,5.9,127f1ae2c934a4277abccfa265c0088a,,Flash,wall-auto-belay,222.7,
2020-09-25,Tan,5.7,b1da172c3f007fe6c8c9bb74ba1c6fcb,,Flash,wall-auto-belay,174.9,
2020-09-25,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Flash,wall-auto-belay,249.8,
2020-09-25,Lime Green,5.10a,6a8af2f7f41d44a8ea1a7c07fbe8fe7c,,Flash,wall-auto-belay,302.1,
2020-09-25,Blue,5.11a,0ae61226b62f29510038cb3dcb060ab8,,Flash,wall-auto-belay,20.3,
2020-09-25,Pink,5.10b,8a9064e6605f5da74147714a38ecb463,,Flash,wall-auto-belay,174.3,
2020-09-23,Purple,5.10a,24d62bc6af306d6953b346f8c7e568de,,Onsight,wall-auto-belay,496.8,
2020-09-23,White,5.9,c81074aa5457f4f5c5c972f85e4c0911,,Red Point,wall-auto-belay,479.6,
2020-09-23,Lime Green,5.10d,aa2664330f59fe0ea4c0e719e5f42e40,,Onsight,wall-auto-belay,390.5,
2020-09-23,Lime Green,5.10a,6a8af2f7f41d44a8ea1a7c07fbe8fe7c,,Flash,wall-auto-belay,302.1,
2020-09-23,Purple,5.10c,e1529a722af5a63f2830bc9ff7347d53,,Onsight,wall-auto-belay,251.1,
2020-09-23,Pink,5.10b,8a9064e6605f5da74147714a38ecb463,,Flash,wall-auto-belay,174.3,
2020-09-23,Tan,5.7,b1da172c3f007fe6c8c9bb74ba1c6fcb,,Top Rope,wall-auto-belay,174.9,
2020-09-23,Blue,5.11a,0ae61226b62f29510038cb3dcb060ab8,,Flash,wall-auto-belay,20.3,
2020-09-23,White,5.9,c81074aa5457f4f5c5c972f85e4c0911,,Flash,wall-auto-belay,479.6,
2020-09-19,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,,Top Rope,wall-island,366.1,
2020-09-19,Blue,5.9,e3a2429736b1f8443e90bd7edc5c93eb,,Top Rope,wall-back-wall,251.9,
2020-09-19,Yellow,5.8,fe872b6c010e3d203463344f8b4a7e33,,Top Rope,wall-island,353.7,
2020-09-19,White,5.10a,c2c520bd083b66a00aae9c0e217220fe,,Top Rope,wall-island,396.5,
2020-09-19,Purple,5.10b,b1c705fcc682935f5241dee86dc55024,,Onsight,wall-back-wall,969.6,
2020-09-19,Yellow,5.10c,9f1021ad3203e305bc50479b38083ede,,Flash,wall-back-wall,1020.5,
2020-09-19,Pink,5.10c,5bea34eb86296f217c94bf280d79ea99,,Flash,wall-back-wall,221.1,
2020-09-18,Yellow,5.8,7c2bf0c77c87dd4a16094c10df3c2fc9,,Top Rope,wall-back-wall,1097.8,
2020-09-18,Purple,5.8,73b7b24800347c39cf310d82bf48d4d3,,Top Rope,wall-back-wall,1140.9,
2020-09-18,Red,5.8,cee6bb83a181e236a69d27934158c7d0,,Top Rope,wall-back-wall,1176.5,
2020-09-18,Lime Green,5.8,4d02f4745343f8a7df26f3c96b968019,,Top Rope,wall-back-wall,1251.7,
2020-09-18,Blue,5.7,cd71727a8821a8f1535bd6bd6a170649,,Top Rope,wall-back-wall,1274.1,
2020-09-18,Yellow,5.8,c64d957f9d8978dc6bb162d03778c0bc,,Top Rope,wall-back-wall,1377.6,
2020-09-18,Lime Green,5.8,13ccc17e352a2bd76825c1ce86e0218f,,Top Rope,wall-back-wall,1433.3,
2020-09-18,Yellow,5.6,18b33366ff0873d94fe51f2e1f4c8b6b,,Top Rope,wall-back-wall,1434.8,
2020-09-18,Tan,5.8,43b6a31f7dd28554b06ddcbfb9dad186,,Top Rope,wall-island,211.0,
2020-09-18,Lime Green,5.8,92b410d2108a02340eda485cc78dcd4e,,Top Rope,wall-island,162.0,
2020-09-16,Pink,5.10b,8a9064e6605f5da74147714a38ecb463,,Onsight,wall-auto-belay,174.3,
2020-09-16,Purple,5.8,798350769ace5163a04f24cbd558f298,,Top Rope,wall-auto-belay,391.2,
2020-09-16,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,,Top Rope,wall-auto-belay,249.8,
2020-09-16,Pink,5.8,d89c2cd2cc3047901a3b2d537a6241bc,,Top Rope,wall-auto-belay,363.6,
2020-09-16,White,5.9,c81074aa5457f4f5c5c972f85e4c0911,,Flash,wall-auto-belay,479.6,
2020-09-16,Blue,5.11a,0ae61226b62f29510038cb3dcb060ab8,,Onsight,wall-auto-belay,20.3,
2020-09-16,Lime Green,5.10a,6a8af2f7f41d44a8ea1a7c07fbe8fe7c,,Onsight,wall-auto-belay,302.1,
2020-09-12,Yellow,5.8,b807f239ab8caa338ae486d58ba6e1e4,,Top Rope,wall-back-wall,-1.5,
2020-09-12,Yellow,5.8,fe872b6c010e3d203463344f8b4a7e33,,Onsight,wall-island,353.7,
2020-09-12,Pink,3-4,d4ca40b4e71640f3d95bdd8183a746da,,Onsight,wall-island,108.8,
2020-09-12,Yellow,5.10b,f7a74c7895e5994f94e4d34529a4f969,,Top Rope,wall-back-wall,69.3,
2020-09-12,White,5.10b,acbbd918e90273faf03358a99d9aed7f,,Top Rope,wall-back-wall,164.5,
2020-09-12,Blue,5.9,e3a2429736b1f8443e90bd7edc5c93eb,,Top Rope,wall-back-wall,251.9,
