date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-04-29,Yellow,V2,f9ff15a9a48a4362a9d72a763a3c2cbe,3.0,Flash,wall-slab,192.9,
2019-04-29,White,V4,44c11327209767e35b6c2f447a55b41a,3.0,Red Point,wall-slab,192.9,
2019-04-29,Pink,V3,e8431a2d008b8b6c4453051f806278b6,3.0,Flash,wall-slab,192.9,
2019-04-29,Blue,V1,e09367d92ec3c8b8725c9f745aabb725,3.0,Flash,wall-slab,118.8,
2019-04-29,Black,V0,83e977bf4b266bcf736a3b975989dcda,3.0,Flash,wall-slab,118.8,
2019-04-29,Yellow,V1,6c8c13c987481bfda4bbbb246726f414,3.0,Flash,wall-slab,118.8,
2019-04-29,Blue,V4,c9ff2dbf88e9f95057230297ccd82d26,3.0,Red Point,wall-slab,118.8,
2019-04-29,Red,V2,c00c0ae746ef09a5aaa2142f1e3f70fa,3.0,Flash,wall-slab,118.8,
2019-04-29,Lime Green,V0,87f203ece9dc913ae554b8280347503f,3.0,Flash,wall-slab,118.8,
2019-04-29,Blue,V3,3ca2382364c4b8db3c676c98dbf7fd1d,3.0,Flash,wall-slab,48.7,
2019-04-29,Yellow,5.11d,ff6a6d8f24cdc435b701d31798728b26,3.0,Attempt,wall-back-wall,16.3,
2019-04-29,Pink,5.10c,bac78825d129005f86c1f94f96c6f227,3.0,Onsight,wall-back-wall,37.7,
2019-04-29,Tan,5.10d,f973e60a6f5c3a754308c3cb9a361223,3.0,Attempt,wall-back-wall,56.0,crux felt much harder than any move on blue 11a 
2019-04-29,Blue,5.11a,c63e7bdb295fb2dd57b053cbcf7ff606,3.0,Onsight,wall-back-wall,56.8,
2019-04-29,Yellow,5.9,34d0d7a009b6394e650a25dc930d56e6,5.0,Onsight,wall-back-wall,69.3,super fun! 
2019-04-29,Lime Green,5.10c,cc3278a57cd5239779d6f3f66aa85e2f,3.0,Top Rope,wall-back-wall,86.3,
2019-04-29,Purple,5.9,e4393227be16256b85ab2bc1f8085960,3.0,Onsight,wall-back-wall,124.1,
2019-04-29,Yellow,5.10a,7f6bc563a6af175ffdc785f894101aab,3.0,Onsight,wall-red,261.8,hard 
2019-04-29,Lime Green,5.10d,416fd6b22d112904c46491adb749eec7,3.0,Attempt,wall-red,230.7,
