date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-30,Pink,V5,b171df4751750f324157d7fc9e32f2a3,4.0,Red Point,wall-boulders,423.0,
2018-12-30,Purple,V8,b8efa293eaa1666b3a4664c453ca5c14,5.0,Red Point,wall-boulders,736.4,Hell yes! 
2018-12-26,Tan,V6,3b0fa9ee6fee24028834849411c4f569,3.0,Red Point,wall-slab,192.9,
2018-12-22,White,V3,d51b298911e6b78f0ec5883108d5f48a,4.0,Red Point,wall-slab,48.7,
2018-12-22,Lime Green,V4,3fa5897417c61e93642fdc0a585bdfac,3.0,Flash,wall-slab,48.7,
2018-12-22,Red,V1,9dcc0537dda258efd469981adb6b4e34,5.0,Flash,wall-slab,48.7,
2018-12-22,Tan,V4,1a38023822ee72d7452dec7e8c61007c,3.0,Flash,wall-slab,118.8,
2018-12-22,Black,V3,82c709dcc2a7d90fdb7fa51200be5274,3.0,Flash,wall-slab,118.8,
2018-12-22,Lime Green,V5,8960f5c65bb481a282344b6fc94432b8,3.0,Red Point,wall-slab,192.9,
2018-12-18,White,V6,ff0f0bb9c3f7487620e2a33ec3fc2cbc,4.0,Red Point,wall-boulders,667.3,
2018-12-18,Pink,V5,c8754b7a5851b1b90b8c0ed753ec9607,3.0,Red Point,wall-boulders,793.8,
2018-12-18,Blue,V6,54ee5b784b0db295048208f0a61e7f73,3.0,Red Point,wall-boulders,793.8,Last move is absolutely brutal. Definitely the hardest v6 in this set. 
2018-12-14,White,V1,15bcda4068d17aaf939d7208cd242a15,3.0,Flash,wall-boulders,793.8,
2018-12-14,Lime Green,V2,a8efeccf5c6846576c205464b39ea956,3.0,Flash,wall-boulders,793.8,Ew
2018-12-14,Red,V5,a4ecdc40aa12abd61658b8fb04f44bbe,3.0,Flash,wall-boulders,736.4,
2018-12-14,White,V4,a349a79ff317d836559c202fd9edaffb,3.0,Red Point,wall-boulders,736.4,Soft 
2018-12-14,Blue,V6,454b27b5c4aa45cabb96d3ebf371b75f,3.0,Red Point,wall-boulders,736.4,Couldn't see the crimps at first 
2018-12-14,Tan,V3,a1f2c6530502b6752bff846110cb90f0,3.0,Flash,wall-boulders,667.3,
2018-12-14,Lime Green,V6,e2e98633083d0c07559ad56fde1e8384,4.0,Flash,wall-boulders,736.4,
2018-12-11,Black,V3,cae30a8237c6f657cfc8024ce2ca03eb,5.0,Flash,wall-boulders,359.0,Really fun route 
2018-12-11,Black,V4,6fe2f0b3e7cad891fa2153fbaa3e5407,3.0,Flash,wall-boulders,288.8,A little soft 
2018-12-11,Blue,V6,9b34a0968083ee54c00e2025aaf270ad,4.0,Flash,wall-boulders,359.0,Big core moves. Fun. 
2018-12-11,Yellow,V7,9e9539750c6d8c972eb46bb7870fcf73,3.0,Red Point,wall-boulders,288.8,Didn't finish the top out from the last hold :(
2018-12-06,Tan,V8,ac32419c5ee9a50e2317319b596c7dbf,5.0,Red Point,wall-boulders,288.8,Almost flash! Bailed on the last move to the top. Awesome route﹐ great center of balance changes and unique movement. 
2018-12-06,White,V6,0daa91885468fd1673e658f258d5891c,4.0,Flash,wall-boulders,359.0,
2018-12-06,Lime Green,V5,7b617b13d220eb77658af47472f73a27,4.0,Flash,wall-boulders,288.8,
2018-12-06,Yellow,V5,c1cce29518d767aee3dd32e3a2f0ce9b,4.0,Flash,wall-boulders,359.0,
2018-12-06,Red,V3,df7c16072f34fa35f9ac685112aaff4a,3.0,Red Point,wall-boulders,288.8,
2018-12-02,Blue,V3,45f3c9bb3e99cc0002bf159f21b882bb,4.0,Flash,wall-slab,48.7,
2018-12-02,Tan,V4,fc4e5ebfcafaeda4e4c6c5acdf9924bd,3.0,Flash,wall-boulders,423.0,Don't like that finish 
2018-12-02,Blue,V3,8529ac476a0f1d8e3ad6ec4623ab4fce,3.0,Flash,wall-boulders,505.7,
2018-12-02,Blue,V4,ce6e44cb9e08e6d1f0c71f4a1f3007b5,2.0,Flash,wall-boulders,505.7,
2018-12-02,Yellow,V6,b3da67afc60c21d8a590dc87c4cc4301,5.0,Flash,wall-boulders,505.7,Also hit my elbow on the purple. 
2018-12-02,White,V6,95c79a1fc0e9129d2de1ef95097419e1,5.0,Flash,wall-boulders,423.0,Great flow 
2018-12-02,Lime Green,V3,fd0ba91bb06387cf6aee0de1e3d32ae1,4.0,Flash,wall-boulders,423.0,
2018-12-02,Pink,V4,a475a4a8880f25835b4b2a2a2c2f7b30,4.0,Flash,wall-boulders,423.0,
2018-12-02,Lime Green,V6,b002c34f88c66553b8ef97b17d5304b2,4.0,Flash,wall-boulders,423.0,
2018-12-02,Lime Green,V3,8dfa655be0feb075be0dde7b5d366bce,4.0,Flash,wall-boulders,581.0,
2018-12-02,Black,V1,d006e610c8577a576060af243ef0e4c3,3.0,Flash,wall-boulders,581.0,
