date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-04-27,Yellow,5.8,e7a753ab3987f433ce765f5c358efe2b,3.0,Top Rope,wall-red,51.5,
2019-04-27,Yellow,5.8,f2a31126bb1ae6902dfa24d85639dcf5,3.0,Top Rope,wall-red,155.6,
2019-04-27,Purple,5.7,d18c7a59bfe39e45209b28ea4a5ea74b,3.0,Top Rope,wall-red,230.0,
2019-04-27,Yellow,5.8,1068030bd54b6cc12dc9d0d9697f533c,3.0,Top Rope,wall-island,226.9,
2019-04-24,Purple,5.7,84495abf3227cc7a723837e466cfade1,3.0,Top Rope,wall-back-wall,743.3,
2019-04-24,Purple,5.7,19edbc498cef6cef0a4cafc30604d0a3,3.0,Top Rope,wall-island,59.4,
2019-04-24,Blue,5.8,e1b2e7d27ff11d1bdc5736b7a2a6c784,3.0,Top Rope,wall-back-wall,1376.2,
2019-04-24,Yellow,5.8,f2a31126bb1ae6902dfa24d85639dcf5,3.0,Top Rope,wall-red,155.6,
2019-04-20,Yellow,5.7,bc8651b60381141eab54847474f100ce,3.0,Top Rope,wall-back-wall,1353.6,
2019-04-20,Pink,5.8,a710f31d63105e7027b27c7d0070c690,3.0,Top Rope,wall-red,174.5,
2019-04-20,Blue,5.8,8561c5ace900e42aa8247972339af257,3.0,Top Rope,wall-island,182.8,
2019-04-20,Grey,5.8,61a9b8dcb4dfad88dd1b3356322e63dd,3.0,Top Rope,wall-fox,198.8,
2019-04-20,Tan,5.7,7728350bd4188ea30409a5bce33e4973,3.0,Top Rope,wall-back-wall,1228.7,
2019-04-20,Red,5.6,d3ce6942e20a250983d36fce18e6100b,3.0,Top Rope,wall-back-wall,1120.9,
2019-04-17,Lime Green,5.7,2f1bc7abe11c9334e0d9cd0cc6cd045a,3.0,Top Rope,wall-red,132.5,
2019-04-17,Pink,5.7,a2cb0e3b63b66657a58b9baa79ce0d14,3.0,Top Rope,wall-back-wall,1067.3,
2019-04-17,Purple,5.7,19edbc498cef6cef0a4cafc30604d0a3,3.0,Top Rope,wall-island,59.4,
2019-04-17,White,5.7,e5bc2796ab9883e866cbda6b60b88e26,3.0,Top Rope,wall-back-wall,1175.0,
2019-04-06,Yellow,5.7,d843bcdc3aa13931fdcd62c0ad614d4d,4.0,Top Rope,wall-island,468.2,
2019-04-06,Lime Green,5.7,3b9d2b6e3c3127f3b468ca7d33f781b3,3.0,Top Rope,wall-red,25.4,
2019-04-06,Blue,5.6,6e413d95150d271e416cee0d0ecaa229,3.0,Top Rope,wall-red,50.1,
