date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-10-31,Yellow,5.8,76d1adcb7bc9fbddfa993a8f9f19584b,3.0,Top Rope,wall-back-wall,221.9,
2019-10-31,Purple,5.10a,7f135225cc552b5d16186c26b255abf8,3.0,Top Rope,wall-back-wall,1386.5,
2019-10-31,Blue,5.8,979cc296f17c82bfa3b07d56f21035da,3.0,Top Rope,wall-back-wall,1175.0,
2019-10-31,Pink,5.10d,2e69a5d122247fc374886537ae0482ab,3.0,Top Rope,wall-back-wall,1067.3,
2019-10-31,Black,5.11b,b9d611a4c8dab30b9d45c8d406668d89,3.0,Top Rope,wall-red,51.5,
2019-10-29,Pink,5.9,307e02e2ddc6a796adbcc6ba85f65282,3.0,Top Rope,wall-back-wall,252.2,
2019-10-29,Purple,5.9,c43d5318c7bb0945f1028deabce154cc,3.0,Top Rope,wall-island,444.9,
2019-10-29,Yellow,5.8,707881a9e797dcf901a4b2bd7531813e,3.0,Top Rope,wall-back-wall,1329.5,
2019-10-29,Yellow,5.10c,1741926478be8a2f9d556c25d0545bba,3.0,Top Rope,wall-island,327.1,
2019-10-29,Pink,5.10b,238846b13e3522b5eae9a6e7ffdee8f2,3.0,Top Rope,wall-island,365.2,
2019-10-25,Yellow,5.8,76d1adcb7bc9fbddfa993a8f9f19584b,3.0,Top Rope,wall-back-wall,221.9,
2019-10-25,Red,5.10a,93f15416d3b0c8afabaa2f3e4849175d,3.0,Top Rope,wall-red,132.5,
2019-10-25,Red,5.10a,9e4c9dba0cc60c159e2dc23999554445,3.0,Top Rope,wall-island,75.0,
2019-10-25,White,5.10b,656f936b6a44c3f5732c9bb24588d93a,3.0,Top Rope,wall-red,230.0,
2019-10-25,Purple,5.9,c43d5318c7bb0945f1028deabce154cc,3.0,Top Rope,wall-island,444.9,
2019-10-25,Yellow,5.8,76d1adcb7bc9fbddfa993a8f9f19584b,3.0,Top Rope,wall-back-wall,221.9,
2019-10-25,Red,5.10a,93f15416d3b0c8afabaa2f3e4849175d,3.0,Top Rope,wall-red,132.5,
2019-10-25,Red,5.10a,9e4c9dba0cc60c159e2dc23999554445,3.0,Top Rope,wall-island,75.0,
2019-10-25,White,5.10b,656f936b6a44c3f5732c9bb24588d93a,3.0,Top Rope,wall-red,230.0,
2019-10-21,Black,5.10d,80a784f62de0854ede1c0b1ae0e26094,3.0,Top Rope,wall-island,43.2,
2019-10-21,Lime Green,5.9,b7ffb4c522ec9de96e38ca6e4b1d8175,3.0,Top Rope,wall-island,42.2,
2019-10-21,Black,5.10b,229bda5553cc5668839477ce242d0d4a,3.0,Top Rope,wall-back-wall,1098.7,
2019-10-21,Black,5.10b,229bda5553cc5668839477ce242d0d4a,3.0,Top Rope,wall-back-wall,1098.7,
2019-10-21,White,5.10a,d8be3ac6dad1de62cea72c475e6ecd17,3.0,Top Rope,wall-island,300.0,
2019-10-21,Red,5.10a,8105b0980467d491fc77b2b97d79d106,3.0,Top Rope,wall-back-wall,1019.6,
2019-10-16,Pink,5.10d,2e69a5d122247fc374886537ae0482ab,3.0,Top Rope,wall-back-wall,1067.3,
2019-10-16,Red,5.11b,86830592b11a1b3b4f75ebed1ef2f263,3.0,Top Rope,wall-back-wall,1199.9,
