date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-31,Pink,5.10b,f91b4d6287c54a229a2d2727bffa76d5,4.0,Onsight,wall-back-wall,1175.7,
2018-10-31,Purple,5.11a,27e85d43b78cd619d61acb45e015a5d2,4.0,Onsight,wall-back-wall,1200.6,
2018-10-30,Yellow,5.11a,a0bdfe46c6e1f2d8e3efc0b0f95d2e7c,4.0,Attempt,wall-island,395.6,
2018-10-30,Blue,5.9,a5479759db8908223e2cf2e8e8759103,4.0,Onsight,wall-island,420.7,
2018-10-30,Red,5.11d,2f96bcfffa971656feb683ecffac3941,5.0,Onsight,wall-island,444.9,
2018-10-30,Black,5.8,4015a93042c73ec47c5a87be56181d96,4.0,Onsight,wall-island,445.8,
2018-10-30,White,5.10b,59d7aa18c93c9e035647ccf2da641deb,3.0,Onsight,wall-island,364.3,
2018-10-29,Pink,5.10a,da3c96bcbda544f9b703da14670c456e,4.0,Onsight,wall-back-wall,328.9,
2018-10-29,White,5.11d,fac1a172cfb0f5451494a716d3e902cf,3.0,Onsight,wall-back-wall,395.0,
2018-10-29,Lime Green,5.12b,295f96be1ad8aa69482a7aa94b501b76,2.0,Attempt,wall-back-wall,442.1,
2018-10-29,Blue,5.13a,e45b8f93b53ba7f2f7fe3ad9cb5aec73,5.0,Red Point,wall-back-wall,443.3,
2018-10-29,Yellow,5.11b,c900eaf639d0f4c8a07e3f64503da397,3.0,Onsight,wall-back-wall,507.7,
2018-10-29,Black,5.12d,5832d8b192a6875d64ad24cc86ac716e,4.0,Red Point,wall-back-wall,533.8,
2018-10-29,Blue,5.10d,80c56821a6273c01747c11ec0be5fadc,3.0,Onsight,wall-back-wall,562.0,
2018-10-29,White,5.12c,292e952848778744af40e8e2955f7315,4.0,Red Point,wall-back-wall,590.2,
2018-10-29,Purple,5.12a,4a1ac13a969e159010b874e03741855a,5.0,Attempt,wall-back-wall,608.4,
2018-10-29,Lime Green,5.10c,964030b6489015e6f8ff2335b06f96e7,3.0,Onsight,wall-back-wall,628.3,
2018-10-29,Red,5.12b,68a6e6ed3424774b7e3bffbf17e60ccb,3.0,Attempt,wall-back-wall,684.0,
2018-10-29,Blue,5.12c,fcf48df5b207819e5b8241eadd83fc0c,5.0,Red Point,wall-back-wall,16.3,
2018-10-29,Tan,5.10d,700638b55092f8c5eca2fe5f349ba51b,3.0,Onsight,wall-back-wall,17.1,
2018-10-29,Pink,5.9,f4f0baa43d583818fbc569294d47db06,3.0,Onsight,wall-back-wall,37.7,
2018-10-29,Black,5.8,10e8404b57fbcf94b815944a033eb069,3.0,Onsight,wall-back-wall,56.0,
2018-10-29,White,5.11b,dee2de3a29adf982034164b0448ea5eb,2.0,Attempt,wall-back-wall,69.3,
2018-10-29,Yellow,5.12b,43d8efa309a57c5bba759530f0f1e12b,3.0,Attempt,wall-back-wall,142.5,
