date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-08-29,Pink,5.10a,bba1f5de963b2669beeef4d7ec4f9050,3.0,Top Rope,wall-auto-belay,174.9,
2019-08-29,Blue,5.10c,77376f10cbe7a6fa90a12211b6d01b30,3.0,Top Rope,wall-auto-belay,196.9,
2019-08-29,Yellow,5.11a,1f78a63de83a8af1faf4351c0e33950c,3.0,Top Rope,wall-auto-belay,197.6,
2019-08-29,Lime Green,5.11a,2baaac3f76169ec892d56bd91247bbae,3.0,Top Rope,wall-auto-belay,222.1,
2019-08-29,Pink,5.11a,299b4b2b28e752f832fd50228af3a9ab,3.0,Top Rope,wall-auto-belay,273.1,
2019-08-25,Black,V4,3780a16a30925d61c5e9b9a206d04867,3.0,Red Point,wall-boulders,161.2,
2019-08-25,White,V3,9bbc2e3293d69160945d5794d3e14b3b,3.0,Red Point,wall-boulders,87.1,
2019-08-25,Red,V3,10ff77a009203fc65f054e56c7404b11,3.0,Red Point,wall-boulders,87.1,
2019-08-25,Lime Green,V3,d9b5fc7a373881337bab2c6517402665,3.0,Red Point,wall-boulders,161.2,
2019-08-25,Lime Green,V3,e8076d96542c51c34bf5a33fdae6d990,3.0,Red Point,wall-boulders,161.2,
2019-08-25,White,V4,1570185f64a08df61153006a3e33dc5f,3.0,Red Point,wall-slab,192.9,
2019-08-25,Tan,V5,6ce6bc1b5641dab48a0695e483397714,3.0,Red Point,wall-boulders,288.8,
2019-08-25,Black,V5,6188ad887724335b82ff6059305a1cf1,3.0,Red Point,wall-mezzanine,114.6,
2019-08-25,Lime Green,V4,3ca3ebdbf4fd8f67dd222d95bffa8579,3.0,Red Point,wall-mezzanine,114.6,
