date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-21,Tan,V4,1a38023822ee72d7452dec7e8c61007c,3.0,Red Point,wall-slab,118.8,
2018-12-21,Red,V1,9dcc0537dda258efd469981adb6b4e34,3.0,Flash,wall-slab,48.7,
2018-12-21,Lime Green,V4,3fa5897417c61e93642fdc0a585bdfac,3.0,Red Point,wall-slab,48.7,
2018-12-21,White,V3,d51b298911e6b78f0ec5883108d5f48a,3.0,Flash,wall-slab,48.7,
2018-12-13,Yellow,V5,c1cce29518d767aee3dd32e3a2f0ce9b,3.0,Red Point,wall-boulders,359.0,
2018-12-13,Blue,V4,ce6e44cb9e08e6d1f0c71f4a1f3007b5,3.0,Flash,wall-boulders,505.7,
2018-12-13,Black,V3,cae30a8237c6f657cfc8024ce2ca03eb,3.0,Red Point,wall-boulders,359.0,
2018-12-13,Black,V2,599325ae5a5efad2aa66bcce5cb61768,3.0,Flash,wall-boulders,359.0,
2018-12-11,Red,V3,df7c16072f34fa35f9ac685112aaff4a,4.0,Flash,wall-boulders,288.8,
2018-12-11,Blue,V3,52a29bcf6befa27928fc797f7b433194,3.0,Red Point,wall-boulders,359.0,
2018-12-11,Purple,V4,52f01bbf72f158f3f949cdf1b6570542,3.0,Flash,wall-boulders,288.8,
2018-12-10,Pink,V4,a475a4a8880f25835b4b2a2a2c2f7b30,3.0,Red Point,wall-boulders,423.0,
2018-12-05,Tan,V6,5227eca8ffe2f83483964d35994c38a3,4.0,Red Point,wall-mezzanine,114.6,
2018-12-05,Blue,V6,3183bc9b7531a9b6ae047b4527f42000,4.0,Red Point,wall-mezzanine,39.7,
2018-12-05,Tan,V4,fc4e5ebfcafaeda4e4c6c5acdf9924bd,3.0,Flash,wall-boulders,423.0,
