date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-10-31,Red,V5,2a6d68b6da038aadc2e678bac69e10f4,,Red Point,wall-mezzanine,39.7,
2020-10-29,Yellow,V1,76161b9f4c76d06a82018e10d937df4c,,Flash,wall-mezzanine,114.6,
2020-10-29,Purple,V3,d8d3ca6d1abbd4f5c00e03cbf11f61e9,,Flash,wall-mezzanine,114.6,
2020-10-29,Lime Green,V3,d1f8d3f3d47a6091511280246c783109,,Flash,wall-mezzanine,114.6,
2020-10-29,Yellow Left,V2,dfa064b3a13b2888d7638233010b79de,,Flash,wall-mezzanine,114.6,
2020-10-29,Black,V0,f24031b1fe39068c09caa1a7f8fbae1b,,Flash,wall-mezzanine,114.6,
2020-10-29,Pink,V3,42cc61773226ca2ff02f998730639c8b,,Flash,wall-mezzanine,114.6,
2020-10-29,White,V4,0813fcb46777e06daf4aaa6a3e80dba0,,Flash,wall-mezzanine,114.6,
2020-10-29,Yellow,V1,0443938600301d126e6901823bf3fc17,,Flash,wall-mezzanine,39.7,
2020-10-29,Blue,V2,b621be98140b080a9bcc8cf27cd60523,,Flash,wall-mezzanine,39.7,
2020-10-29,Pink,V0,4a61cf09206e7132e61fc9a11691f3a7,,Flash,wall-mezzanine,39.7,
2020-10-29,White,V4,54f629974a46775fd50c6566acf39c5a,,Flash,wall-mezzanine,39.7,
2020-10-23,Yellow,V1,9ee9f63a82057842befb11a2e9a6a117,,Flash,wall-boulders,87.1,
2020-10-23,Lime Green,V0,48865bfac77a9d40b06a320c28deec62,,Flash,wall-boulders,87.1,
2020-10-23,White,V4,9a6c08f84d1c41fac5f92ebbe0ea0733,,Red Point,wall-boulders,87.1,
2020-10-23,White,V4,9a6c08f84d1c41fac5f92ebbe0ea0733,,Red Point,wall-boulders,87.1,
2020-10-23,Black,V2,14a03c5ec5333ec47c0964aa3cd4457f,,Flash,wall-boulders,87.1,
2020-10-23,Blue,V3,95778a3b09e56dc33b5adb3e8d97ea42,,Flash,wall-boulders,87.1,
2020-10-23,Yellow,V0,9f2231636121087266b7cfd6f7f39a44,,Flash,wall-boulders,87.1,
2020-10-23,Black,V5,4244391623e5c9221a26ddb3aae63b74,,Flash,wall-boulders,161.2,
2020-10-23,Lime Green,V4,a73c3ed2208b2b2942738e3e79b5a6f9,,Flash,wall-boulders,161.2,
2020-10-23,Red,V1,d96d0dbc5bf73d188bccf346795f9ad2,,Flash,wall-boulders,222.0,
