date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-26,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,,Red Point,wall-boulders,87.1,
2020-02-24,White,V2,147d8ca3f32ca55777eb6d9ffb50cc52,,Red Point,wall-boulders,793.8,
2020-02-24,Tan,V2,25c4bb3056adf9efe04a669c321d4cc1,,Red Point,wall-boulders,359.0,
2020-02-09,Pink,V3,8d03ea868716aec0b2118914223c8b89,,Red Point,wall-boulders,581.0,
2020-02-08,Yellow,V3,e7baec3392ef529bbc5a4a8edadac691,,Flash,wall-mezzanine,39.7,
2020-02-08,Yellow,V4,5d5f489e5bddf879d4632c3ce5d1e9f1,,Red Point,wall-mezzanine,114.6,
2020-02-06,Tan,V3,e5b4a6a34f3cbe5a3164cbec54cbd83c,,Red Point,wall-boulders,288.8,
2020-02-06,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Flash,wall-slab,192.9,
2020-02-04,Black,V4,97f8851f1649c0c578c6bf41eab86f1e,,Flash,wall-slab,118.8,
2020-02-04,Yellow,V4,8980a0e37093e226f6ba9008cd3d63a9,,Red Point,wall-slab,118.8,
2020-02-04,Blue,V2,aaa10bb717808023df910af93e6e3e3b,,Flash,wall-slab,48.7,
2020-02-04,Pink,V3,c288d3b689c07fab3491050421a25022,,Flash,wall-slab,48.7,
2020-02-04,Pink,V2,e459884c250f7aabc719c6d072015a42,,Flash,wall-slab,192.9,
2020-02-04,Blue,V3,bfdda60d27aaa46264550cb3d337fbce,,Red Point,wall-boulders,222.0,
2020-02-04,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Flash,wall-boulders,161.2,
2020-02-04,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Flash,wall-boulders,161.2,
2020-02-04,Black,V1,5b9d5be8269ec03906267a3bd1d5f9e5,,Flash,wall-boulders,87.1,
2020-02-04,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,,Red Point,wall-boulders,87.1,
2020-02-04,Black,V2,d492409ecb9fa81dd19ef97a857ecb4d,,Red Point,wall-boulders,793.8,
2020-02-04,Pink,V3,9e386b2ded9a16115e969789bd0aa65b,,Red Point,wall-boulders,793.8,
2020-02-04,Yellow,V2,40fed2582fc460eef98edf5be375a3e4,,Red Point,wall-boulders,581.0,
2020-02-04,Red,V1,4b1511edc5e8d3ffe7140693173fa049,,Flash,wall-boulders,423.0,
2020-02-04,Yellow,V1,bb943bd2e385e4542e4970277472f223,,Flash,wall-boulders,359.0,
2020-02-04,Blue,V1,7a46cc92bca2c5c26cea19be071a33d8,,Flash,wall-boulders,288.8,
2020-02-04,Black,V2,5988412a213b2a46e6147393f55b6808,,Red Point,wall-boulders,288.8,
2020-02-04,Yellow,V3,6ab38b6e926c4f6a05c634847a3d59f2,,Red Point,wall-mezzanine,39.7,
2020-02-04,Lime Green,5.10a,6db84815dd0ddb03bb661f42c4bfca41,,Top Rope,wall-red,24.0,
2020-02-04,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,,Top Rope,wall-red,156.9,
2020-02-04,Black,5.10c,590775c1fdd11c0e3e27cc1fa5b9cddd,,Top Rope,wall-back-wall,1199.9,
2020-02-04,Pink,5.10a,f25d3a5050639a87479a9ab76e8d9fcf,,Top Rope,wall-back-wall,1175.0,
2020-02-04,Blue,5.10a,ea8d63742931011672892927d3f449ae,,Top Rope,wall-back-wall,1310.0,
2020-02-04,Red,5.8,3b7cfdda6f7d8e18d533fb20056dad1e,,Top Rope,wall-back-wall,1408.5,
2020-02-04,Purple,5.8,6ca422a16264b710fba4c448e81f4539,,Top Rope,wall-back-wall,1434.0,
