date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-05-30,Black,5.10c,1db2b75ce2f103b6d31a0ed1ce67d73c,3.0,Onsight,wall-back-wall,968.7,
2019-05-30,Blue,5.10a,a9076480df72c9ccbf5847d084b4d7d6,3.0,Onsight,wall-back-wall,743.3,
2019-05-30,White,5.11b,675181d9a952e8b911fcd5c520ebf158,3.0,Onsight,wall-back-wall,741.6,
2019-05-30,Blue,5.11c,3ef7d8e84782c9daf419bb44734556c5,3.0,Top Rope,wall-island,280.7,
2019-05-30,Blue,5.10c,767c322de63b52def1e7dd06306612d8,3.0,Onsight,wall-island,327.5,
2019-05-30,Red,5.11c,9206d9ff5bc6de2bd69e2c5c3de7d0fd,3.0,Red Point,wall-island,340.5,
2019-05-30,Pink,5.12a,bfca3c2ddd4f9623835afd9fe7a4ddf0,3.0,Onsight,wall-back-wall,221.1,
2019-05-30,Lime Green,5.8,d32ae27ec09dccc77fa96ae5257fb879,3.0,Onsight,wall-back-wall,684.0,
2019-05-30,Red,5.10d,f75621bc2d00addaf8c02911fbca0fe7,3.0,Red Point,wall-back-wall,395.0,
2019-05-24,Black,5.10c,5b40f66eeae2c6e74b9c584e6da9530f,3.0,Onsight,wall-back-wall,252.2,
2019-05-24,Yellow,5.10a,4f809782bd641f2c2bebb1bd95c2944b,3.0,Onsight,wall-back-wall,243.4,
2019-05-24,Purple,5.8,e4a399c527279cda65d4a66091fce5a8,3.0,Onsight,wall-back-wall,221.9,
2019-05-24,Tan,5.12b,647d2051181a0113cdce7e02c0eefab3,3.0,Red Point,wall-back-wall,140.8,
2019-05-24,Tan,5.12a,2707072e4809f5469e355f1bfe13fff7,3.0,Red Point,wall-back-wall,967.8,
2019-05-24,Red,5.11a,ffc3bbb046ebdefa3f5619e04bbff30c,3.0,Onsight,wall-back-wall,946.0,
2019-05-24,Pink,5.10b,ac0cc18a0d7c164c1d7c701ce4897a10,3.0,Onsight,wall-back-wall,894.6,
2019-05-24,Purple,5.11b,fbccb6581018f3a70c92a210a02c22c7,3.0,Onsight,wall-back-wall,870.9,
2019-05-24,Tan,5.10d,7329deeb332b9f32bffca04fd844263f,3.0,Onsight,wall-back-wall,829.3,
2019-05-16,Lime Green,5.10c,cc3278a57cd5239779d6f3f66aa85e2f,3.0,Top Rope,wall-back-wall,86.3,
2019-05-16,Black,5.12b,a2fe8eca46f0a34015ab0740d3a47152,3.0,Onsight,wall-back-wall,36.9,
2019-05-16,Tan,5.8,ca1422218885f910edea9adc4b923f3c,3.0,Onsight,wall-island,60.4,
